Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
and	0.414692	0.373285	-0.373285	0.213134	0.498898	0.151812	0.147653	0.179113
for	0.414692	0.373285	-0.373285	0.213134	0.498898	0.151812	0.147653	0.179113
one	0.188908	0.0	-0.0	0	0	0	0	0
new	0.261289	0.0	-0.0	0.23164	0.085537	0.115116	0.320224	0.161919
year	0.188908	0.0	-0.0	0	0	0	0	0
years	0.188908	0.0	-0.0	0	0	0	0	0
world	0.24167	0.0	-0.0	0.12899	0.129549	0.07234	0.337741	0.225246
united	0.303675	0.0	-0.0	0.300234	0.171602	0.077861	0.229677	0.186046
country	0.265866	0.0	-0.0	0.079714	0.214855	0.052291	0.388718	0.158661
international	0.241485	0.0	-0.0	0.10479	0.083319	0.092349	0.415364	0.176733
party	0.926257	0.267761	-0.267761	0.121133	0.501468	0.150135	0.299088	0.175439
york	0.261289	0.0	-0.0	0.23164	0.085537	0.115116	0.320224	0.161919
six	0.188908	0.0	-0.0	0	0	0	0	0
economic	0.34602	0.385159	-0.385159	0.092316	0.12192	0.100658	0.405388	0.172703
months	0.188908	0.0	-0.0	0	0	0	0	0
meeting	0.41133	0.162927	-0.162927	0.172042	0.170849	0.112467	0.336064	0.134942
development	0.339027	0.573988	-0.573988	0.144507	0.277538	0.070316	0.52024	0.123766
information	0.281213	0.502903	-0.502903	0.138192	0.071225	0.107802	0.226498	0.590949
agency	0.211452	0.0	-0.0	0.113213	0.077357	0.207252	0.279835	0.2197
seven	0.188908	0.0	-0.0	0	0	0	0	0
conference	0.510535	0.19061	-0.19061	0.166166	0.194954	0.128139	0.310169	0.137619
nations	0.303675	0.0	-0.0	0.300234	0.171602	0.077861	0.229677	0.186046
change	0.536435	0.225714	-0.225714	0.184867	0.148075	0.133919	0.195046	0.553113
period	0.380569	0.143085	-0.143085	0.142873	0.139471	0.248989	0.202729	0.246321
executive	0.210941	0.478498	-0.478498	0.155964	0.200962	0.022032	0.484238	0.044295
energy	0.211452	0.0	-0.0	0.113213	0.077357	0.207252	0.279835	0.2197
body	0.414692	0.373285	-0.373285	0.213134	0.498898	0.151812	0.147653	0.179113
organization	0.24167	0.0	-0.0	0.12899	0.129549	0.07234	0.337741	0.225246
civil	0.241485	0.0	-0.0	0.10479	0.083319	0.092349	0.415364	0.176733
gas	0.297641	-0.105843	0.105843	0.188944	0.239508	0.183732	0.447948	0.270049
regional	0.34602	0.385159	-0.385159	0.092316	0.12192	0.100658	0.405388	0.172703
parties	0.934905	0.118249	-0.118249	0.156635	0.172375	0.136108	0.30657	0.166001
developed	0.256229	0.0	-0.0	0.071679	0.36152	0.032444	0.146682	0.375514
session	0.294415	0.0399428	-0.0399428	0.173331	0.150559	0.145503	0.347379	0.107453
units	0.327442	0.0	-0.0	0.195765	0.126593	0.196446	0.179549	0.280203
sound	0.283737	0.0	-0.0	0.375857	0.278402	0.088587	0.160296	0.141015
account	0.278392	0.533735	-0.533735	0.263356	0.10767	0.09613	0.123285	0.606206
environment	0.213937	0.0	-0.0	0.12899	0.129549	0.07234	0.337741	0.225246
article	0.666338	-0.0230316	0.0230316	0.178515	0.133837	0.149211	0.229601	0.264448
bureau	0.198044	0.0	-0.0	0.161063	0.561388	0.11266	0.151301	0.047512
panel	0.331777	0.32113	-0.32113	0.180519	0.178733	0.132155	0.197807	0.283209
climate	0.536435	0.225714	-0.225714	0.184867	0.148075	0.133919	0.195046	0.553113
convention	0.481596	0.140188	-0.140188	0.167669	0.466692	0.135278	0.262184	0.213205
decisions	0.333684	0.546106	-0.546106	0.203709	0.161284	0.105355	0.247039	0.233352
clean	0.339027	0.573988	-0.573988	0.144507	0.277538	0.070316	0.52024	0.123766
scientific	0.414692	0.373285	-0.373285	0.213134	0.498898	0.151812	0.147653	0.179113
berlin	0.22902	0.0	-0.0	0.21206	0.073942	0.119202	0.421783	0.070617
commitment	0.380569	0.143085	-0.143085	0.142873	0.139471	0.248989	0.202729	0.246321
programme	0.213937	0.0	-0.0	0.12899	0.129549	0.07234	0.337741	0.225246
aviation	0.241485	0.0	-0.0	0.10479	0.083319	0.092349	0.415364	0.176733
advice	0.414692	0.373285	-0.373285	0.213134	0.498898	0.151812	0.147653	0.179113
amendment	0.258304	0.517605	-0.517605	0.158339	0.145659	0.161337	0.24519	0.246202
reduction	0.327442	0.0	-0.0	0.195765	0.126593	0.196446	0.179549	0.280203
equivalent	0.285431	-0.464993	0.464993	0.082109	0.177205	0.11426	0.178044	0.396566
technologies	0.283737	0.0	-0.0	0.375857	0.278402	0.088587	0.160296	0.141015
implementation	0.27603	0.436883	-0.436883	0.210992	0.521353	0.159511	0.16903	0.131699
montreal	0.633833	-0.0605008	0.0605008	0.190713	0.243251	0.20843	0.094917	0.330128
atomic	0.211452	0.0	-0.0	0.113213	0.077357	0.207252	0.279835	0.2197
carbon	0.285713	-0.464993	0.464993	0.082109	0.177205	0.11426	0.178044	0.396566
emissions	0.310626	-0.00419068	0.00419068	0.192246	0.204026	0.176699	0.173924	0.278543
framework	0.28244	0.0	-0.0	0.530958	0.171327	0.027433	0.197402	0.06967
subsidiary	0.414692	0.373285	-0.373285	0.213134	0.498898	0.151812	0.147653	0.179113
relevant	0.333684	0.546106	-0.546106	0.203709	0.161284	0.105355	0.247039	0.233352
provisions	0.26545	0.4255	-0.4255	0.177564	0.446954	0.13386	0.234975	0.249728
integration	0.34602	0.385159	-0.385159	0.092316	0.12192	0.100658	0.405388	0.172703
