Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
and	0.179103	0.359849	-0.359849	0.21711	0.501189	0.149418	0.168669	0.164831
for	0.179103	0.359849	-0.359849	0.21711	0.501189	0.149418	0.168669	0.164831
one	0.15642	0.0	-0.0	0	0	0	0	0
new	0.219417	0.0	-0.0	0.130972	0.07429	0.103896	0.421378	0.146204
year	0.15642	0.0	-0.0	0	0	0	0	0
years	0.15642	0.0	-0.0	0	0	0	0	0
three	0.15642	0.0	-0.0	0	0	0	0	0
united	0.247711	0.0	-0.0	0.207999	0.136555	0.094064	0.236323	0.505472
states	0.394151	0.384086	-0.384086	0.145512	0.192027	0.071218	0.258727	0.571114
national	0.423569	0.319996	-0.319996	0.171691	0.078012	0.251975	0.212321	0.228617
country	0.893674	0.526704	-0.526704	0.133727	0.244228	0.086206	0.202227	0.305614
international	0.20279	0.36379	-0.36379	0.472557	0.267955	0.082927	0.068366	0.223018
party	0.609974	0.410176	-0.410176	0.135925	0.508383	0.12381	0.528882	0.146143
five	0.15642	0.0	-0.0	0	0	0	0	0
york	0.219417	0.0	-0.0	0.130972	0.07429	0.103896	0.421378	0.146204
six	0.15642	0.0	-0.0	0	0	0	0	0
economic	0.5616	0.435353	-0.435353	0.114385	0.160124	0.104008	0.28773	0.273423
countries	0.381217	0.208927	-0.208927	0.155333	0.167541	0.112542	0.055471	0.76418
best	0.383768	0.449343	-0.449343	0.0121	0.004408	0.051934	0.612726	0.1595
months	0.15642	0.0	-0.0	0	0	0	0	0
support	0.193149	0.553212	-0.553212	0.103621	0.191676	0.140181	0.325845	0.147894
meeting	0.46718	0.146813	-0.146813	0.188786	0.188096	0.105359	0.309774	0.14914
small	0.37459	0.208927	-0.208927	0.081572	0.114829	0.083416	0.229892	0.398857
development	0.477636	0.151465	-0.151465	0.21246	0.249099	0.455051	0.104673	0.31333
member	0.394151	0.384086	-0.384086	0.145512	0.192027	0.071218	0.258727	0.571114
information	0.361828	0.514109	-0.514109	0.15009	0.092687	0.079144	0.278422	0.516158
agency	0.174834	0.0	-0.0	0.164082	0.118009	0.156492	0.212451	0.287778
conference	0.496759	0.148332	-0.148332	0.180745	0.193731	0.110584	0.312219	0.141816
nations	0.247711	0.0	-0.0	0.207999	0.136555	0.094064	0.236323	0.505472
different	0.423569	0.319996	-0.319996	0.171691	0.078012	0.251975	0.212321	0.228617
change	0.757748	0.236271	-0.236271	0.159108	0.143112	0.171334	0.143213	0.596324
agreement	0.821823	0.167491	-0.167491	0.175337	0.163153	0.118492	0.255749	0.245315
