Word	General_Election-BIDEN	Primary_Republicans-HUCKABEE	Primary_Republicans-BROWNBACK	Primary_Republicans-MCCAIN	Primary_Democrats-CLINTON	Primary_Democrats-DODD	Primary_Democrats-GRAVEL	Primary_Republicans-TANCREDO	Primary_Republicans-SENTHOMPSON	Primary_Republicans-GILMORE	Primary_Republicans-GOVTHOMPSON	Primary_Republicans-ROMNEY	General_Election-PALIN	Primary_Democrats-RICHARDSON	Primary_Democrats-OBAMA	Primary_Democrats-EDWARDS	General_Election-OBAMA	Primary_Democrats-BIDEN	Primary_Democrats-KUCINICH	Primary_Republicans-KEYES	Primary_Republicans-HUNTER	General_Election-MCCAIN	Primary_Republicans-GIULIANI	Primary_Republicans-PAUL	Shared
and	0	0	0.40097	0	0	0	0	0	0	0.367054	0	0.425208	0	0	0	0	0	0	0	0	0	0	0	0	3
for	0	0	0	0	0	0	0	0	0	0	0	0.425208	0	0	0	0	0	0	0	0	0	0	0	0	1
will	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241565	0	1
one	0	0	0	0	0	0	0	0	0.42055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
new	0.357934	0.298664	0	0.419904	0.410645	0.31107	0.393841	0	0.450919	0.299803	0	0.410825	0	0.470032	0.267479	0.314696	0	0	0.257251	0.403272	0.363126	0.552024	0.894257	0	17
two	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327534	0	0	0	0	1
people	0.455645	0.940482	0.952342	0.740608	0.966631	0.694541	0.913539	0.762707	0.925501	0.780674	0.793069	0.947809	0.688795	0.845923	0.881566	0.738698	0.477562	0.894301	0.722356	0.933975	0.697106	0.681981	0.359168	0.722973	24
percent	0	0	0.702382	0	0	0	0	0	0	0	0.483553	0	0	0.762873	0	0	0.380836	0	0	0	0.558302	0	0.242083	0	6
government	0	0.751836	0.753667	0.721754	0.269756	0	0	0.8356	0.699701	0.412354	0.411826	0.36013	0.286333	0.274219	0.181827	0.27368	0.174373	0	0	0	0	0.219399	0.355628	0.542796	17
time	0.365904	0	0.704315	0.347069	0.542708	0	0	0.552259	0.868418	0	0.441543	0.568247	0.550253	0	0.258153	0	0.362134	0.687344	0.504	0	0	0.586075	0	0.285337	15
years	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327534	0	0	0	0	1
world	0	0	0.703194	0	0.511916	0	0.415962	0.549605	0.750773	0.302222	0.408163	0.573995	0	0	0	0.458291	0	0.585947	0	0	0.487305	0	0	0.228963	12
president	0.294426	0.865996	0.715733	0.945552	0.837524	0.905785	0.859645	0.797236	0.649738	0.287741	0.632985	0.667943	0.234712	0.834783	0.515899	0.783937	0.431125	0.834249	0.861548	0.416215	0.556895	0.268555	0.47978	0.499001	24
state	0	0	0.721709	0.31285	0	0	0	0.545887	0.773346	0	0.410255	0.493827	0.578968	0.769226	0	0	0	0	0	0	0.69757	0	0	0	9
against	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219399	0	0	1
u.s.	0	0	0.712858	0	0	0	0	0	0	0	0	0	0.317868	0.266214	0	0	0	0	0	0	0.274821	0	0	0	4
united	0.366213	0.497881	0.750358	0.81046	0.43328	0.743913	0.589483	0.93496	0.747119	0.726682	0.730688	0.414443	0.265142	0.445383	0.338833	0.569383	0.228898	0.569002	0.406397	0.699775	0.722525	0.435928	0.624183	0	23
states	0.366213	0.497881	0.750358	0.81046	0.43328	0.743913	0.589483	0.93496	0.747119	0.726682	0.730688	0.414443	0.265142	0.445383	0.338833	0.569383	0.228898	0.569002	0.406397	0.699775	0.722525	0.435928	0.624183	0	23
city	0	0	0.714143	0.335508	0.410645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.894257	0	4
national	0	0.400454	0.40097	0.640395	0	0.43334	0.347771	0.604452	0.766113	0.367054	0.373949	0	0	0	0	0	0.371177	0	0	0.626836	0.603023	0.213912	0	0	13
day	0	0	0	0	0	0	0	0	0.42055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
country	0	0.702832	0.893532	0.348143	0.540707	0.757723	0.429795	0.675321	0.788363	0.306103	0.55637	0.611644	0.544977	0.86237	0.413791	0.573664	0	0.593534	0.513554	0.610477	0.564593	0.551605	0	0.417806	21
china	0	0	0	0	0	0.479397	0.309824	0.356615	0	0.276832	0	0	0	0.288405	0.193797	0.230088	0	0.383873	0.389339	0	0.477019	0.250527	0	0.33238	12
war	0.351635	0	0	0	0.538142	0	0.577297	0	0.706687	0	0	0	0.553515	0.835106	0	0.477777	0	0.751327	0.709287	0	0.487305	0	0	0.365491	11
south	0	0	0	0.365082	0	0	0	0	0	0	0.349322	0	0	0	0	0	0	0	0	0	0	0	0	0	2
american	0	0.439228	0.40097	0.666011	0.499985	0.421564	0.618113	0.297197	0	0.403645	0.707396	0.520433	0.688795	0.845923	0.22954	0.729725	0.445076	0.621274	0.70377	0.731169	0.581037	0.630831	0.355628	0	21
international	0	0	0.693017	0	0	0	0	0	0	0.340734	0	0.425208	0	0	0	0	0	0	0	0	0	0	0	0	3
high	0	0	0	0	0	0	0.401021	0	0	0	0	0	0	0.710341	0	0	0	0	0	0.530322	0	0	0	0	3
