Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.357934	0.262688	-0.262688	0.127568	0.012285	0.065671	0.414186	0.227293
people	0.455645	-0.152811	0.152811	0.210405	0.282394	0.110898	0.093091	0.562009
time	0.365904	-0.163214	0.163214	0.163886	0.465769	0.128735	0.155791	0.345341
president	0.294426	-0.446164	0.446164	0.203688	0.356413	0.449255	0.01212	0.17049
united	0.366213	-0.250236	0.250236	0.12548	0.517961	0.34219	0.037018	0.121239
states	0.366213	-0.250236	0.250236	0.12548	0.517961	0.34219	0.037018	0.121239
war	0.351635	-0.407786	0.407786	0.227708	0.222364	0.489429	0.016407	0.629064
way	0.353251	0.133706	-0.133706	0.43805	0.500899	0.065201	0.248603	0.171591
foreign	0.370796	0.367266	-0.367266	0.233723	0.424965	0.183419	0.010591	0.339839
number	0.363357	-0.248427	0.248427	0.106301	0.158883	0.25363	0.043267	0.718797
iraq	0.261085	-0.2579	0.2579	0.079999	0.017693	0.08015	0.474944	0.193454
bush	0.294426	-0.446164	0.446164	0.203688	0.356413	0.449255	0.01212	0.17049
john	0.460989	0.0	-0.0	0.317467	0.196948	0.381146	0.045623	0.200407
washington	0.194836	-0.83539	0.83539	0.217919	0.201606	0.305108	0.001584	0.45187
money	0.352208	-0.0994531	0.0994531	0.188631	0.472779	0.132097	0.117584	0.499864
israel	0.193516	-0.547616	0.547616	0.165657	0.049738	0.253435	0.03814	0.779442
line	0.352026	-0.535637	0.535637	0.312885	0.594914	0.057402	0.003246	0.235159
prime	0.375677	-0.490036	0.490036	0.185383	0.163895	0.219163	0.008815	0.563431
capital	0.351415	0.0	-0.0	0.103846	0.488408	0.194862	0.007631	0.373019
health	0.543564	0.497698	-0.497698	0.093464	0.431823	0.072924	0.639004	0.626565
plan	0.406568	0.488585	-0.488585	0.09451	0.191667	0.054732	0.319591	0.23828
control	0.363406	-0.323867	0.323867	0.364807	0.248301	0.22069	0.010198	0.347514
america	0.299733	0.232439	-0.232439	0.227161	0.341775	0.097799	0.120682	0.276871
industry	0.349728	0.355315	-0.355315	0.133668	0.141883	0.167015	0.163829	0.361174
nuclear	0.371268	-0.46848	0.46848	0.245023	0.095916	0.408289	0.001129	0.412606
street	0.425444	-0.205288	0.205288	0.224886	0.222072	0.391959	0.078838	0.17865
