Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.552024	0.360134	-0.360134	0.113818	0.059413	0.147209	0.065544	0.62301
people	0.681981	-0.00221884	0.00221884	0.190447	0.517246	0.084128	0.138428	0.554564
government	0.219399	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
time	0.586075	0.0495352	-0.0495352	0.462513	0.42286	0.141999	0.149534	0.551978
president	0.268555	0.109948	-0.109948	0.063522	0.079312	0.02839	0.740272	0.010145
against	0.219399	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
united	0.435928	-0.348556	0.348556	0.459164	0.247584	0.176502	0.091115	0.318548
states	0.435928	-0.348556	0.348556	0.459164	0.247584	0.176502	0.091115	0.318548
national	0.213912	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
country	0.551605	-0.00311244	0.00311244	0.124284	0.48523	0.101986	0.514466	0.612106
china	0.250527	0.261127	-0.261127	0.092126	0.343602	0.103995	0.005428	0.59529
american	0.630831	-0.0957005	0.0957005	0.219566	0.635827	0.061174	0.025059	0.540747
home	0.573796	-0.375986	0.375986	0.307675	0.176064	0.20986	0.001907	0.483593
way	0.555146	-0.102039	0.102039	0.134313	0.46156	0.096955	0.574244	0.538125
security	0.557095	-0.486357	0.486357	0.159874	0.377637	0.065859	0.005018	0.549904
market	0.548681	-0.710113	0.710113	0.382846	0.163294	0.283292	0.000929	0.366216
general	0.230555	0.0	-0.0	0.153729	0.08995	0.059997	0.441106	0.135289
university	0.228099	0.0	-0.0	0.13938	0.146095	0.047005	0.30646	0.258065
major	0.557689	-0.410939	0.410939	0.217439	0.214216	0.118104	0.022276	0.559209
iraq	0.306289	-0.447296	0.447296	0.199635	0.605454	0.292886	0.040566	0.207151
times	0.563981	-0.250416	0.250416	0.196427	0.295944	0.085906	0.023575	0.533078
economic	0.563981	-0.250416	0.250416	0.196427	0.295944	0.085906	0.023575	0.533078
business	0.592837	0.209093	-0.209093	0.181765	0.494607	0.165918	0.219198	0.177185
power	0.606739	0.178983	-0.178983	0.232706	0.135021	0.17565	0.176033	0.281547
bush	0.262611	-0.470795	0.470795	0.147306	0.653536	0.111924	0.032632	0.187346
john	0.548877	-0.584145	0.584145	0.224545	0.39623	0.108739	0.151591	0.158207
washington	0.325713	-0.447296	0.447296	0.30621	0.292645	0.172151	0.059268	0.527801
money	0.549236	0.0	-0.0	0.033613	0.424574	0.203169	0.034387	0.413408
union	0.213912	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
small	0.592837	0.209093	-0.209093	0.181765	0.494607	0.165918	0.219198	0.177185
health	0.645067	0.569212	-0.569212	0.207044	0.124954	0.162518	0.144053	0.572029
big	0.549236	0.0	-0.0	0.033613	0.424574	0.203169	0.034387	0.413408
record	0.553317	-0.054813	0.054813	0.455434	0.188154	0.085516	0.266376	0.168995
russia	0.227589	-0.140507	0.140507	0.181149	0.148457	0.230055	0.145475	0.505009
economy	0.555802	0.00847703	-0.00847703	0.137988	0.083246	0.505335	0.060233	0.592386
clinton	0.212733	-0.360821	0.360821	0.159173	0.264812	0.14127	0.11959	0.358832
america	0.532365	0.0	-0.0	0.204127	0.541022	0.139063	0.094106	0.327226
nuclear	0.606739	0.178983	-0.178983	0.232706	0.135021	0.17565	0.176033	0.281547
street	0.548496	-0.418479	0.418479	0.518667	0.552637	0.052105	0.009324	0.080406
issue	0.557689	-0.410939	0.410939	0.217439	0.214216	0.118104	0.022276	0.559209
change	0.547346	-0.443037	0.443037	0.170675	0.179451	0.43421	0.032621	0.305675
iran	0.2253	-0.413152	0.413152	0.217181	0.120827	0.148854	0.211809	0.268007
special	0.552093	-0.542595	0.542595	0.115374	0.222384	0.231634	0.117423	0.332905
single	0.557689	-0.410939	0.410939	0.217439	0.214216	0.118104	0.022276	0.559209
congress	0.232469	-0.400768	0.400768	0.099068	0.690103	0.036772	0.003659	0.313593
energy	0.56308	0.557127	-0.557127	0.075463	0.021448	0.13242	0.443523	0.175067
tax	0.62405	0.475408	-0.475408	0.16938	0.091718	0.072949	0.008099	0.753394
senate	0.435928	-0.348556	0.348556	0.459164	0.247584	0.176502	0.091115	0.318548
care	0.645067	0.569212	-0.569212	0.207044	0.124954	0.162518	0.144053	0.572029
obama	0.944657	-0.256191	0.256191	0.195878	0.5082	0.138167	0.094034	0.347358
americans	0.582308	-0.156959	0.156959	0.65274	0.537744	0.441892	0.016916	0.616678
wall	0.548496	-0.418479	0.418479	0.518667	0.552637	0.052105	0.009324	0.080406
income	0.552247	-0.370826	0.370826	0.18172	0.445526	0.320081	0.065944	0.113575
jobs	0.567088	-0.0258642	0.0258642	0.138768	0.142833	0.212351	0.57113	0.219763
friends	0.588547	0.293293	-0.293293	0.233861	0.086113	0.178582	0.082912	0.455988
spending	0.554746	-0.558151	0.558151	0.191308	0.211229	0.157978	0.118521	0.580924
chicago	0.202235	0.0	-0.0	0.076692	0.158265	0.166396	0.084789	0.526342
credit	0.62405	0.475408	-0.475408	0.16938	0.091718	0.072949	0.008099	0.753394
projects	0.55655	-0.390452	0.390452	0.127262	0.368385	0.071869	0.022208	0.536779
independence	0.56308	0.557127	-0.557127	0.075463	0.021448	0.13242	0.443523	0.175067
insurance	0.604341	0.0144771	-0.0144771	0.181332	0.173753	0.162381	0.109165	0.587779
housing	0.548681	-0.710113	0.710113	0.382846	0.163294	0.283292	0.000929	0.366216
georgia	0.247614	-0.0929974	0.0929974	0.216321	0.299415	0.390129	0.007237	0.280644
citizens	0.219399	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
businesses	0.580612	-0.22674	0.22674	0.125449	0.181764	0.129557	0.589175	0.504454
tough	0.563981	-0.250416	0.250416	0.196427	0.295944	0.085906	0.023575	0.533078
tom	0.420192	0.0	-0.0	0.062999	0.099404	0.078978	0.183664	0.485521
interests	0.552093	-0.542595	0.542595	0.115374	0.222384	0.231634	0.117423	0.332905
bob	0.28683	0.0	-0.0	0.179634	0.104366	0.167599	0.223619	0.260306
climate	0.547346	-0.443037	0.443037	0.170675	0.179451	0.43421	0.032621	0.305675
plants	0.564068	0.0	-0.0	0.2771	0.117077	0.160742	0.114172	0.361178
joe	0.235731	-0.144252	0.144252	0.130475	0.164846	0.107326	0.196408	0.586796
taxes	0.570907	-0.134126	0.134126	0.161788	0.63324	0.163041	0.040551	0.335161
direction	0.552024	0.360134	-0.360134	0.113818	0.059413	0.147209	0.065544	0.62301
senator	0.944657	-0.256191	0.256191	0.195878	0.5082	0.138167	0.094034	0.347358
loan	0.560857	-0.549383	0.549383	0.237416	0.270214	0.105581	0.00423	0.550596
treasury	0.206735	-0.542663	0.542663	0.276446	0.185748	0.116689	0.004687	0.575981
ukraine	0.227177	0.733764	-0.733764	0.133015	0.148942	0.278924	0.121208	0.327442
lewis	0.548877	-0.584145	0.584145	0.224545	0.39623	0.108739	0.151591	0.158207
illinois	0.2271	0.0	-0.0	0.197245	0.163762	0.167081	0.106013	0.3951
dream	0.559508	0.287582	-0.287582	0.042184	0.256198	0.116769	0.020279	0.65248
values	0.573796	-0.375986	0.375986	0.307675	0.176064	0.20986	0.001907	0.483593
alan	0.206903	0.243124	-0.243124	0.141168	0.152475	0.137041	0.205598	0.309148
barrel	0.562186	-0.500269	0.500269	0.206631	0.448185	0.103175	0.010447	0.406012
d.c.	0.209088	-0.0568968	0.0568968	0.931038	0.01062	0.027009	0.026208	0.019608
waste	0.219399	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
warren	0.198249	0.449701	-0.449701	0.223252	0.429365	0.064652	0.062241	0.33468
reagan	0.268555	0.109948	-0.109948	0.063522	0.079312	0.02839	0.740272	0.010145
tip	0.209355	0.0	-0.0	0.188492	0.484634	0.116904	0.059433	0.266748
mac	0.210246	-0.442552	0.442552	0.144094	0.274824	0.176681	0.233549	0.144212
taxpayers	0.213912	-0.522066	0.522066	0.429033	0.620057	0.028106	0.021088	0.092109
roosevelt	0.197995	0.475377	-0.475377	0.080466	0.193174	0.037503	0.396662	0.172032
sen	0.212733	-0.360821	0.360821	0.159173	0.264812	0.14127	0.11959	0.358832
congressman	0.548877	-0.584145	0.584145	0.224545	0.39623	0.108739	0.151591	0.158207
lieberman	0.275825	-0.313066	0.313066	0.187836	0.118442	0.145495	0.128189	0.412825
o'neill	0.209355	0.0	-0.0	0.188492	0.484634	0.116904	0.059433	0.266748
pork	0.562186	-0.500269	0.500269	0.206631	0.448185	0.103175	0.010447	0.406012
overhead	0.549804	-0.22944	0.22944	0.165223	0.240667	0.237817	0.066119	0.382196
mortgages	0.560857	-0.549383	0.549383	0.237416	0.270214	0.105581	0.00423	0.550596
mae	0.212927	0.0	-0.0	0.144094	0.274824	0.176681	0.233549	0.144212
whitman	0.225609	0.386419	-0.386419	0.153274	0.393476	0.079406	0.095485	0.338315
freddie	0.210246	-0.442552	0.442552	0.144094	0.274824	0.176681	0.233549	0.144212
ebay	0.207555	0.422516	-0.422516	0.172367	0.381703	0.09479	0.089319	0.333327
petraeus	0.230555	0.0	-0.0	0.153729	0.08995	0.059997	0.441106	0.135289
belmont	0.228099	0.0	-0.0	0.13938	0.146095	0.047005	0.30646	0.258065
fannie	0.212927	0.0	-0.0	0.144094	0.274824	0.176681	0.233549	0.144212
teddy	0.197995	0.475377	-0.475377	0.080466	0.193174	0.037503	0.396662	0.172032
buffett	0.198249	0.449701	-0.449701	0.223252	0.429365	0.064652	0.062241	0.33468
meg	0.225609	0.386419	-0.386419	0.153274	0.393476	0.079406	0.095485	0.338315
