Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.477562	-0.0263273	0.0263273	0.213192	0.535654	0.110375	0.092177	0.58948
percent	0.380836	0.631409	-0.631409	0.196045	0.088711	0.055991	0.023307	0.712235
government	0.174373	-0.540732	0.540732	0.288196	0.120225	0.280728	0.014296	0.448309
time	0.362134	0.234837	-0.234837	0.124442	0.152055	0.119177	0.171992	0.591012
president	0.431125	0.296934	-0.296934	0.138986	0.089239	0.119666	0.203941	0.379233
united	0.228898	0.0	-0.0	0.143917	0.139143	0.113737	0.309451	0.20172
states	0.228898	0.0	-0.0	0.143917	0.139143	0.113737	0.309451	0.20172
national	0.371177	-0.512045	0.512045	0.145146	0.46329	0.072183	0.001086	0.489274
american	0.445076	-0.0931798	0.0931798	0.181069	0.567296	0.075105	0.057065	0.616787
north	0.188535	-0.480462	0.480462	0.111382	0.165831	0.272381	0.181771	0.236678
security	0.371177	-0.512045	0.512045	0.145146	0.46329	0.072183	0.001086	0.489274
university	0.192649	0.331313	-0.331313	0.05785	0.021835	0.003461	0.790405	0.045238
iraq	0.216083	-0.851117	0.851117	0.203436	0.367177	0.590612	0.001906	0.049208
economic	0.350303	-0.554484	0.554484	0.157227	0.114681	0.072896	0.003941	0.757478
children	0.349261	0.459342	-0.459342	0.083752	0.162536	0.022957	0.303161	0.313003
bush	0.323196	-0.563412	0.563412	0.104389	0.692204	0.139461	0.117706	0.17343
john	0.185319	0.490902	-0.490902	0.388963	0.62464	0.036424	0.031885	0.093124
washington	0.206644	0.0101732	-0.0101732	0.217794	0.582947	0.126179	0.139337	0.257185
money	0.374684	0.156459	-0.156459	0.47559	0.234481	0.159694	0.095523	0.296293
oil	0.349703	0.0	-0.0	0.143917	0.139143	0.113737	0.309451	0.20172
little	0.358258	-0.313569	0.313569	0.057526	0.059217	0.23817	0.224858	0.320803
companies	0.374823	-0.413227	0.413227	0.228656	0.500782	0.014739	0.000858	0.438677
federal	0.177238	-0.628525	0.628525	0.262807	0.036889	0.123266	0.010281	0.674195
small	0.449054	0.0322014	-0.0322014	0.19682	0.100299	0.135272	0.256588	0.267238
health	0.781946	-0.105604	0.105604	0.086799	0.081955	0.078614	0.281534	0.601798
plan	0.377154	0.502053	-0.502053	0.117768	0.053373	0.115467	0.334299	0.25123
financial	0.364988	-0.754818	0.754818	0.087047	0.031492	0.026435	0.000199	0.917101
economy	0.355308	-0.117597	0.117597	0.149995	0.083615	0.497663	0.093677	0.370221
america	0.338394	0.779825	-0.779825	0.195893	0.065721	0.130907	0.394369	0.1099
young	0.372823	0.385127	-0.385127	0.244779	0.341368	0.101624	0.089408	0.31117
