Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.688795	0.206093	-0.206093	0.167111	0.663503	0.067601	0.050716	0.564993
government	0.286333	-0.610806	0.610806	0.496147	0.2514	0.14315	0.001121	0.316966
time	0.550253	-0.219921	0.219921	0.136864	0.19397	0.08308	0.202739	0.539942
president	0.234712	0.739779	-0.739779	0.088244	0.252922	0.028775	0.040452	0.65466
state	0.578968	0.614808	-0.614808	0.068875	0.123091	0.114344	0.192891	0.41839
u.s.	0.317868	0.28474	-0.28474	0.21653	0.467909	0.113275	0.161613	0.488257
united	0.265142	-0.0723736	0.0723736	0.177157	0.585168	0.087069	0.009352	0.314134
states	0.265142	-0.0723736	0.0723736	0.177157	0.585168	0.087069	0.009352	0.314134
country	0.544977	-0.105866	0.105866	0.1415	0.567388	0.135803	0.044606	0.637891
war	0.553515	0.00698027	-0.00698027	0.197109	0.177645	0.613768	0.069579	0.576186
american	0.688795	0.206093	-0.206093	0.167111	0.663503	0.067601	0.050716	0.564993
house	0.23168	0.23496	-0.23496	0.18256	0.310161	0.088075	0.213401	0.186792
north	0.195659	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
general	0.217124	-0.221641	0.221641	0.197559	0.204458	0.180442	0.238436	0.149067
good	0.546508	0.856543	-0.856543	0.065046	0.02197	0.059388	0.520797	0.175263
iraq	0.314249	-0.294786	0.294786	0.182828	0.557495	0.644327	0.071993	0.143546
business	0.54564	-0.824027	0.824027	0.279146	0.400456	0.143023	0.02544	0.323386
bush	0.194014	-0.383072	0.383072	0.148915	0.42227	0.102385	0.013982	0.469327
john	0.927234	0.241687	-0.241687	0.203008	0.4692	0.117421	0.201975	0.214671
washington	0.29927	-0.0723566	0.0723566	0.404216	0.648764	0.053758	0.002529	0.105666
white	0.23168	0.23496	-0.23496	0.18256	0.310161	0.088075	0.213401	0.186792
israel	0.240421	0.0104925	-0.0104925	0.174958	0.122837	0.588593	0.142852	0.243655
oil	0.567427	-0.283307	0.283307	0.292201	0.336009	0.146472	0.002114	0.421971
east	0.191476	0.827913	-0.827913	0.075407	0.019216	0.178433	0.499027	0.088749
companies	0.567427	-0.283307	0.283307	0.292201	0.336009	0.146472	0.002114	0.421971
federal	0.286333	-0.610806	0.610806	0.496147	0.2514	0.14315	0.001121	0.316966
health	0.605164	0.721714	-0.721714	0.457734	0.171136	0.154057	0.444948	0.574317
record	0.637519	0.0100658	-0.0100658	0.206163	0.489775	0.066975	0.572513	0.094326
plan	0.555542	-0.256362	0.256362	0.170997	0.285503	0.185037	0.005586	0.5161
economy	0.54874	0.0397269	-0.0397269	0.167681	0.125793	0.491925	0.033998	0.572977
america	0.515233	0.155688	-0.155688	0.600495	0.554223	0.111363	0.08187	0.274152
administration	0.586573	-0.437733	0.437733	0.186717	0.575287	0.141418	0.033796	0.21421
nuclear	0.589363	-0.351155	0.351155	0.319238	0.376993	0.10176	0.02805	0.345768
street	0.625698	-0.142872	0.142872	0.581835	0.612699	0.169144	0.005316	0.20248
change	0.595627	0.185101	-0.185101	0.490293	0.080503	0.189942	0.219373	0.259981
nation	0.550671	0.0397127	-0.0397127	0.161777	0.122119	0.160004	0.465058	0.509749
policy	0.553119	0.290196	-0.290196	0.22895	0.252234	0.075785	0.111117	0.368527
iran	0.233545	-0.635962	0.635962	0.306094	0.128547	0.581773	0.002792	0.165065
higher	0.565096	0.277837	-0.277837	0.213994	0.418053	0.102216	0.032729	0.379191
energy	0.619877	0.0847415	-0.0847415	0.17221	0.133184	0.199395	0.481659	0.264471
average	0.544697	0.0	-0.0	0.118104	0.592635	0.224865	0.022928	0.198772
george	0.194014	-0.383072	0.383072	0.148915	0.42227	0.102385	0.013982	0.469327
tax	0.570514	0.0176542	-0.0176542	0.14968	0.571304	0.181237	0.038387	0.562316
middle	0.191476	0.827913	-0.827913	0.075407	0.019216	0.178433	0.499027	0.088749
weapons	0.589363	-0.351155	0.351155	0.319238	0.376993	0.10176	0.02805	0.345768
senate	0.317868	0.28474	-0.28474	0.21653	0.467909	0.113275	0.161613	0.488257
care	0.605164	0.721714	-0.721714	0.457734	0.171136	0.154057	0.444948	0.574317
obama	0.595485	-0.396218	0.396218	0.185987	0.563965	0.127013	0.074228	0.350507
