Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.894301	-0.135306	0.135306	0.186319	0.590434	0.121922	0.061168	0.557611
time	0.687344	-0.144362	0.144362	0.139059	0.186581	0.173171	0.120912	0.554616
world	0.585947	0.147528	-0.147528	0.203048	0.248322	0.189253	0.082584	0.522556
president	0.834249	-0.277961	0.277961	0.233119	0.51484	0.107428	0.134324	0.265462
united	0.569002	-0.135686	0.135686	0.192081	0.497333	0.122085	0.107419	0.50944
states	0.569002	-0.135686	0.135686	0.192081	0.497333	0.122085	0.107419	0.50944
country	0.593534	0.0407648	-0.0407648	0.164223	0.545564	0.124077	0.045156	0.646356
china	0.383873	-0.683896	0.683896	0.160357	0.097415	0.191499	0.14858	0.376962
war	0.751327	-0.419833	0.419833	0.228534	0.494513	0.233363	0.025168	0.578916
american	0.621274	0.277099	-0.277099	0.198564	0.376203	0.07034	0.004405	0.521653
end	0.61745	0.0	-0.0	0.049134	0.349413	0.159173	0.065707	0.434639
school	0.59452	-0.190155	0.190155	0.143371	0.153387	0.553872	0.116377	0.355285
way	0.700583	0.177785	-0.177785	0.168742	0.111209	0.520408	0.310823	0.202671
public	0.651725	0.136508	-0.136508	0.311103	0.473073	0.143865	0.069742	0.140151
court	0.342541	0.385081	-0.385081	0.197553	0.594793	0.086678	0.048285	0.200117
foreign	0.639593	-0.036945	0.036945	0.326599	0.407632	0.057405	0.003134	0.405755
number	0.838802	0.0	-0.0	0.113994	0.155156	0.269815	0.045213	0.622012
iraq	0.822288	-0.439795	0.439795	0.209519	0.571824	0.483196	0.036777	0.214792
women	0.60072	-0.515979	0.515979	0.384371	0.564179	0.065644	0.007449	0.189725
bush	0.392637	-0.203715	0.203715	0.180909	0.627115	0.101879	0.0914	0.544225
department	0.340276	-0.455842	0.455842	0.253096	0.223766	0.030391	0.026768	0.587423
health	0.604464	0.176136	-0.176136	0.168858	0.130266	0.14842	0.036554	0.594814
troops	0.659189	-0.466143	0.466143	0.190219	0.497364	0.215624	0.090885	0.484724
clinton	0.613458	0.0	-0.0	0.101415	0.084391	0.113279	0.016806	0.752963
america	0.591165	-0.0566259	0.0566259	0.242246	0.53311	0.198335	0.07594	0.231572
nations	0.314228	-0.381232	0.381232	0.196715	0.477922	0.343062	0.006368	0.183983
bill	0.337957	-0.594708	0.594708	0.037202	0.383924	0.667074	0.001895	0.074072
nuclear	0.594604	-0.382495	0.382495	0.326406	0.170015	0.252816	0.024926	0.381162
policy	0.644533	-0.0109175	0.0109175	0.246323	0.215724	0.104035	0.026807	0.730708
board	0.355129	-0.51265	0.51265	0.544507	0.113615	0.131994	0.001954	0.382145
iran	0.495595	-0.559816	0.559816	0.233953	0.206635	0.459147	0.048829	0.578508
single	0.602461	-0.490255	0.490255	0.126106	0.351054	0.342235	0.001844	0.363293
congress	0.467581	-0.445091	0.445091	0.145878	0.682391	0.051725	0.002104	0.278399
education	0.591056	0.516159	-0.516159	0.144469	0.160582	0.159309	0.189901	0.324647
pay	0.581498	0.359331	-0.359331	0.150173	0.117577	0.180733	0.141534	0.394803
george	0.392637	-0.203715	0.203715	0.180909	0.627115	0.101879	0.0914	0.544225
things	0.655125	0.0550187	-0.0550187	0.169187	0.467625	0.144823	0.45913	0.246312
pakistan	0.581686	-0.329109	0.329109	0.361915	0.486337	0.030899	0.017726	0.289266
tax	0.582317	0.23674	-0.23674	0.187923	0.422181	0.226848	0.00345	0.356013
border	0.311941	-0.431106	0.431106	0.152451	0.415832	0.121733	0.042002	0.393908
weapons	0.594604	-0.382495	0.382495	0.326406	0.170015	0.252816	0.024926	0.381162
