Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.31107	-0.539678	0.539678	0.186261	0.121332	0.252038	0.002408	0.580556
people	0.694541	-0.0223353	0.0223353	0.211147	0.49287	0.119933	0.081801	0.590529
president	0.905785	0.212512	-0.212512	0.227149	0.569048	0.099874	0.117835	0.234825
united	0.743913	-0.0972026	0.0972026	0.199499	0.548962	0.087704	0.147304	0.298049
states	0.743913	-0.0972026	0.0972026	0.199499	0.548962	0.087704	0.147304	0.298049
national	0.43334	-0.360139	0.360139	0.144811	0.294865	0.084335	0.007675	0.610625
country	0.757723	-0.115184	0.115184	0.161585	0.572966	0.100145	0.063908	0.665519
china	0.479397	0.286808	-0.286808	0.157159	0.614479	0.070214	0.117743	0.593068
american	0.421564	-0.041212	0.041212	0.151714	0.488287	0.058012	0.000862	0.475185
house	0.396931	0.41229	-0.41229	0.404755	0.218448	0.044832	0.099489	0.300271
military	0.40319	-0.499022	0.499022	0.105387	0.343608	0.344736	0.074339	0.226666
security	0.43334	-0.360139	0.360139	0.144811	0.294865	0.084335	0.007675	0.610625
early	0.422506	0.0	-0.0	0.108555	0.043221	0.128629	0.508216	0.086267
foreign	0.319103	0.0	-0.0	0.338583	0.446385	0.098689	0.020851	0.283938
general	0.370765	-0.318314	0.318314	0.125488	0.641423	0.143243	0.006375	0.251637
university	0.318276	0.566676	-0.566676	0.106284	0.020943	0.00857	0.66516	0.08294
major	0.420812	0.220782	-0.220782	0.338679	0.07992	0.044927	0.20004	0.298235
iraq	0.645646	-0.441557	0.441557	0.219267	0.695106	0.514009	0.034615	0.156251
official	0.319082	0.34772	-0.34772	0.07225	0.060861	0.066121	0.573707	0.101247
children	0.384577	0.210601	-0.210601	0.123691	0.638572	0.093693	0.161903	0.194544
bush	0.377991	-0.617542	0.617542	0.20214	0.274198	0.164905	0.029682	0.465051
john	0.37935	0.766961	-0.766961	0.076422	0.145684	0.019306	0.640462	0.024003
white	0.396931	0.41229	-0.41229	0.404755	0.218448	0.044832	0.099489	0.300271
east	0.415358	-0.323133	0.323133	0.26467	0.073912	0.348012	0.015492	0.433621
