Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.314696	0.083317	-0.083317	0.050741	0.387075	0.058735	0.292432	0.136521
people	0.738698	0.0794038	-0.0794038	0.175334	0.585553	0.086291	0.087973	0.561818
government	0.27368	-0.255392	0.255392	0.319878	0.293436	0.226252	0.004217	0.361255
world	0.458291	0.221433	-0.221433	0.192885	0.242351	0.117811	0.515195	0.283418
president	0.783937	0.153319	-0.153319	0.226158	0.52529	0.094325	0.130687	0.278968
united	0.569383	0.156131	-0.156131	0.217037	0.563147	0.075567	0.145574	0.292881
states	0.569383	0.156131	-0.156131	0.217037	0.563147	0.075567	0.145574	0.292881
country	0.573664	0.0630894	-0.0630894	0.128882	0.282229	0.0711	0.137203	0.633513
china	0.230088	0.0	-0.0	0.174857	0.272609	0.146908	0.207314	0.186507
war	0.477777	-0.168416	0.168416	0.201531	0.478038	0.573073	0.010014	0.642306
american	0.729725	0.0551425	-0.0551425	0.176649	0.651816	0.055757	0.016571	0.587293
school	0.468488	-0.408681	0.408681	0.282947	0.33221	0.136893	0.083875	0.271096
party	0.25639	0.0	-0.0	0.122799	0.259986	0.055773	0.121256	0.445959
house	0.256707	-0.307364	0.307364	0.113239	0.471123	0.154163	0.159185	0.615604
way	0.482863	-0.0307438	0.0307438	0.460279	0.504027	0.118009	0.199702	0.253089
north	0.283399	0.241798	-0.241798	0.190125	0.296756	0.124108	0.149952	0.257443
security	0.465051	-0.393574	0.393574	0.294862	0.204297	0.195115	0.035116	0.405799
public	0.466402	0.0	-0.0	0.310823	0.602888	0.040185	0.013897	0.220594
university	0.248497	0.286766	-0.286766	0.095769	0.10965	0.041042	0.587892	0.057752
iraq	0.543542	-0.325943	0.325943	0.178636	0.653165	0.279136	0.037693	0.191467
children	0.484951	0.079674	-0.079674	0.176753	0.627283	0.131475	0.144331	0.217248
bush	0.605289	0.0	-0.0	0.172818	0.177402	0.090659	0.116828	0.451635
john	0.272856	0.367469	-0.367469	0.190726	0.183564	0.105764	0.339948	0.103213
washington	0.449701	-0.461957	0.461957	0.210309	0.143549	0.078328	0.173282	0.370432
white	0.256707	-0.307364	0.307364	0.113239	0.471123	0.154163	0.159185	0.615604
money	0.466438	0.0194015	-0.0194015	0.141893	0.483595	0.12365	0.133829	0.558864
companies	0.495447	0.409478	-0.409478	0.172841	0.080939	0.169897	0.297541	0.190778
federal	0.27368	-0.255392	0.255392	0.319878	0.293436	0.226252	0.004217	0.361255
department	0.310067	0.147782	-0.147782	0.333856	0.278644	0.114097	0.012898	0.437508
health	0.934967	-0.0940461	0.0940461	0.154104	0.175127	0.101286	0.168413	0.59463
big	0.457023	0.521309	-0.521309	0.084629	0.550666	0.158605	0.113961	0.139553
plan	0.489209	0.659551	-0.659551	0.140545	0.240029	0.056089	0.074707	0.530737
troops	0.481476	-0.393458	0.393458	0.422753	0.449786	0.290496	0.00658	0.068085
clinton	0.516645	-0.234576	0.234576	0.202594	0.331344	0.086337	0.057071	0.565143
america	0.846042	0.150026	-0.150026	0.208363	0.559281	0.095197	0.09541	0.504869
young	0.48284	0.0249758	-0.0249758	0.07622	0.236707	0.028949	0.165582	0.45277
iran	0.369988	0.0	-0.0	0.160452	0.135651	0.116003	0.217051	0.307462
plans	0.460329	0.751728	-0.751728	0.072023	0.10722	0.04154	0.541119	0.110596
