Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.393841	0.0	-0.0	0.094722	0.077287	0.08124	0.377169	0.235202
people	0.913539	-0.063271	0.063271	0.194854	0.581102	0.082563	0.074636	0.553219
world	0.415962	-0.108128	0.108128	0.077966	0.500512	0.063909	0.497778	0.525355
president	0.859645	-0.205628	0.205628	0.239801	0.512962	0.103886	0.12136	0.273638
united	0.589483	-0.400983	0.400983	0.222442	0.49691	0.101978	0.073349	0.499933
states	0.589483	-0.400983	0.400983	0.222442	0.49691	0.101978	0.073349	0.499933
national	0.347771	0.0	-0.0	0.137794	0.130036	0.181313	0.217739	0.270522
country	0.429795	0.194129	-0.194129	0.123192	0.560897	0.087733	0.035227	0.710562
china	0.309824	-0.627473	0.627473	0.225202	0.252779	0.181591	0.017962	0.479014
war	0.577297	-0.504863	0.504863	0.199366	0.488736	0.225803	0.025721	0.625726
american	0.618113	0.38015	-0.38015	0.152817	0.682494	0.057318	0.042279	0.390152
high	0.401021	-0.50704	0.50704	0.183721	0.16419	0.307967	0.09591	0.297278
end	0.397173	0.0	-0.0	0.041879	0.355677	0.148725	0.072721	0.429594
school	0.401021	-0.50704	0.50704	0.183721	0.16419	0.307967	0.09591	0.297278
party	0.301066	0.0	-0.0	0.297297	0.320905	0.061949	0.059914	0.364905
security	0.313531	0.353441	-0.353441	0.080176	0.022704	0.086737	0.470537	0.18376
york	0.393841	0.0	-0.0	0.094722	0.077287	0.08124	0.377169	0.235202
public	0.477932	0.378579	-0.378579	0.373888	0.147987	0.194745	0.030301	0.392299
political	0.399424	0.0	-0.0	0.291016	0.433521	0.025305	0.056498	0.318635
iraq	0.395869	-0.244137	0.244137	0.179165	0.202941	0.152355	0.120179	0.364386
official	0.309653	-0.326879	0.326879	0.104969	0.481001	0.045639	0.191654	0.160704
times	0.393841	0.0	-0.0	0.094722	0.077287	0.08124	0.377169	0.235202
bush	0.413669	-0.563515	0.563515	0.371451	0.402521	0.081997	0.03687	0.270907
john	0.293391	-0.268059	0.268059	0.152563	0.192161	0.091866	0.124093	0.433462
money	0.493135	0.050718	-0.050718	0.162582	0.503122	0.12237	0.16881	0.500936
israel	0.28756	-0.4412	0.4412	0.12797	0.212131	0.159837	0.206554	0.256089
east	0.317463	0.0	-0.0	0.221177	0.245758	0.072939	0.173782	0.280908
chinese	0.393549	-0.338742	0.338742	0.432563	0.113469	0.053421	0.029652	0.490698
little	0.402263	-0.163423	0.163423	0.283208	0.061475	0.202751	0.020035	0.544801
companies	0.400112	-0.467441	0.467441	0.183442	0.172212	0.079073	0.210871	0.309834
peace	0.315979	-0.63016	0.63016	0.279982	0.387813	0.226396	0.085731	0.133865
health	0.510851	-0.115196	0.115196	0.119335	0.111709	0.045062	0.06417	0.673437
clinton	0.319617	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
committee	0.287656	-0.517687	0.517687	0.233277	0.051097	0.568665	0.020756	0.244675
decision	0.399424	0.0	-0.0	0.291016	0.433521	0.025305	0.056498	0.318635
america	0.40822	-0.58136	0.58136	0.371897	0.489496	0.120137	0.006146	0.230949
young	0.402453	0.434246	-0.434246	0.200526	0.32665	0.030888	0.141345	0.320677
human	0.498384	-0.3449	0.3449	0.141996	0.718958	0.044017	0.001873	0.249619
street	0.470001	-0.728144	0.728144	0.481102	0.364299	0.16299	0.014202	0.188533
issue	0.477932	0.378579	-0.378579	0.373888	0.147987	0.194745	0.030301	0.392299
community	0.414802	0.0	-0.0	0.164151	0.360563	0.039629	0.04234	0.499236
nation	0.409889	0.183692	-0.183692	0.234248	0.169655	0.132378	0.091954	0.640783
sales	0.500441	0.0	-0.0	0.193186	0.439194	0.156371	0.036738	0.315831
iran	0.572764	0.245304	-0.245304	0.094639	0.087339	0.135267	0.265378	0.309501
special	0.453402	0.0102113	-0.0102113	0.084308	0.238592	0.125521	0.075061	0.519155
democratic	0.301066	0.0	-0.0	0.297297	0.320905	0.061949	0.059914	0.364905
share	0.393184	-0.544705	0.544705	0.133859	0.467948	0.131082	0.131383	0.179744
congress	0.608323	-0.468325	0.468325	0.13843	0.39616	0.356968	0.044631	0.203216
george	0.413669	-0.563515	0.563515	0.371451	0.402521	0.081997	0.03687	0.270907
social	0.313531	0.353441	-0.353441	0.080176	0.022704	0.086737	0.470537	0.18376
african	0.414802	0.0	-0.0	0.164151	0.360563	0.039629	0.04234	0.499236
tax	0.500441	0.0	-0.0	0.193186	0.439194	0.156371	0.036738	0.315831
middle	0.317463	0.0	-0.0	0.221177	0.245758	0.072939	0.173782	0.280908
course	0.393375	0.0	-0.0	0.403368	0.406167	0.150107	0.03459	0.186218
problem	0.564279	-0.092669	0.092669	0.243234	0.128722	0.152439	0.053672	0.695943
senate	0.357763	0.0	-0.0	0.206035	0.252026	0.093344	0.300584	0.094094
care	0.510851	-0.115196	0.115196	0.119335	0.111709	0.045062	0.06417	0.673437
obama	0.50058	0.338504	-0.338504	0.102656	0.270175	0.06087	0.177156	0.352291
asia	0.346994	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
vice	0.411386	0.0	-0.0	0.134289	0.09931	0.087272	0.253779	0.328877
mexico	0.300169	-0.544705	0.544705	0.080648	0.562741	0.220958	0.07751	0.14252
fund	0.313531	0.353441	-0.353441	0.080176	0.022704	0.086737	0.470537	0.18376
robert	0.382044	0.0	-0.0	0.160828	0.258718	0.099425	0.054413	0.508268
light	0.429828	0.312011	-0.312011	0.036859	0.089841	0.100434	0.604037	0.050064
video	0.397173	0.0	-0.0	0.041879	0.355677	0.148725	0.072721	0.429594
bad	0.403882	-0.615939	0.615939	0.313868	0.314979	0.134972	0.001315	0.435777
wall	0.470001	-0.728144	0.728144	0.481102	0.364299	0.16299	0.014202	0.188533
democrats	0.459298	-0.390518	0.390518	0.391161	0.278632	0.036817	0.002441	0.478054
funds	0.400997	0.0	-0.0	0.142618	0.313872	0.309457	0.079745	0.241977
lee	0.351149	0.0	-0.0	0.107756	0.269112	0.053129	0.14986	0.399877
finance	0.287656	-0.517687	0.517687	0.233277	0.051097	0.568665	0.020756	0.244675
cities	0.39806	-0.520444	0.520444	0.246696	0.215843	0.189411	0.036138	0.436927
taliban	0.293945	0.0	-0.0	0.134289	0.09931	0.087272	0.253779	0.328877
insurance	0.400112	-0.467441	0.467441	0.183442	0.172212	0.079073	0.210871	0.309834
entire	0.405591	0.0	-0.0	0.170866	0.363749	0.208019	0.025495	0.381312
vietnam	0.347444	-0.565624	0.565624	0.035067	0.32444	0.35049	0.007542	0.424949
mike	0.374753	-0.447367	0.447367	0.175837	0.295779	0.127169	0.063282	0.423206
bit	0.402263	-0.163423	0.163423	0.283208	0.061475	0.202751	0.020035	0.544801
