Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.257251	-0.561312	0.561312	0.470968	0.43202	0.11389	0.001631	0.211506
people	0.722356	-0.05679	0.05679	0.187988	0.577476	0.105752	0.102105	0.564666
time	0.504	-0.041738	0.041738	0.18527	0.527829	0.115493	0.146734	0.311399
president	0.861548	0.060297	-0.060297	0.178045	0.542618	0.092215	0.223825	0.196827
united	0.406397	-0.337107	0.337107	0.260627	0.290396	0.160821	0.049208	0.542826
states	0.406397	-0.337107	0.337107	0.260627	0.290396	0.160821	0.049208	0.542826
country	0.513554	-0.123014	0.123014	0.153344	0.526952	0.105927	0.080568	0.62238
china	0.389339	-0.129939	0.129939	0.177189	0.584724	0.118576	0.118972	0.258925
war	0.709287	0.0386101	-0.0386101	0.218134	0.548654	0.172666	0.040643	0.56481
american	0.70377	0.0466987	-0.0466987	0.153349	0.645545	0.063841	0.058353	0.535762
home	0.605438	-0.198697	0.198697	0.125883	0.446583	0.145612	0.217217	0.267365
house	0.315634	0.104881	-0.104881	0.188854	0.103233	0.185765	0.254611	0.208948
way	0.454496	0.122829	-0.122829	0.155905	0.151652	0.119639	0.516537	0.261266
public	0.259114	0.444508	-0.444508	0.103216	0.119989	0.207843	0.378561	0.08536
iraq	0.806111	-0.383373	0.383373	0.220675	0.662472	0.268317	0.036444	0.149134
bush	0.447167	-0.527512	0.527512	0.172765	1.0	0.093441	0.050444	0.137405
white	0.315634	0.104881	-0.104881	0.188854	0.103233	0.185765	0.254611	0.208948
money	0.48903	-0.548386	0.548386	0.260081	0.618032	0.182321	0.042567	0.242611
trade	0.48465	-0.0400741	0.0400741	0.226032	0.16163	0.123707	0.11583	0.613444
oil	0.472888	0.121044	-0.121044	0.181125	0.511074	0.18918	0.094294	0.507917
companies	0.514816	0.435607	-0.435607	0.157994	0.196454	0.132522	0.302915	0.173408
peace	0.547496	0.497599	-0.497599	0.059249	0.027437	0.076272	0.671973	0.22329
health	0.900304	0.0403504	-0.0403504	0.106214	0.103433	0.068162	0.336874	0.284478
plan	0.455526	0.400061	-0.400061	0.317522	0.385046	0.165145	0.105043	0.126948
troops	0.605438	-0.198697	0.198697	0.125883	0.446583	0.145612	0.217217	0.267365
rights	0.55172	0.203791	-0.203791	0.161948	0.293259	0.034294	0.517587	0.103094
clinton	0.375847	-0.226365	0.226365	0.206408	0.481771	0.082268	0.026976	0.354271
america	0.667852	0.323271	-0.323271	0.176111	0.243648	0.082543	0.497466	0.259103
young	0.460501	0.0	-0.0	0.047835	0.144364	0.023433	0.639339	0.045041
administration	0.268832	0.0507955	-0.0507955	0.207619	0.201518	0.08217	0.161252	0.344435
human	0.55172	0.203791	-0.203791	0.161948	0.293259	0.034294	0.517587	0.103094
street	0.489722	-0.16012	0.16012	0.236595	0.16127	0.323959	0.001382	0.449369
policy	0.473511	0.0471867	-0.0471867	0.479252	0.1419	0.082703	0.11559	0.664727
workers	0.456138	-0.00305793	0.00305793	0.761278	0.141201	0.103217	0.017514	0.52572
iran	0.373843	-0.350871	0.350871	0.196331	0.153041	0.608708	0.137826	0.326925
democratic	0.363261	-0.0487519	0.0487519	0.135883	0.591802	0.256343	0.019388	0.579428
congress	0.585615	-0.340592	0.340592	0.130886	0.596322	0.147445	0.020263	0.716138
act	0.463623	-0.23568	0.23568	0.312579	0.252717	0.070452	0.03712	0.454655
senate	0.273373	-0.290219	0.290219	0.182858	0.076033	0.356001	0.011384	0.496939
care	0.900304	0.0403504	-0.0403504	0.106214	0.103433	0.068162	0.336874	0.284478
obama	0.314328	0.180766	-0.180766	0.154132	0.327211	0.089941	0.24024	0.165014
works	0.268832	0.0507955	-0.0507955	0.207619	0.201518	0.08217	0.161252	0.344435
vice	0.241351	-0.635615	0.635615	0.440546	0.598547	0.029374	0.001749	0.147454
mexico	0.287992	0.0705868	-0.0705868	0.363799	0.189568	0.077021	0.1046	0.317713
schools	0.259114	0.444508	-0.444508	0.103216	0.119989	0.207843	0.378561	0.08536
stage	0.468792	-0.0171655	0.0171655	0.1968	0.541922	0.159792	0.077966	0.346267
green	0.268832	0.0507955	-0.0507955	0.207619	0.201518	0.08217	0.161252	0.344435
wall	0.489722	-0.16012	0.16012	0.236595	0.16127	0.323959	0.001382	0.449369
profit	0.47001	0.456882	-0.456882	0.074775	0.102285	0.032339	0.295061	0.359964
insurance	0.514816	0.435607	-0.435607	0.157994	0.196454	0.132522	0.302915	0.173408
quality	0.521789	0.26843	-0.26843	0.287483	0.205125	0.031501	0.304778	0.111299
environmental	0.521789	0.26843	-0.26843	0.287483	0.205125	0.031501	0.304778	0.111299
fed	0.245181	-0.753368	0.753368	0.05409	0.652577	0.088411	0.095827	0.14297
mary	0.238955	0.310023	-0.310023	0.164824	0.137919	0.167123	0.199832	0.283193
ohio	0.307055	-0.56184	0.56184	0.240706	0.093742	0.142247	0.011782	0.631541
direction	0.587343	0.320652	-0.320652	0.124346	0.125051	0.079124	0.541387	0.20464
senator	0.375847	-0.226365	0.226365	0.206408	0.481771	0.082268	0.026976	0.354271
text	0.501476	0.330505	-0.330505	0.071095	0.009161	0.148356	0.309893	0.542034
nbc	0.23812	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
tim	0.32151	0.0	-0.0	0.176905	0.127594	0.166759	0.179579	0.319429
anderson	0.297469	0.244631	-0.244631	0.166229	0.127308	0.183034	0.182803	0.303077
iowa	0.250082	-0.297323	0.297323	0.460257	0.164327	0.179559	0.011249	0.362362
cleveland	0.36988	-0.0503788	0.0503788	0.226409	0.16565	0.093331	0.119382	0.555872
orleans	0.257251	-0.561312	0.561312	0.470968	0.43202	0.11389	0.001631	0.211506
principles	0.521789	0.26843	-0.26843	0.287483	0.205125	0.031501	0.304778	0.111299
edwards	0.30726	0.355063	-0.355063	0.191597	0.375516	0.029408	0.285008	0.086397
wto	0.45339	-0.463719	0.463719	0.219986	0.105677	0.142547	0.028058	0.786507
dennis	0.502361	-0.0871519	0.0871519	0.454425	0.148987	0.116495	0.529796	0.275071
medicare	0.29707	0.423898	-0.423898	0.130125	0.425009	0.091342	0.205658	0.13471
cnn	0.249229	-0.376629	0.376629	0.084645	0.34198	0.482679	0.03136	0.200315
liberty	0.2455	0.434565	-0.434565	0.224052	0.134661	0.189211	0.116942	0.359911
bible	0.253631	-0.252616	0.252616	0.283008	0.25842	0.17303	0.030908	0.393799
statue	0.2455	0.434565	-0.434565	0.224052	0.134661	0.189211	0.116942	0.359911
wolf	0.263884	0.42952	-0.42952	0.167834	0.128155	0.182014	0.184416	0.302031
columbus	0.259114	0.444508	-0.444508	0.103216	0.119989	0.207843	0.378561	0.08536
jackie	0.247567	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
applause	0.657407	0.0857818	-0.0857818	0.115786	0.100911	0.101326	0.404964	0.158947
patriot	0.463623	-0.23568	0.23568	0.312579	0.252717	0.070452	0.03712	0.454655
cheers	0.459552	0.543841	-0.543841	0.040835	0.047813	0.045383	0.407455	0.289262
gravel	0.254831	0.0	-0.0	0.242654	0.174118	0.214794	0.050633	0.418582
nafta	0.549633	-0.412553	0.412553	0.194815	0.131014	0.157563	0.08247	0.691568
kucinich	0.502361	-0.0871519	0.0871519	0.454425	0.148987	0.116495	0.529796	0.275071
not-for-profit	0.732528	0.483893	-0.483893	0.069311	0.050793	0.049115	0.407126	0.267401
iatse	0.237564	0.0	-0.0	0.058524	0.145284	0.236449	0.082633	0.493838
