Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.267479	0.0	-0.0	0.181729	0.117779	0.071226	0.251186	0.296164
people	0.881566	0.118913	-0.118913	0.582331	0.513024	0.097534	0.071931	0.605463
government	0.181827	0.442311	-0.442311	0.127106	0.514725	0.103296	0.001674	0.426715
time	0.258153	0.0721684	-0.0721684	0.156146	0.483152	0.146071	0.213398	0.29533
president	0.515899	-0.103113	0.103113	0.221486	0.478307	0.111523	0.081975	0.626796
united	0.338833	0.236016	-0.236016	0.237717	0.26909	0.131173	0.151667	0.249702
states	0.338833	0.236016	-0.236016	0.237717	0.26909	0.131173	0.151667	0.249702
country	0.413791	0.0738141	-0.0738141	0.09203	0.519225	0.072352	0.53283	0.658879
china	0.193797	-0.587268	0.587268	0.135715	0.40713	0.019544	0.007106	0.575477
american	0.22954	0.0	-0.0	0.518635	0.240795	0.017118	0.013781	0.37767
work	0.289432	0.369267	-0.369267	0.103046	0.07281	0.025498	0.602446	0.085532
home	0.284981	0.361012	-0.361012	0.134416	0.068747	0.180135	0.163638	0.395382
party	0.237606	0.0	-0.0	0.078497	0.153984	0.133646	0.402072	0.117884
house	0.217655	0.341237	-0.341237	0.177867	0.538143	0.087561	0.072955	0.226493
security	0.303657	-0.0213576	0.0213576	0.111574	0.128009	0.446826	0.022602	0.401315
foreign	0.447373	-0.205723	0.205723	0.184778	0.611779	0.129557	0.018309	0.385851
market	0.18398	-0.297866	0.297866	0.268996	0.348991	0.115918	0.15233	0.157768
general	0.18996	-0.314255	0.314255	0.21361	0.17615	0.179107	0.138284	0.307141
bank	0.193797	-0.587268	0.587268	0.135715	0.40713	0.019544	0.007106	0.575477
iraq	0.242978	-0.544061	0.544061	0.17391	0.590135	0.359365	0.038797	0.147288
economic	0.300682	-0.399369	0.399369	0.199874	0.283241	0.114455	0.050143	0.454568
bush	0.330678	-0.543046	0.543046	0.108756	0.735959	0.100473	0.03619	0.360964
john	0.412899	0.0	-0.0	0.215786	0.517606	0.137368	0.167811	0.227843
washington	0.351023	0.0330795	-0.0330795	0.094911	0.124944	0.123698	0.222099	0.361735
white	0.217655	0.341237	-0.341237	0.177867	0.538143	0.087561	0.072955	0.226493
center	0.230395	0.0	-0.0	0.307254	0.125218	0.134893	0.051417	0.474404
