Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.470032	0.0	-0.0	0.10181	0.084952	0.116538	0.58919	0.181582
people	0.845923	0.164936	-0.164936	0.175526	0.656828	0.060347	0.006166	0.627413
percent	0.762873	0.194918	-0.194918	0.16424	0.506264	0.156321	0.134859	0.328137
government	0.274219	-0.426124	0.426124	0.166658	0.239995	0.255882	0.075458	0.339236
president	0.834783	0.0550629	-0.0550629	0.206058	0.540879	0.089227	0.155397	0.255203
state	0.769226	0.494446	-0.494446	0.062838	0.137685	0.074144	0.5193	0.085448
u.s.	0.266214	-0.447789	0.447789	0.062187	0.009251	0.515208	0.008888	0.479449
united	0.445383	-0.447425	0.447425	0.106777	0.110626	0.346471	0.041554	0.468972
states	0.445383	-0.447425	0.447425	0.106777	0.110626	0.346471	0.041554	0.468972
country	0.86237	0.0293655	-0.0293655	0.163275	0.53428	0.103875	0.062475	0.659447
china	0.288405	0.271945	-0.271945	0.136754	0.532713	0.183161	0.097272	0.316244
war	0.835106	-0.468103	0.468103	0.225935	0.215638	0.228319	0.0189	0.637118
american	0.845923	0.164936	-0.164936	0.175526	0.656828	0.060347	0.006166	0.627413
high	0.710341	-0.366898	0.366898	0.179336	0.088154	0.601916	0.026179	0.21525
home	0.697768	0.243233	-0.243233	0.038697	0.062611	0.052419	0.367886	0.313229
school	0.710341	-0.366898	0.366898	0.179336	0.088154	0.601916	0.026179	0.21525
security	0.748789	-0.353325	0.353325	0.394902	0.237868	0.31291	0.002947	0.266184
court	0.280913	0.0	-0.0	0.079074	0.075355	0.181271	0.254716	0.30221
foreign	0.931792	0.172686	-0.172686	0.213262	0.511399	0.153363	0.022027	0.56574
iraq	0.669209	-0.445467	0.445467	0.181926	0.568523	0.294505	0.036253	0.231282
economic	0.708467	0.0	-0.0	0.089403	0.088365	0.182213	0.353221	0.173222
bush	0.383195	0.0	-0.0	0.093455	0.058211	0.252186	0.282036	0.205231
european	0.268812	-0.336724	0.336724	0.113576	0.156852	0.141667	0.181907	0.363723
israel	0.279245	-0.495791	0.495791	0.151458	0.098988	0.5119	0.013765	0.352533
east	0.36633	-0.235724	0.235724	0.238822	0.055011	0.211137	0.454252	0.290898
forces	0.888934	-0.343756	0.343756	0.2265	0.198118	0.278365	0.052402	0.539721
federal	0.274219	-0.426124	0.426124	0.166658	0.239995	0.255882	0.075458	0.339236
peace	0.869394	0.00973946	-0.00973946	0.195245	0.022759	0.160525	0.500202	0.245618
force	0.765768	0.314179	-0.314179	0.463111	0.298871	0.314688	0.001395	0.157835
union	0.273222	-0.641018	0.641018	0.206737	0.323046	0.137264	0.067938	0.364918
health	0.965719	0.52578	-0.52578	0.084466	0.45073	0.051918	0.600661	0.250391
plan	0.734565	0.495273	-0.495273	0.067982	0.021148	0.062894	0.475615	0.208797
troops	0.8783	0.115856	-0.115856	0.180005	0.167454	0.176769	0.175837	0.306972
rights	0.739278	0.11094	-0.11094	0.177911	0.315359	0.04202	0.181888	0.487928
clinton	0.471598	-0.48118	0.48118	0.213705	0.337581	0.084513	0.054136	0.522416
america	0.513263	-0.0130078	0.0130078	0.203398	0.527239	0.166208	0.071232	0.536956
nations	0.319581	-0.303151	0.303151	0.170406	0.521494	0.081291	0.486732	0.218826
human	0.739278	0.11094	-0.11094	0.177911	0.315359	0.04202	0.181888	0.487928
bill	0.282338	0.0	-0.0	0.081813	0.198016	0.021343	0.586858	0.017304
nuclear	0.778671	-0.468856	0.468856	0.263025	0.171726	0.239406	0.081051	0.334979
issue	0.768729	0.0478079	-0.0478079	0.54112	0.135019	0.085194	0.040065	0.638244
secretary	0.305314	-0.235588	0.235588	0.277463	0.59825	0.052001	0.006767	0.256972
research	0.706275	-0.259722	0.259722	0.112138	0.084638	0.572555	0.032848	0.281598
europe	0.268395	0.0	-0.0	0.118785	0.20865	0.338251	0.05446	0.370408
policy	0.931792	0.172686	-0.172686	0.213262	0.511399	0.153363	0.022027	0.56574
iran	0.319963	0.0	-0.0	0.168232	0.106658	0.189384	0.172246	0.32733
process	0.75309	-0.0333669	0.0333669	0.274628	0.025631	0.252479	0.199196	0.208987
growth	0.708467	0.0	-0.0	0.089403	0.088365	0.182213	0.353221	0.173222
congress	0.51458	-0.527169	0.527169	0.200562	0.539816	0.148766	0.005886	0.671638
energy	0.305314	-0.235588	0.235588	0.277463	0.59825	0.052001	0.006767	0.256972
africa	0.280535	-0.335611	0.335611	0.310673	0.184783	0.072514	0.037908	0.509249
social	0.748789	-0.353325	0.353325	0.394902	0.237868	0.31291	0.002947	0.266184
african	0.273222	-0.641018	0.641018	0.206737	0.323046	0.137264	0.067938	0.364918
middle	0.36633	-0.235724	0.235724	0.238822	0.055011	0.211137	0.454252	0.290898
u.n.	0.304002	0.0	-0.0	0.209441	0.138304	0.174391	0.132555	0.356598
weapons	0.778671	-0.468856	0.468856	0.263025	0.171726	0.239406	0.081051	0.334979
senate	0.266214	-0.447789	0.447789	0.062187	0.009251	0.515208	0.008888	0.479449
care	0.965719	0.52578	-0.52578	0.084466	0.45073	0.051918	0.600661	0.250391
obama	0.353292	0.0	-0.0	0.063479	0.030737	0.054046	0.683201	0.057364
civil	0.738843	-0.505513	0.505513	0.506261	0.085272	0.308756	0.003276	0.279197
gas	0.702004	-0.361099	0.361099	0.07781	0.182978	0.328895	0.109632	0.320402
mexico	0.470032	0.0	-0.0	0.10181	0.084952	0.116538	0.58919	0.181582
fund	0.718637	0.0	-0.0	0.384643	0.353034	0.246593	0.036136	0.163745
heart	0.26199	-0.21887	0.21887	0.193568	0.148596	0.197004	0.164559	0.289202
turkey	0.277233	-0.409254	0.409254	0.242192	0.436385	0.338269	0.03558	0.125198
disease	0.26199	-0.21887	0.21887	0.193568	0.148596	0.197004	0.164559	0.289202
conflict	0.702579	-0.651872	0.651872	0.281382	0.07117	0.31316	0.001905	0.488309
supreme	0.280913	0.0	-0.0	0.079074	0.075355	0.181271	0.254716	0.30221
saddam	0.278734	0.254373	-0.254373	0.389774	0.015295	0.103965	0.070228	0.465658
kids	0.728519	-0.202542	0.202542	0.109043	0.510709	0.222416	0.122918	0.598581
trust	0.718637	0.0	-0.0	0.384643	0.353034	0.246593	0.036136	0.163745
joe	0.31087	-0.525204	0.525204	0.192917	0.160381	0.144216	0.058292	0.507966
syria	0.277753	-0.316694	0.316694	0.137604	0.177548	0.253066	0.134202	0.304686
cell	0.706275	-0.259722	0.259722	0.112138	0.084638	0.572555	0.032848	0.281598
senator	0.471598	-0.48118	0.48118	0.213705	0.337581	0.084513	0.054136	0.522416
sexual	0.753141	-0.393985	0.393985	0.310408	0.615699	0.070741	0.004736	0.198515
hussein	0.278734	0.254373	-0.254373	0.389774	0.015295	0.103965	0.070228	0.465658
clean	0.769226	0.494446	-0.494446	0.062838	0.137685	0.074144	0.5193	0.085448
sudan	0.335941	-0.336724	0.336724	0.107154	0.209053	0.235198	0.143309	0.307408
tim	0.290467	-0.546131	0.546131	0.399484	0.045502	0.294149	0.019234	0.380682
kuwait	0.26993	0.307018	-0.307018	0.191952	0.228085	0.135316	0.125846	0.347724
envoy	0.749623	-0.313105	0.313105	0.138318	0.015464	0.056767	0.474087	0.173589
iowa	0.316562	0.0	-0.0	0.140544	0.32449	0.042315	0.036614	0.554631
minimum	0.758068	-0.339298	0.339298	0.220224	0.720976	0.098693	0.019323	0.093571
universal	0.72036	0.715687	-0.715687	0.163482	0.368352	0.046978	0.123042	0.331682
edwards	0.296408	0.0	-0.0	0.168699	0.125276	0.174035	0.182108	0.308947
peacekeeping	0.765768	0.314179	-0.314179	0.463111	0.298871	0.314688	0.001395	0.157835
wage	0.758068	-0.339298	0.339298	0.220224	0.720976	0.098693	0.019323	0.093571
emissions	0.702004	-0.361099	0.361099	0.07781	0.182978	0.328895	0.109632	0.320402
darfur	0.471051	-0.538652	0.538652	0.167271	0.152671	0.180146	0.145807	0.351262
stem	0.706275	-0.259722	0.259722	0.112138	0.084638	0.572555	0.032848	0.281598
guantanamo	0.320514	-0.259722	0.259722	0.112138	0.084638	0.572555	0.032848	0.281598
richardson	0.282338	0.0	-0.0	0.081813	0.198016	0.021343	0.586858	0.017304
greenhouse	0.702004	-0.361099	0.361099	0.07781	0.182978	0.328895	0.109632	0.320402
mandatory	0.697306	0.0	-0.0	0.082987	0.079071	0.322437	0.038773	0.536408
sectarian	0.702579	-0.651872	0.651872	0.281382	0.07117	0.31316	0.001905	0.488309
diabetes	0.315162	-0.535596	0.535596	0.136524	0.095329	0.338387	0.09553	0.356139
biden	0.31087	-0.525204	0.525204	0.192917	0.160381	0.144216	0.058292	0.507966
orientation	0.753141	-0.393985	0.393985	0.310408	0.615699	0.070741	0.004736	0.198515
applause	0.852585	0.384529	-0.384529	0.117221	0.102815	0.099047	0.409841	0.153693
kindergarten	0.72423	-0.26881	0.26881	0.09213	0.095313	0.079107	0.335912	0.269522
residual	0.888934	-0.343756	0.343756	0.2265	0.198118	0.278365	0.052402	0.539721
curriculums	0.710341	-0.366898	0.366898	0.179336	0.088154	0.601916	0.026179	0.21525
phys	0.697306	0.0	-0.0	0.082987	0.079071	0.322437	0.038773	0.536408
full-day	0.72423	-0.26881	0.26881	0.09213	0.095313	0.079107	0.335912	0.269522
