Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
and	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
people	0.952342	-0.0143894	0.0143894	0.515306	0.545996	0.126851	0.052592	0.550143
percent	0.702382	-0.390821	0.390821	0.178413	0.51338	0.20243	0.097564	0.308241
government	0.753667	-0.0435278	0.0435278	0.536803	0.492368	0.166251	0.010218	0.283175
time	0.704315	0.192093	-0.192093	0.211062	0.151156	0.109281	0.166342	0.582872
world	0.703194	-0.121171	0.121171	0.552692	0.206843	0.22773	0.080636	0.340578
president	0.715733	-0.0238201	0.0238201	0.226963	0.515528	0.078536	0.114092	0.293768
state	0.721709	-0.356121	0.356121	0.105521	0.197594	0.11695	0.018148	0.663362
u.s.	0.712858	0.256448	-0.256448	0.10093	0.089326	0.23435	0.224077	0.272617
united	0.750358	-0.224509	0.224509	0.140349	0.179495	0.145718	0.182322	0.348685
states	0.750358	-0.224509	0.224509	0.140349	0.179495	0.145718	0.182322	0.348685
city	0.714143	-0.476544	0.476544	0.159399	0.141464	0.114377	0.233015	0.28378
national	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
country	0.893532	0.122905	-0.122905	0.127572	0.557407	0.090564	0.05783	0.688209
american	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
international	0.693017	0.0	-0.0	0.068506	0.303846	0.109714	0.042465	0.552948
work	0.690153	-0.463198	0.463198	0.193996	0.285949	0.060478	0.025949	0.558365
party	0.391458	-0.381265	0.381265	0.170634	0.135146	0.16701	0.182064	0.309168
long	0.702234	0.0896708	-0.0896708	0.069746	0.105543	0.218466	0.063021	0.566832
way	0.828977	0.0392075	-0.0392075	0.150223	0.07582	0.155666	0.592339	0.273022
north	0.331998	0.0	-0.0	0.131231	0.160186	0.149513	0.172508	0.3493
foreign	0.299317	0.0	-0.0	0.229571	0.515818	0.106371	0.011712	0.31588
political	0.951334	0.339683	-0.339683	0.212106	0.15583	0.09471	0.243326	0.261148
family	0.753253	0.0303198	-0.0303198	0.087744	0.107154	0.622737	0.571465	0.574349
life	0.801463	0.527333	-0.527333	0.085535	0.144118	0.061264	0.601037	0.250342
good	0.726777	0.338783	-0.338783	0.124076	0.108149	0.123902	0.312413	0.226059
number	0.70513	-0.107313	0.107313	0.11141	0.187219	0.477695	0.058045	0.394732
iraq	0.944425	-0.319337	0.319337	0.244253	0.618696	0.275634	0.044457	0.148021
place	0.844433	0.0720157	-0.0720157	0.156585	0.165681	0.167724	0.22875	0.267447
economic	0.703883	0.261938	-0.261938	0.11834	0.141502	0.097787	0.32027	0.224483
best	0.714959	0.610687	-0.610687	0.026889	0.022077	0.04408	0.552066	0.189044
chief	0.31932	0.0	-0.0	0.150986	0.133432	0.19042	0.101892	0.443419
john	0.302585	-0.417146	0.417146	0.28533	0.514033	0.053955	0.001572	0.346107
washington	0.416623	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
history	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
israel	0.362004	-0.574108	0.574108	0.237457	0.153351	0.477277	0.022052	0.261751
east	0.299317	0.0	-0.0	0.229571	0.515818	0.106371	0.011712	0.31588
federal	0.714143	-0.476544	0.476544	0.159399	0.141464	0.114377	0.233015	0.28378
union	0.313974	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
health	0.808063	0.653088	-0.653088	0.134658	0.102722	0.098666	0.564937	0.255667
big	0.693017	0.0	-0.0	0.068506	0.303846	0.109714	0.042465	0.552948
program	0.690153	-0.463198	0.463198	0.193996	0.285949	0.060478	0.025949	0.558365
plan	0.710455	0.490979	-0.490979	0.158383	0.087561	0.028577	0.441012	0.162777
better	0.716882	0.772682	-0.772682	0.036179	0.008136	0.04184	0.602678	0.156242
clinton	0.338255	0.0	-0.0	0.17523	0.146419	0.197109	0.170023	0.288109
america	0.513779	-0.676862	0.676862	0.031155	0.118619	0.66922	0.0015	0.715779
nations	0.345794	-0.482125	0.482125	0.224002	0.174008	0.196364	0.005111	0.556995
policy	0.733438	-0.401579	0.401579	0.47006	0.252714	0.112434	0.013162	0.33485
current	0.732196	-0.745127	0.745127	0.407448	0.25289	0.134937	0.003058	0.400135
iran	0.468145	-0.508098	0.508098	0.163111	0.254481	0.247642	0.097881	0.308465
growth	0.703883	0.261938	-0.261938	0.11834	0.141502	0.097787	0.32027	0.224483
term	0.702234	0.0896708	-0.0896708	0.069746	0.105543	0.218466	0.063021	0.566832
congress	0.577176	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
executive	0.31932	0.0	-0.0	0.150986	0.133432	0.19042	0.101892	0.443419
george	0.382604	0.569844	-0.569844	0.045677	0.057634	0.051253	0.496921	0.190738
things	0.761517	0.382837	-0.382837	0.141754	0.431134	0.166253	0.200073	0.262873
problems	0.694162	0.0	-0.0	0.22232	0.075043	0.09096	0.002031	0.728738
african	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
tax	0.992339	-0.469976	0.469976	0.440958	0.595093	0.091412	0.009692	0.222198
middle	0.299317	0.0	-0.0	0.229571	0.515818	0.106371	0.011712	0.31588
republican	0.391458	-0.381265	0.381265	0.170634	0.135146	0.16701	0.182064	0.309168
senate	0.326462	-0.390564	0.390564	0.225134	0.258978	0.131272	0.162193	0.243552
care	0.808063	0.653088	-0.653088	0.134658	0.102722	0.098666	0.564937	0.255667
situation	0.732207	0.0556952	-0.0556952	0.212451	0.568864	0.192317	0.050264	0.574861
relations	0.299317	0.0	-0.0	0.229571	0.515818	0.106371	0.011712	0.31588
base	0.726777	0.338783	-0.338783	0.124076	0.108149	0.123902	0.312413	0.226059
vice	0.407592	-0.401579	0.401579	0.47006	0.252714	0.112434	0.013162	0.33485
afghanistan	0.355142	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
child	0.712743	-0.316471	0.316471	0.017365	0.108181	0.007513	0.705204	0.059904
lives	0.712858	0.256448	-0.256448	0.10093	0.089326	0.23435	0.224077	0.272617
question	0.711539	0.100717	-0.100717	0.156114	0.09205	0.140812	0.557869	0.626196
difficult	0.694162	0.0	-0.0	0.22232	0.075043	0.09096	0.002031	0.728738
labor	0.313974	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
museum	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
thomas	0.368758	-0.448754	0.448754	0.106906	0.586292	0.091651	0.089899	0.18893
experience	0.731909	0.0	-0.0	0.28365	0.257987	0.174021	0.034528	0.389084
baghdad	0.545587	-0.237564	0.237564	0.33525	0.49996	0.034307	0.072527	0.179045
culture	0.40097	-0.250467	0.250467	0.096957	0.122764	0.417879	0.240769	0.058359
mass	0.689191	-0.681249	0.681249	0.428251	0.249057	0.290916	0.000428	0.254065
soviet	0.304408	0.301132	-0.301132	0.159505	0.232476	0.182806	0.2524	0.129135
places	0.69069	-0.0086388	0.0086388	0.16393	0.191348	0.126233	0.452153	0.543336
god	0.719612	0.58879	-0.58879	0.006843	0.019852	0.004287	0.901897	0.02315
saddam	0.344417	-0.478318	0.478318	0.136333	0.134837	0.306301	0.22824	0.145981
cancer	0.399037	-0.580377	0.580377	0.164387	0.551903	0.112784	0.040463	0.262895
optional	0.992339	-0.469976	0.469976	0.440958	0.595093	0.091412	0.009692	0.222198
chris	0.323741	0.252117	-0.252117	0.115214	0.471554	0.287632	0.079344	0.141468
solution	0.951334	0.339683	-0.339683	0.212106	0.15583	0.09471	0.243326	0.261148
senator	0.321495	0.0	-0.0	0.111792	0.2111	0.164058	0.054433	0.526533
kansas	0.611397	-0.713984	0.713984	0.136433	0.165444	0.14881	0.174914	0.549698
code	0.732196	-0.745127	0.745127	0.407448	0.25289	0.134937	0.003058	0.400135
hussein	0.344417	-0.478318	0.478318	0.136333	0.134837	0.306301	0.22824	0.145981
detroit	0.332507	0.339741	-0.339741	0.091822	0.161285	0.244007	0.134049	0.352651
broad	0.726777	0.338783	-0.338783	0.124076	0.108149	0.123902	0.312413	0.226059
lewis	0.302585	-0.417146	0.417146	0.28533	0.514033	0.053955	0.001572	0.346107
destruction	0.689191	-0.681249	0.681249	0.428251	0.249057	0.290916	0.000428	0.254065
saint	0.314628	0.0	-0.0	0.111046	0.152104	0.414452	0.180838	0.113606
values	0.708048	0.218662	-0.218662	0.054749	0.04476	0.696421	0.031907	0.21625
flat	0.992339	-0.469976	0.469976	0.440958	0.595093	0.091412	0.009692	0.222198
ray	0.333274	0.0	-0.0	0.232499	0.461317	0.059914	0.007287	0.420504
solid	0.709569	0.62631	-0.62631	0.135651	0.126827	0.049728	0.39373	0.174187
harry	0.339326	-0.660644	0.660644	0.293837	0.502198	0.063172	0.03305	0.264375
sam	0.320456	-0.27147	0.27147	0.140769	0.055953	0.0774	0.262356	0.351825
iowa	0.304889	0.0	-0.0	0.067846	0.114036	0.082651	0.387833	0.21379
d.c.	0.312842	-0.408315	0.408315	0.237912	0.488239	0.158035	0.126789	0.547645
aggressive	0.706229	-0.426318	0.426318	0.32513	0.417598	0.245367	0.014337	0.208953
sunni	0.721576	-0.491569	0.491569	0.25739	0.14422	0.140879	0.03842	0.526609
kurdish	0.721709	-0.356121	0.356121	0.105521	0.197594	0.11695	0.018148	0.663362
dick	0.316167	-0.422933	0.422933	0.288399	0.073269	0.221127	0.023325	0.730115
somebody	0.70228	-0.22228	0.22228	0.151317	0.214586	0.196175	0.087006	0.60228
rape	0.332792	-0.966445	0.966445	0.388766	0.67163	0.116877	0.000162	0.04789
cheney	0.316167	-0.422933	0.422933	0.288399	0.073269	0.221127	0.023325	0.730115
reagan	0.388432	-0.438295	0.438295	0.111163	0.510492	0.123592	0.010586	0.405203
parker	0.313396	0.0	-0.0	0.147041	0.143178	0.20628	0.193363	0.268489
ronald	0.388432	-0.438295	0.438295	0.111163	0.510492	0.123592	0.010586	0.405203
visa	0.690153	-0.463198	0.463198	0.193996	0.285949	0.060478	0.025949	0.558365
reid	0.339326	-0.660644	0.660644	0.293837	0.502198	0.063172	0.03305	0.264375
ahmadinejad	0.351747	-0.427079	0.427079	0.194524	0.100198	0.114473	0.042282	0.617612
congressman	0.302585	-0.417146	0.417146	0.28533	0.514033	0.053955	0.001572	0.346107
alternate	0.694774	-0.526752	0.526752	0.410809	0.567308	0.047199	0.002614	0.189015
bipartisan	0.747225	0.624424	-0.624424	0.140344	0.037953	0.04709	0.361326	0.270877
youtube	0.296141	0.0	-0.0	0.117714	0.29651	0.134392	0.093553	0.403455
subcommittee	0.299317	0.0	-0.0	0.229571	0.515818	0.106371	0.011712	0.31588
loving	0.719612	0.58879	-0.58879	0.006843	0.019852	0.004287	0.901897	0.02315
applause	0.72255	0.428005	-0.428005	0.115333	0.100716	0.101551	0.404575	0.1596
friedman	0.368758	-0.448754	0.448754	0.106906	0.586292	0.091651	0.089899	0.18893
anbar	0.296326	-0.239771	0.239771	0.347294	0.186537	0.420348	0.012743	0.219292
brownback	0.320456	-0.27147	0.27147	0.140769	0.055953	0.0774	0.262356	0.351825
topeka	0.352338	0.0	-0.0	0.04404	0.074011	0.157886	0.42207	0.158445
anselm	0.314628	0.0	-0.0	0.111046	0.152104	0.414452	0.180838	0.113606
anwr	0.346981	0.306698	-0.306698	0.08741	0.223094	0.035884	0.374519	0.168144
three-state	0.760632	0.464836	-0.464836	0.235099	0.3769	0.114991	0.192286	0.105392
