Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
and	0.367054	-0.549519	0.549519	0.372086	0.460933	0.097511	0.001247	0.289764
new	0.299803	0.559187	-0.559187	0.010656	0.008782	0.267008	0.467138	0.086196
people	0.780674	0.125786	-0.125786	0.166057	0.495232	0.086208	0.123442	0.549028
government	0.412354	-0.557943	0.557943	0.474511	0.52187	0.065333	0.000872	0.167227
world	0.302222	-0.10139	0.10139	0.200914	0.269414	0.07934	0.210459	0.228068
president	0.287741	0.492257	-0.492257	0.069863	0.252529	0.087132	0.400706	0.08765
united	0.726682	0.0212447	-0.0212447	0.210435	0.525711	0.097995	0.092655	0.546277
states	0.726682	0.0212447	-0.0212447	0.210435	0.525711	0.097995	0.092655	0.546277
national	0.367054	-0.549519	0.549519	0.372086	0.460933	0.097511	0.001247	0.289764
country	0.306103	0.257681	-0.257681	0.089623	0.272102	0.128371	0.161363	0.564534
china	0.276832	0.434474	-0.434474	0.083565	0.245748	0.031106	0.132335	0.487498
american	0.403645	0.463194	-0.463194	0.266447	0.431737	0.024552	0.055173	0.348466
international	0.340734	0.603309	-0.603309	0.170118	0.192248	0.107091	0.288394	0.171162
way	0.296782	0.321066	-0.321066	0.187152	0.202581	0.045084	0.315115	0.177051
security	0.367054	-0.549519	0.549519	0.372086	0.460933	0.097511	0.001247	0.289764
general	0.421295	0.0	-0.0	0.411987	0.300748	0.025571	0.105088	0.23112
good	0.346401	0.492257	-0.492257	0.069863	0.252529	0.087132	0.400706	0.08765
iraq	0.461026	-0.38577	0.38577	0.489485	0.345094	0.282039	0.004214	0.117392
place	0.293844	-0.515016	0.515016	0.145146	0.171689	0.446264	0.048043	0.289058
local	0.326208	0.345071	-0.345071	0.105381	0.355986	0.116985	0.020192	0.531356
business	0.294534	0.524511	-0.524511	0.040788	0.051752	0.059399	0.599797	0.110895
power	0.423909	0.501382	-0.501382	0.234565	0.206964	0.039922	0.259234	0.212886
israel	0.390413	-0.336418	0.336418	0.322263	0.151449	0.505446	0.005836	0.20414
east	0.563121	-0.448305	0.448305	0.308058	0.342336	0.383978	0.021716	0.146358
line	0.337956	0.570424	-0.570424	0.085554	0.072061	0.044431	0.548995	0.116502
health	0.407959	0.467742	-0.467742	0.176535	0.361668	0.086397	0.065797	0.395399
program	0.346401	0.492257	-0.492257	0.069863	0.252529	0.087132	0.400706	0.08765
russia	0.321538	-0.58298	0.58298	0.189246	0.087481	0.357072	0.007968	0.492248
attack	0.331415	-0.468575	0.468575	0.238501	0.166242	0.587741	0.005334	0.17859
clinton	0.318795	-0.787225	0.787225	0.214221	0.688125	0.055036	0.001748	0.22062
young	0.335528	0.238638	-0.238638	0.234766	0.231933	0.103265	0.179274	0.250642
nations	0.329081	0.365469	-0.365469	0.192121	0.21397	0.05287	0.275753	0.201142
india	0.275938	0.434474	-0.434474	0.0	0.0	0.0	0.0	0.0
nuclear	0.473765	-0.398375	0.398375	0.29734	0.272822	0.08636	0.079952	0.357952
issue	0.384807	-0.0665745	0.0665745	0.620288	0.472598	0.110264	0.016731	0.598729
community	0.339058	0.284657	-0.284657	0.119769	0.320181	0.30996	0.162022	0.106704
iran	0.644282	-0.183945	0.183945	0.166311	0.140474	0.125365	0.496779	0.237041
real	0.337349	0.0	-0.0	0.176007	0.107088	0.226561	0.011964	0.598581
single	0.329188	-0.553233	0.553233	0.057477	0.296311	0.177489	0.006569	0.594962
congress	0.360753	0.0	-0.0	0.114322	0.463576	0.081969	0.001675	0.50301
commission	0.367054	-0.549519	0.549519	0.372086	0.460933	0.097511	0.001247	0.289764
california	0.256533	-0.421811	0.421811	0.178587	0.142912	0.206285	0.131391	0.347348
energy	0.414461	0.0	-0.0	0.046092	0.100389	0.115104	0.506542	0.099067
pakistan	0.30516	0.252967	-0.252967	0.201964	0.026617	0.23944	0.019072	0.60774
chairman	0.313929	-0.566367	0.566367	0.353619	0.521646	0.082678	0.00204	0.258409
problems	0.337349	0.0	-0.0	0.176007	0.107088	0.226561	0.011964	0.598581
private	0.339058	0.284657	-0.284657	0.119769	0.320181	0.30996	0.162022	0.106704
tax	0.346401	0.492257	-0.492257	0.069863	0.252529	0.087132	0.400706	0.08765
middle	0.563121	-0.448305	0.448305	0.308058	0.342336	0.383978	0.021716	0.146358
u.n.	0.297329	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
senate	0.329324	-0.348869	0.348869	0.154472	0.487032	0.244237	0.014973	0.276028
care	0.407959	0.467742	-0.467742	0.176535	0.361668	0.086397	0.065797	0.395399
