Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
will	0.241565	-0.399433	0.399433	0.126708	0.206768	0.162303	0.010418	0.615761
new	0.894257	-0.227539	0.227539	0.157452	0.499208	0.12238	0.280153	0.214995
people	0.359168	-0.176165	0.176165	0.199828	0.583737	0.118091	0.091923	0.5116
percent	0.242083	-0.575383	0.575383	0.159647	0.502104	0.270308	0.097957	0.301883
government	0.355628	-0.38346	0.38346	0.436643	0.342655	0.285177	0.002441	0.167982
president	0.47978	0.39118	-0.39118	0.288354	0.144902	0.019392	0.386237	0.080127
united	0.624183	-0.428624	0.428624	0.473262	0.602696	0.434232	0.050267	0.306502
states	0.624183	-0.428624	0.428624	0.473262	0.602696	0.434232	0.050267	0.306502
city	0.894257	-0.227539	0.227539	0.157452	0.499208	0.12238	0.280153	0.214995
american	0.355628	-0.38346	0.38346	0.436643	0.342655	0.285177	0.002441	0.167982
way	0.240626	-0.0654535	0.0654535	0.185164	0.192012	0.142431	0.192703	0.300375
york	0.894257	-0.227539	0.227539	0.157452	0.499208	0.12238	0.280153	0.214995
court	0.286659	0.0	-0.0	0.132906	0.160721	0.275856	0.102175	0.357788
general	0.274876	-0.616587	0.616587	0.063376	0.257034	0.199512	0.010636	0.591526
iraq	0.287525	-0.313684	0.313684	0.149479	0.303166	0.361236	0.113735	0.133771
bush	0.321863	-0.0319009	0.0319009	0.087132	0.129692	0.076317	0.450799	0.134441
washington	0.276032	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
league	0.232397	0.0	-0.0	0.315567	0.218382	0.098351	0.169024	0.218476
health	0.223256	0.476397	-0.476397	0.132455	0.222048	0.131999	0.48425	0.277038
clinton	0.247461	-0.607978	0.607978	0.31793	0.462477	0.083408	0.001853	0.343835
america	0.594238	0.284344	-0.284344	0.166514	0.523212	0.125136	0.157834	0.299646
administration	0.240317	-0.0482081	0.0482081	0.228356	0.540017	0.105292	0.140806	0.24293
secretary	0.240901	0.0	-0.0	0.244892	0.087443	0.077273	0.217443	0.315994
iran	0.235181	0.744442	-0.744442	0.120298	0.0898	0.286675	0.30181	0.114332
england	0.248188	0.0	-0.0	0.1644	0.277747	0.06003	0.206155	0.262227
executive	0.302727	-0.53536	0.53536	0.188462	0.349394	0.131896	0.132074	0.240534
george	0.321863	-0.0319009	0.0319009	0.087132	0.129692	0.076317	0.450799	0.134441
pakistan	0.254704	-0.544719	0.544719	0.24779	0.06689	0.106205	0.123684	0.45142
david	0.260322	0.0	-0.0	0.160906	0.057227	0.126131	0.027026	0.69448
tax	0.239492	-0.179402	0.179402	0.15869	0.615201	0.222211	0.035816	0.298529
project	0.236204	0.224814	-0.224814	0.377782	0.512953	0.010515	0.045399	0.196685
texas	0.280594	-0.48218	0.48218	0.087834	0.267808	0.242069	0.02757	0.483461
vice	0.246428	-0.53536	0.53536	0.188462	0.349394	0.131896	0.132074	0.240534
afghanistan	0.239448	0.0	-0.0	0.244892	0.087443	0.077273	0.217443	0.315994
thing	0.204835	0.0310284	-0.0310284	0.186801	0.211753	0.494048	0.148378	0.264512
governor	0.245116	0.0	-0.0	0.172058	0.206786	0.109682	0.08951	0.464109
deputy	0.240901	0.0	-0.0	0.244892	0.087443	0.077273	0.217443	0.315994
democrats	0.38045	-0.581925	0.581925	0.317269	0.475051	0.044932	0.003319	0.360814
attorney	0.246152	0.0	-0.0	0.318236	0.610797	0.086514	0.004957	0.186819
baghdad	0.260076	-0.289956	0.289956	0.089547	0.49022	0.073314	0.237384	0.07397
taliban	0.258171	-0.629671	0.629671	0.176741	0.105841	0.135415	0.03171	0.6331
supreme	0.286659	0.0	-0.0	0.132906	0.160721	0.275856	0.102175	0.357788
insurance	0.223256	0.476397	-0.476397	0.132455	0.222048	0.131999	0.48425	0.277038
illegal	0.238872	-0.565755	0.565755	0.281167	0.801686	0.077926	0.006405	0.472075
mccain	0.320605	-0.553207	0.553207	0.361389	0.353925	0.055291	0.025112	0.370976
senator	0.384943	0.352223	-0.352223	0.132069	0.123317	0.108182	0.529887	0.254868
qaida	0.268941	-0.411259	0.411259	0.183651	0.203805	0.401184	0.02463	0.333183
immigrants	0.238872	-0.565755	0.565755	0.281167	0.801686	0.077926	0.006405	0.472075
manhattan	0.236204	0.224814	-0.224814	0.377782	0.512953	0.010515	0.045399	0.196685
yankees	0.267761	0.0	-0.0	0.204258	0.130876	0.154964	0.180194	0.297024
thompson	0.284254	-0.358813	0.358813	0.142034	0.531131	0.099685	0.025926	0.34411
musharraf	0.24029	-0.38178	0.38178	0.130857	0.296191	0.087256	0.211469	0.245274
edwards	0.239897	-0.553202	0.553202	0.399227	0.36861	0.2215	0.001585	0.239108
hillary	0.247461	-0.607978	0.607978	0.31793	0.462477	0.083408	0.001853	0.343835
fred	0.232546	0.110485	-0.110485	0.224121	0.371067	0.13333	0.002868	0.456681
reagan	0.352704	-0.440349	0.440349	0.169126	0.096368	0.275493	0.110723	0.362801
romney	0.245116	0.0	-0.0	0.172058	0.206786	0.109682	0.08951	0.464109
irs	0.243292	-0.0843364	0.0843364	0.167727	0.367452	0.165519	0.008496	0.46115
applause	0.269112	0.356998	-0.356998	0.116783	0.102428	0.099506	0.408904	0.154814
petraeus	0.274876	-0.616587	0.616587	0.063376	0.257034	0.199512	0.010636	0.591526
armitage	0.240901	0.0	-0.0	0.244892	0.087443	0.077273	0.217443	0.315994
dinkins	0.260322	0.0	-0.0	0.160906	0.057227	0.126131	0.027026	0.69448
