Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.793069	-0.0741622	0.0741622	0.203285	0.591607	0.107268	0.056415	0.565432
percent	0.483553	-0.218962	0.218962	0.165548	0.418738	0.036408	0.163124	0.21995
government	0.411826	-0.308277	0.308277	0.266203	0.43263	0.185035	0.005523	0.315664
time	0.441543	0.0916266	-0.0916266	0.141528	0.209601	0.176333	0.123071	0.53095
world	0.408163	0.197115	-0.197115	0.154521	0.472629	0.130896	0.181448	0.294959
president	0.632985	0.158599	-0.158599	0.572214	0.510861	0.118337	0.141906	0.234707
state	0.410255	0.587351	-0.587351	0.210733	0.080932	0.099655	0.197169	0.354051
united	0.730688	-0.142876	0.142876	0.213382	0.518831	0.117347	0.143896	0.288619
states	0.730688	-0.142876	0.142876	0.213382	0.518831	0.117347	0.143896	0.288619
national	0.373949	0.462451	-0.462451	0.131305	0.15528	0.086414	0.387346	0.133652
country	0.55637	-0.0372038	0.0372038	0.129125	0.498989	0.104191	0.117131	0.626811
south	0.349322	0.0	-0.0	0.211849	0.396294	0.046681	0.194961	0.158075
american	0.707396	0.132405	-0.132405	0.157408	0.661209	0.078022	0.019314	0.61495
party	0.384203	0.0	-0.0	0.332066	0.595593	0.07735	0.023869	0.150782
long	0.390821	-0.211096	0.211096	0.158314	0.451033	0.166982	0.020412	0.361677
way	0.389512	-0.0279767	0.0279767	0.218383	0.486994	0.132167	0.147382	0.268287
security	0.751421	-0.135083	0.135083	0.128848	0.095306	0.331594	0.189473	0.245531
good	0.429116	0.762211	-0.762211	0.195439	0.259049	0.048881	0.29197	0.147304
iraq	0.458498	-0.162409	0.162409	0.09886	0.163584	0.27901	0.204371	0.210156
area	0.386677	0.0	-0.0	0.406704	0.202558	0.208799	0.007792	0.366346
john	0.340789	0.0	-0.0	0.218985	0.335813	0.073547	0.063928	0.406799
washington	0.47272	0.0	-0.0	0.107135	0.162672	0.355825	0.01249	0.488353
line	0.429116	0.762211	-0.762211	0.195439	0.259049	0.048881	0.29197	0.147304
little	0.420551	-0.443619	0.443619	0.122924	0.209679	0.594845	0.002965	0.230478
federal	0.411826	-0.308277	0.308277	0.266203	0.43263	0.185035	0.005523	0.315664
health	0.432485	-0.155678	0.155678	0.229248	0.243626	0.165108	0.016604	0.497902
record	0.47496	-0.218962	0.218962	0.165548	0.418738	0.036408	0.163124	0.21995
plan	0.438175	-0.719529	0.719529	0.149855	0.149351	0.263544	0.240794	0.151905
clinton	0.515785	-0.248303	0.248303	0.382023	0.287728	0.160179	0.060275	0.243921
america	0.734785	-0.124207	0.124207	0.221869	0.509379	0.130497	0.108001	0.325386
secretary	0.3216	0.0	-0.0	0.168407	0.224284	0.147595	0.053731	0.492181
level	0.410255	0.587351	-0.587351	0.210733	0.080932	0.099655	0.197169	0.354051
church	0.331947	0.0	-0.0	0.146919	0.123856	0.173866	0.014598	0.648993
current	0.389075	-0.322906	0.322906	0.151655	0.190914	0.260152	0.075314	0.385887
iran	0.364333	-0.417223	0.417223	0.255725	0.334321	0.247961	0.128346	0.108166
strong	0.42346	0.0	-0.0	0.210449	0.548775	0.087283	0.009142	0.322098
congress	0.376726	-0.361112	0.361112	0.069497	0.544465	0.095845	0.002756	0.440717
areas	0.386023	0.0	-0.0	0.085783	0.338248	0.145196	0.016226	0.546479
education	0.373949	0.462451	-0.462451	0.131305	0.15528	0.086414	0.387346	0.133652
association	0.373949	0.462451	-0.462451	0.131305	0.15528	0.086414	0.387346	0.133652
george	0.331038	0.0	-0.0	0.167049	0.129729	0.168092	0.18697	0.30749
things	0.532066	-0.00945657	0.00945657	0.139842	0.186133	0.163939	0.216172	0.280947
pakistan	0.405641	-0.572226	0.572226	0.220681	0.563188	0.107217	0.001755	0.304787
social	0.751421	-0.135083	0.135083	0.128848	0.095306	0.331594	0.189473	0.245531
chairman	0.328521	-0.428103	0.428103	0.197492	0.342268	0.079497	0.028178	0.486957
lower	0.417522	-0.498562	0.498562	0.22873	0.665497	0.238829	0.005803	0.065899
tax	0.567701	-0.455954	0.455954	0.24137	0.573507	0.178906	0.00931	0.497988
iraqi	0.321705	-0.216584	0.216584	0.277827	0.790972	0.051029	0.008184	0.034603
republican	0.384203	0.0	-0.0	0.332066	0.595593	0.07735	0.023869	0.150782
problem	0.401209	0.054189	-0.054189	0.259222	0.154654	0.156756	0.012862	0.752622
senate	0.545303	-0.303102	0.303102	0.183139	0.310077	0.121692	0.080101	0.380084
care	0.432485	-0.155678	0.155678	0.229248	0.243626	0.165108	0.016604	0.497902
vice	0.408149	-0.53638	0.53638	0.271271	0.089888	0.16553	0.064465	0.479492
mexico	0.371595	-0.375056	0.375056	0.0	0.0	0.0	0.0	0.0
afghanistan	0.328938	0.0	-0.0	0.166039	0.023558	0.130726	0.056357	0.64265
justice	0.340789	0.0	-0.0	0.218985	0.335813	0.073547	0.063928	0.406799
thing	0.4178	0.0146674	-0.0146674	0.13637	0.455296	0.162147	0.20217	0.290368
governor	0.457438	0.423847	-0.423847	0.257853	0.219028	0.066851	0.184425	0.262901
programs	0.395169	-0.446243	0.446243	0.179892	0.064475	0.46573	0.019972	0.383481
income	0.417522	-0.498562	0.498562	0.22873	0.665497	0.238829	0.005803	0.065899
cities	0.445956	-0.500706	0.500706	0.158167	0.15398	0.026038	0.212598	0.3785
reform	0.402843	-0.487943	0.487943	0.334148	0.15449	0.215505	0.01575	0.437873
mayor	0.398153	-0.484494	0.484494	0.206825	0.382571	0.183953	0.055647	0.295727
catholic	0.331947	0.0	-0.0	0.146919	0.123856	0.173866	0.014598	0.648993
bit	0.420551	-0.443619	0.443619	0.122924	0.209679	0.594845	0.002965	0.230478
cancer	0.353557	-0.564997	0.564997	0.051332	0.42022	0.089611	0.003644	0.57498
cuts	0.567701	-0.455954	0.455954	0.24137	0.573507	0.178906	0.00931	0.497988
specific	0.389102	-0.719529	0.719529	0.239671	0.209627	0.394105	0.046281	0.243831
roman	0.331947	0.0	-0.0	0.146919	0.123856	0.173866	0.014598	0.648993
voting	0.483553	-0.218962	0.218962	0.165548	0.418738	0.036408	0.163124	0.21995
senator	0.342875	-0.373061	0.373061	0.0	0.0	0.0	0.0	0.0
kennedy	0.356352	0.272583	-0.272583	0.280552	0.163672	0.176672	0.072335	0.393422
everybody	0.399416	0.146308	-0.146308	0.189409	0.454002	0.126282	0.175139	0.521937
secure	0.388677	0.0	-0.0	0.288019	0.32561	0.163932	0.02513	0.364269
judges	0.385772	0.354866	-0.354866	0.215086	0.359521	0.134739	0.147669	0.179072
iowa	0.398455	-0.535726	0.535726	0.329964	0.086872	0.077726	0.003174	0.641405
tennessee	0.404054	-0.50798	0.50798	0.240563	0.313933	0.1011	0.015311	0.486795
musharraf	0.325123	0.0	-0.0	0.066464	0.216397	0.060647	0.334649	0.215074
wisconsin	0.323816	0.0	-0.0	0.120084	0.179048	0.097402	0.226879	0.30826
dick	0.336829	0.0935759	-0.0935759	0.270658	0.501128	0.075897	0.038882	0.258834
roberts	0.340789	0.0	-0.0	0.218985	0.335813	0.073547	0.063928	0.406799
hillary	0.379111	-0.0112663	0.0112663	0.253199	0.629788	0.023356	0.053119	0.163764
alaska	0.323767	0.26104	-0.26104	0.122704	0.174861	0.099734	0.221174	0.315468
medicare	0.422191	-0.315224	0.315224	0.135067	0.102648	0.342672	0.169091	0.257636
cheney	0.336829	0.0935759	-0.0935759	0.270658	0.501128	0.075897	0.038882	0.258834
breast	0.353557	-0.564997	0.564997	0.051332	0.42022	0.089611	0.003644	0.57498
giuliani	0.398153	-0.484494	0.484494	0.206825	0.382571	0.183953	0.055647	0.295727
guantanamo	0.384971	-0.599767	0.599767	0.274023	0.171133	0.033408	0.034884	0.584051
ted	0.356352	0.272583	-0.272583	0.280552	0.163672	0.176672	0.072335	0.393422
romney	0.349234	0.251388	-0.251388	0.121395	0.033057	0.060474	0.323012	0.321786
safer	0.386334	0.41357	-0.41357	0.158365	0.224439	0.053274	0.306634	0.180427
sanctuary	0.445956	-0.500706	0.500706	0.158167	0.15398	0.026038	0.212598	0.3785
applause	0.599685	0.400294	-0.400294	0.116904	0.106145	0.096469	0.412841	0.152038
retirees	0.389075	-0.322906	0.322906	0.151655	0.190914	0.260152	0.075314	0.385887
