Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.298664	0.0	-0.0	0.165011	0.137059	0.174777	0.180861	0.307025
people	0.940482	0.0589248	-0.0589248	0.192859	0.53376	0.612725	0.101538	0.546073
government	0.751836	0.0	-0.0	0.270155	0.235301	0.056802	0.229871	0.182405
president	0.865996	-0.0322773	0.0322773	0.189927	0.59648	0.080981	0.15079	0.255144
united	0.497881	-0.302204	0.302204	0.468576	0.300748	0.112511	0.109699	0.305038
states	0.497881	-0.302204	0.302204	0.468576	0.300748	0.112511	0.109699	0.305038
national	0.400454	-0.390282	0.390282	0.116944	0.334273	0.30598	0.009899	0.399171
country	0.702832	-0.0606216	0.0606216	0.126109	0.249666	0.104999	0.095395	0.665972
american	0.439228	-0.560301	0.560301	0.163399	0.496535	0.026124	0.000741	0.484412
end	0.419546	0.0	-0.0	0.041062	0.354036	0.151399	0.073467	0.427803
party	0.351121	0.487276	-0.487276	0.252132	0.413844	0.062037	0.061871	0.318652
house	0.301253	0.0	-0.0	0.25104	0.459014	0.226164	0.015432	0.245769
way	0.436106	0.0526067	-0.0526067	0.423072	0.49921	0.14163	0.213628	0.269719
security	0.400454	-0.390282	0.390282	0.116944	0.334273	0.30598	0.009899	0.399171
york	0.298664	0.0	-0.0	0.165011	0.137059	0.174777	0.180861	0.307025
life	0.404134	-0.0677243	0.0677243	0.087535	0.133023	0.081836	0.551679	0.289425
based	0.384098	0.0	-0.0	0.049569	0.372833	0.243945	0.012403	0.459234
business	0.45658	-0.583166	0.583166	0.469257	0.299009	0.114745	0.050296	0.210484
bush	0.418338	-0.614442	0.614442	0.184002	0.679707	0.10696	0.004346	0.200208
white	0.301253	0.0	-0.0	0.25104	0.459014	0.226164	0.015432	0.245769
money	0.391442	0.00127932	-0.00127932	0.465721	0.494031	0.145889	0.435764	0.281221
east	0.359594	-0.699955	0.699955	0.301895	0.367031	0.193578	0.006233	0.338108
little	0.3886	-0.527359	0.527359	0.195459	0.243983	0.301795	0.011061	0.414657
death	0.392314	-0.497032	0.497032	0.09445	0.457117	0.110855	0.000334	0.50237
federal	0.452558	-0.245977	0.245977	0.162324	0.035713	0.239767	0.047535	0.558928
capital	0.395952	-0.349795	0.349795	0.062347	0.515505	0.203421	0.066646	0.238715
union	0.32464	0.0	-0.0	0.105392	0.121711	0.289799	0.061123	0.471101
small	0.45658	-0.583166	0.583166	0.469257	0.299009	0.114745	0.050296	0.210484
health	0.855929	-0.110956	0.110956	0.095704	0.117635	0.097034	0.24355	0.591645
program	0.3887	0.460734	-0.460734	0.162013	0.084675	0.174875	0.238102	0.263761
free	0.398274	0.466302	-0.466302	0.243746	0.395344	0.046847	0.157444	0.193709
better	0.389239	0.461873	-0.461873	0.21761	0.253483	0.043226	0.05347	0.5199
clinton	0.362846	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
america	0.570516	0.296704	-0.296704	0.169356	0.529622	0.074594	0.428751	0.574687
secretary	0.317563	-0.201267	0.201267	0.159201	0.183223	0.146413	0.115776	0.414667
sales	0.413124	0.374361	-0.374361	0.166739	0.51926	0.245165	0.022947	0.214145
congress	0.362077	0.678104	-0.678104	0.079956	0.544158	0.090515	0.086927	0.552364
executive	0.306538	0.0	-0.0	0.175986	0.149469	0.141277	0.088488	0.47777
education	0.423597	-0.0649022	0.0649022	0.178099	0.118933	0.118319	0.230512	0.523923
george	0.325526	0.0	-0.0	0.167049	0.129729	0.168092	0.18697	0.30749
things	0.521341	-0.0789608	0.0789608	0.164411	0.18855	0.135539	0.189391	0.559945
job	0.390172	-0.0495608	0.0495608	0.100212	0.094949	0.09987	0.49784	0.087872
tax	0.568912	-0.152835	0.152835	0.147186	0.652879	0.137025	0.03376	0.537962
middle	0.359594	-0.699955	0.699955	0.301895	0.367031	0.193578	0.006233	0.338108
crisis	0.395221	0.219476	-0.219476	0.116944	0.072235	0.111588	0.263768	0.328511
republican	0.351121	0.487276	-0.487276	0.252132	0.413844	0.062037	0.061871	0.318652
problem	0.40076	0.0975287	-0.0975287	0.266699	0.132949	0.156844	0.018295	0.739819
care	0.855929	-0.110956	0.110956	0.095704	0.117635	0.097034	0.24355	0.591645
cost	0.392232	0.562918	-0.562918	0.098154	0.16484	0.292425	0.127128	0.320552
space	0.3887	0.460734	-0.460734	0.162013	0.084675	0.174875	0.238102	0.263761
thing	0.434972	-0.0865598	0.0865598	0.116769	0.169145	0.168105	0.522983	0.216013
kind	0.387536	0.182324	-0.182324	0.176868	0.28636	0.436162	0.114804	0.33785
child	0.407556	0.0	-0.0	0.127439	0.494386	0.034301	0.006472	0.488241
video	0.419546	0.0	-0.0	0.041062	0.354036	0.151399	0.073467	0.427803
poor	0.399459	-0.749923	0.749923	0.243507	0.174925	0.086367	0.005595	0.633269
income	0.459706	-0.470908	0.470908	0.296714	0.629982	0.171016	0.017441	0.075263
turkey	0.305989	-0.573868	0.573868	0.032833	0.075409	0.853884	0.000735	0.117064
costs	0.383642	-0.538488	0.538488	0.075241	0.035624	0.20976	0.064682	0.615142
soviet	0.32464	0.0	-0.0	0.105392	0.121711	0.289799	0.061123	0.471101
challenge	0.28418	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
mike	0.300281	0.0	-0.0	0.139973	0.118591	0.126241	0.284509	0.239697
bit	0.3886	-0.527359	0.527359	0.195459	0.243983	0.301795	0.011061	0.414657
cuts	0.418338	-0.614442	0.614442	0.184002	0.679707	0.10696	0.004346	0.200208
rich	0.417358	-0.649364	0.649364	0.2554	0.302295	0.037112	0.000137	0.579428
fair	0.517598	0.456762	-0.456762	0.106008	0.784431	0.128765	0.080217	0.239468
rice	0.317563	-0.201267	0.201267	0.159201	0.183223	0.146413	0.115776	0.414667
penalty	0.385799	-0.579143	0.579143	0.0779	0.064481	0.085275	0.0104	0.825377
mccain	0.355348	-0.418245	0.418245	0.144163	0.1694	0.211863	0.111738	0.382379
chris	0.400159	-0.340599	0.340599	0.129107	0.179352	0.053757	0.001918	0.752505
