Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.363126	0.0	-0.0	0.063132	0.144995	0.097919	0.358639	0.208967
people	0.697106	0.00920016	-0.00920016	0.179678	0.56065	0.153193	0.084132	0.510468
percent	0.558302	0.111288	-0.111288	0.162871	0.151791	0.18699	0.178343	0.313688
world	0.487305	-0.31401	0.31401	0.283844	0.287076	0.260054	0.049902	0.259741
president	0.556895	-0.440193	0.440193	0.224415	0.53048	0.102019	0.110358	0.573184
state	0.69757	0.178959	-0.178959	0.099996	0.188496	0.113891	0.121856	0.714664
u.s.	0.274821	-0.389024	0.389024	0.237319	0.312026	0.235866	0.024915	0.356963
united	0.722525	-0.140199	0.140199	0.160417	0.259571	0.163667	0.13862	0.313576
states	0.722525	-0.140199	0.140199	0.160417	0.259571	0.163667	0.13862	0.313576
national	0.603023	-0.401393	0.401393	0.1505	0.255218	0.173862	0.091063	0.661842
country	0.564593	0.132879	-0.132879	0.111032	0.494563	0.121329	0.13328	0.639152
china	0.477019	-0.515883	0.515883	0.20287	0.682273	0.065198	0.098395	0.234163
war	0.487305	-0.31401	0.31401	0.283844	0.287076	0.260054	0.049902	0.259741
american	0.581037	-0.289891	0.289891	0.293528	0.287337	0.438022	0.001995	0.196291
party	0.294724	0.461393	-0.461393	0.231507	0.619843	0.010894	0.08473	0.131606
long	0.321585	0.670472	-0.670472	0.06331	0.098905	0.082213	0.264305	0.377103
way	0.606492	0.525801	-0.525801	0.210759	0.155442	0.187697	0.552993	0.180711
security	0.603023	-0.401393	0.401393	0.1505	0.255218	0.173862	0.091063	0.661842
dollars	0.517947	-0.463821	0.463821	0.062691	0.600125	0.059462	0.007534	0.408152
iraq	0.789622	-0.261811	0.261811	0.132377	0.565275	0.294477	0.107786	0.199522
right	0.606492	0.525801	-0.525801	0.210759	0.155442	0.187697	0.552993	0.180711
law	0.502688	-0.340845	0.340845	0.171764	0.559857	0.187786	0.069931	0.521628
john	0.274617	0.0	-0.0	0.240129	0.148858	0.308071	0.153348	0.166022
trade	0.537679	-0.223195	0.223195	0.193398	0.564957	0.105813	0.062286	0.644789
central	0.276271	-0.59524	0.59524	0.111933	0.256401	0.359011	0.060544	0.304393
army	0.353395	0.45276	-0.45276	0.111992	0.210812	0.046577	0.15438	0.445506
little	0.530986	-0.415068	0.415068	0.082201	0.332651	0.415868	0.019471	0.299773
forces	0.562203	-0.289891	0.289891	0.293528	0.287337	0.438022	0.001995	0.196291
health	0.703432	0.672953	-0.672953	0.097215	0.112454	0.086398	0.547652	0.528694
clinton	0.295991	0.240003	-0.240003	0.0	0.0	0.0	0.0	0.0
committee	0.36594	-0.347128	0.347128	0.372146	0.394123	0.045571	0.014329	0.357457
america	0.571808	-0.0703059	0.0703059	0.217568	0.564625	0.109003	0.083796	0.534832
young	0.490513	0.45268	-0.45268	0.058389	0.132054	0.032292	0.656185	0.030731
defense	0.508511	0.385374	-0.385374	0.100067	0.338234	0.100674	0.175241	0.271219
bill	0.295991	0.240003	-0.240003	0.0	0.0	0.0	0.0	0.0
nuclear	0.524073	0.0626595	-0.0626595	0.39563	0.072508	0.112515	0.048354	0.460384
services	0.36594	-0.347128	0.347128	0.372146	0.394123	0.045571	0.014329	0.357457
europe	0.276271	-0.59524	0.59524	0.111933	0.256401	0.359011	0.060544	0.304393
strong	0.508511	0.385374	-0.385374	0.100067	0.338234	0.100674	0.175241	0.271219
congress	0.298718	-0.33225	0.33225	0.201794	0.790298	0.002791	0.032253	0.077818
san	0.456133	-0.414149	0.414149	0.151527	0.180953	0.202031	0.128305	0.359848
province	0.497365	-0.41058	0.41058	0.091812	0.042606	0.115968	0.002528	0.821457
california	0.310624	-0.30779	0.30779	0.167185	0.143541	0.118447	0.20602	0.312865
george	0.270567	0.0	-0.0	0.165529	0.126973	0.174182	0.189539	0.301492
pakistan	0.275672	-0.754805	0.754805	0.196853	0.048503	0.454016	0.00624	0.427172
