Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.403272	-0.634484	0.634484	0.043136	0.006144	0.312255	0.009964	0.687529
two	0.327534	0.0	-0.0	0	0	0	0	0
people	0.933975	0.0612673	-0.0612673	0.192455	0.592235	0.093392	0.090233	0.52054
years	0.327534	0.0	-0.0	0	0	0	0	0
president	0.416215	-0.535605	0.535605	0.126685	0.821758	0.078886	0.030281	0.041257
united	0.699775	-0.618052	0.618052	0.323427	0.528499	0.277728	0.001264	0.108963
states	0.699775	-0.618052	0.618052	0.323427	0.528499	0.277728	0.001264	0.108963
national	0.626836	-0.541183	0.541183	0.178174	0.227137	0.50416	0.003697	0.267155
country	0.610477	0.0961723	-0.0961723	0.437957	0.595109	0.120996	0.038992	0.566161
american	0.731169	0.152027	-0.152027	0.2254	0.680051	0.004368	0.006016	0.250778
high	0.530322	-0.687864	0.687864	0.518337	0.396345	0.020997	0.00118	0.276767
party	0.486595	-0.287881	0.287881	0.181969	0.599818	0.1056	0.031705	0.218959
security	0.555339	-0.398356	0.398356	0.236604	0.312589	0.110366	0.002316	0.518449
political	0.546912	-0.418599	0.418599	0.185828	0.685857	0.01046	0.003531	0.276242
life	0.52811	0.0	-0.0	0.108882	0.156758	0.03063	0.313224	0.282752
six	0.327534	0.0	-0.0	0	0	0	0	0
iraq	0.499934	-0.411427	0.411427	0.195643	0.723738	0.075958	0.0501	0.066277
local	0.526183	0.0	-0.0	0.174284	0.279274	0.125741	0.004927	0.571994
economic	0.52811	0.0	-0.0	0.108882	0.156758	0.03063	0.313224	0.282752
bush	0.416215	-0.535605	0.535605	0.126685	0.821758	0.078886	0.030281	0.041257
washington	0.388023	0.3397	-0.3397	0.064183	0.069267	0.147136	0.395744	0.189595
white	0.513585	0.0	-0.0	0.189299	0.698435	0.016155	0.011604	0.234477
men	0.490181	0.27681	-0.27681	0.082972	0.116648	0.044837	0.215728	0.441121
air	0.542232	-0.225032	0.225032	0.516451	0.353159	0.132839	0.007698	0.206796
little	0.546912	-0.418599	0.418599	0.185828	0.685857	0.01046	0.003531	0.276242
health	0.516007	0.715852	-0.715852	0.10123	0.056016	0.038277	0.334099	0.326046
free	0.52163	0.733281	-0.733281	0.242411	0.39641	0.045924	0.16061	0.189559
rights	0.552788	-0.00819525	0.00819525	0.252987	0.165026	0.08952	0.525094	0.180437
america	0.913648	-0.415794	0.415794	0.206088	0.571326	0.093588	0.073692	0.617647
young	0.516874	0.0	-0.0	0.309336	0.089413	0.115578	0.092961	0.428867
human	0.526935	0.0	-0.0	0.149564	0.50493	0.100514	0.019077	0.372388
important	0.599214	0.157874	-0.157874	0.181686	0.33395	0.08834	0.234453	0.133775
issue	0.492124	0.0	-0.0	0.287359	0.165829	0.065251	0.0442	0.533655
community	0.829834	0.139544	-0.139544	0.280199	0.219411	0.083412	0.027543	0.723778
black	0.829834	0.139544	-0.139544	0.280199	0.219411	0.083412	0.027543	0.723778
real	0.52811	0.0	-0.0	0.108882	0.156758	0.03063	0.313224	0.282752
korea	0.361069	0.0	-0.0	0.267868	0.209119	0.271203	0.046091	0.335424
executive	0.42785	0.0	-0.0	0.089706	0.064341	0.158312	0.017884	0.736653
education	0.503517	0.382065	-0.382065	0.183232	0.202473	0.164264	0.051414	0.668946
george	0.365808	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
job	0.524647	0.366681	-0.366681	0.076998	0.082134	0.032951	0.285315	0.387135
