Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.419904	0.154448	-0.154448	0.718434	0.126998	0.012661	0.066975	0.134083
people	0.740608	-0.0787322	0.0787322	0.210941	0.499843	0.089852	0.114043	0.587869
government	0.721754	-0.0944056	0.0944056	0.535344	0.521857	0.100669	0.055619	0.238657
time	0.347069	-0.48697	0.48697	0.20866	0.17713	0.116572	0.116191	0.573338
president	0.945552	-0.102641	0.102641	0.215714	0.31699	0.091043	0.168845	0.249248
state	0.31285	0.300557	-0.300557	0.276097	0.150586	0.26695	0.031668	0.405804
united	0.81046	-0.186115	0.186115	0.215076	0.307846	0.161957	0.116993	0.268051
states	0.81046	-0.186115	0.186115	0.215076	0.307846	0.161957	0.116993	0.268051
city	0.335508	0.661309	-0.661309	0.041118	0.065902	0.027568	0.46858	0.236732
national	0.640395	0.105685	-0.105685	0.172897	0.528797	0.131605	0.037268	0.621166
country	0.348143	0.0744107	-0.0744107	0.093227	0.469764	0.086797	0.159091	0.6325
south	0.365082	-0.247558	0.247558	0.224357	0.216766	0.11283	0.146745	0.318294
american	0.666011	-0.110329	0.110329	0.201264	0.575546	0.062159	0.10325	0.556487
home	0.314735	0.532522	-0.532522	0.120054	0.057951	0.157282	0.109798	0.527118
military	0.292984	-0.349402	0.349402	0.077858	0.337245	0.334457	0.042325	0.325618
way	0.391761	-0.0154408	0.0154408	0.180327	0.159151	0.089603	0.342625	0.180503
security	0.303554	0.423398	-0.423398	0.284597	0.579484	0.037471	0.058357	0.1677
york	0.335508	0.661309	-0.661309	0.041118	0.065902	0.027568	0.46858	0.236732
general	0.3321	0.0	-0.0	0.09384	0.140631	0.044999	0.378836	0.217207
iraq	0.662123	-0.545829	0.545829	0.646576	0.302365	0.50387	0.035791	0.220427
power	0.387082	-0.0189763	0.0189763	0.24174	0.136759	0.155272	0.174647	0.487551
bush	0.410869	-0.559399	0.559399	0.100655	0.606049	0.082618	0.064677	0.227981
john	0.39939	0.152513	-0.152513	0.387319	0.258974	0.058507	0.098617	0.275633
meeting	0.313744	0.0	-0.0	0.096695	0.091841	0.058094	0.455959	0.1611
washington	0.411208	0.0755077	-0.0755077	0.26468	0.499521	0.13266	0.018463	0.269924
