Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.722973	-0.0952537	0.0952537	0.204563	0.538457	0.092906	0.084824	0.595135
government	0.542796	-0.360178	0.360178	0.217164	0.479852	0.419139	0.006838	0.093986
time	0.285337	0.0752459	-0.0752459	0.142468	0.138144	0.139385	0.187757	0.545843
world	0.228963	-0.153587	0.153587	0.162384	0.546336	0.462988	0.148196	0.581035
president	0.499001	-0.117005	0.117005	0.24959	0.609552	0.008659	0.052647	0.19875
country	0.417806	0.0670211	-0.0670211	0.139442	0.496549	0.10854	0.042116	0.724147
china	0.33238	-0.573523	0.573523	0.29637	0.525424	0.036751	0.001913	0.341651
war	0.365491	-0.500193	0.500193	0.225347	0.19575	0.243965	0.041004	0.584364
party	0.480108	-0.234457	0.234457	0.205729	0.735654	0.070113	0.038081	0.485811
way	0.24775	-0.175183	0.175183	0.196121	0.1611	0.178801	0.129264	0.566539
security	0.298404	-0.370765	0.370765	0.290251	0.710531	0.048242	0.003783	0.132504
foreign	0.904053	-0.121835	0.121835	0.187691	0.334003	0.135733	0.0339	0.564539
iraq	0.528941	-0.419739	0.419739	0.211035	0.583394	0.291708	0.032062	0.49394
bush	0.305533	-0.543131	0.543131	0.088489	0.623136	0.087897	0.069294	0.19984
washington	0.404039	-0.545494	0.545494	0.150268	0.133488	0.128192	0.178509	0.368655
european	0.301703	0.0	-0.0	0.177546	0.10464	0.18776	0.232214	0.237153
money	0.464125	-0.00410399	0.00410399	0.183548	0.258282	0.140255	0.130454	0.507173
israel	0.420654	0.0	-0.0	0.232627	0.508549	0.603504	0.046192	0.249985
federal	0.542796	-0.360178	0.360178	0.217164	0.479852	0.419139	0.006838	0.093986
union	0.301703	0.0	-0.0	0.177546	0.10464	0.18776	0.232214	0.237153
department	0.484619	-0.408638	0.408638	0.180746	0.504308	0.129951	0.14042	0.343002
clinton	0.328261	-0.632105	0.632105	0.152655	0.622588	0.039558	0.045573	0.249995
america	0.343496	0.0928833	-0.0928833	0.285504	0.400086	0.079428	0.017583	0.394197
nations	0.349709	-0.400856	0.400856	0.469228	0.154993	0.335112	0.004085	0.238726
europe	0.361774	-0.424379	0.424379	0.077209	0.337299	0.390488	0.070133	0.211287
policy	0.904053	-0.121835	0.121835	0.187691	0.334003	0.135733	0.0339	0.564539
iran	0.493511	-0.703948	0.703948	0.203062	0.441102	0.571178	0.028899	0.595406
korea	0.371733	-0.473879	0.473879	0.402037	0.584804	0.06919	0.005813	0.154143
congress	0.472171	-0.41798	0.41798	0.100581	0.552128	0.152836	0.003745	0.360221
commission	0.311654	0.0	-0.0	0.072702	0.163733	0.058823	0.056593	0.675805
education	0.484619	-0.408638	0.408638	0.180746	0.504308	0.129951	0.14042	0.343002
george	0.305533	-0.543131	0.543131	0.088489	0.623136	0.087897	0.069294	0.19984
pakistan	0.348006	-0.710446	0.710446	0.252217	0.078753	0.631397	0.002627	0.193356
social	0.298404	-0.370765	0.370765	0.290251	0.710531	0.048242	0.003783	0.132504
republican	0.480108	-0.234457	0.234457	0.205729	0.735654	0.070113	0.038081	0.485811
texas	0.309018	-0.518137	0.518137	0.131175	0.493617	0.061814	0.016545	0.442348
vice	0.32524	-0.112615	0.112615	0.301911	0.53414	0.027301	0.066174	0.192755
mexico	0.333301	0.0	-0.0	0.161239	0.192193	0.251166	0.050958	0.435823
afghanistan	0.371755	-0.393168	0.393168	0.227527	0.08445	0.165017	0.125308	0.399386
fund	0.298404	-0.370765	0.370765	0.290251	0.710531	0.048242	0.003783	0.132504
hall	0.315465	0.0	-0.0	0.204707	0.427339	0.097143	0.028935	0.393178
arab	0.349709	-0.400856	0.400856	0.469228	0.154993	0.335112	0.004085	0.238726
independence	0.315465	0.0	-0.0	0.204707	0.427339	0.097143	0.028935	0.393178
vietnam	0.446204	-0.169611	0.169611	0.186991	0.192398	0.190009	0.527153	0.283943
reserve	0.440199	-0.494676	0.494676	0.434087	0.425084	0.042908	0.002806	0.307944
saddam	0.3966	-0.654077	0.654077	0.153451	0.511042	0.165441	0.455814	0.550163
gulf	0.307835	0.0	-0.0	0.027231	0.103946	0.062467	0.192759	0.506612
senator	0.328261	-0.632105	0.632105	0.152655	0.622588	0.039558	0.045573	0.249995
bin	0.374533	-0.611489	0.611489	0.13424	0.566416	0.292806	0.008871	0.185483
hussein	0.3966	-0.654077	0.654077	0.153451	0.511042	0.165441	0.455814	0.550163
qaida	0.419141	-0.498859	0.498859	0.071254	0.264216	0.596361	0.071117	0.076479
wilson	0.322739	0.0	-0.0	0.200726	0.389394	0.067436	0.099879	0.31031
laden	0.374533	-0.611489	0.611489	0.13424	0.566416	0.292806	0.008871	0.185483
cia	0.333667	-0.317199	0.317199	0.180067	0.183042	0.144593	0.154149	0.329725
wto	0.309508	-0.472673	0.472673	0.241039	0.200331	0.2501	0.003099	0.479611
osama	0.374533	-0.611489	0.611489	0.13424	0.566416	0.292806	0.008871	0.185483
applause	0.553308	0.342782	-0.342782	0.116402	0.101936	0.100095	0.407646	0.156177
nafta	0.311852	-0.625805	0.625805	0.197402	0.096727	0.213063	0.161756	0.311934
woodrow	0.322739	0.0	-0.0	0.200726	0.389394	0.067436	0.099879	0.31031
trilateral	0.311654	0.0	-0.0	0.072702	0.163733	0.058823	0.056593	0.675805
tonkin	0.307835	0.0	-0.0	0.027231	0.103946	0.062467	0.192759	0.506612
