Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
and	0.425208	0.0	-0.0	0.071574	0.032079	0.08582	0.464168	0.192667
for	0.425208	0.0	-0.0	0.071574	0.032079	0.08582	0.464168	0.192667
new	0.410825	-0.613961	0.613961	0.17057	0.634296	0.044952	0.0132	0.291125
people	0.947809	0.032547	-0.032547	0.18228	0.26113	0.088385	0.149752	0.583441
government	0.36013	0.0	-0.0	0.182512	0.769544	0.056581	0.023217	0.091056
time	0.568247	0.108706	-0.108706	0.157401	0.138769	0.123339	0.17948	0.564159
world	0.573995	0.0200337	-0.0200337	0.433359	0.452705	0.442427	0.190134	0.488894
president	0.667943	0.148058	-0.148058	0.172127	0.519847	0.086195	0.548277	0.225891
state	0.493827	0.591893	-0.591893	0.185202	0.171575	0.136825	0.268642	0.18156
united	0.414443	-0.483077	0.483077	0.079873	0.249956	0.358624	0.020681	0.421308
states	0.414443	-0.483077	0.483077	0.079873	0.249956	0.358624	0.020681	0.421308
country	0.611644	0.246138	-0.246138	0.109679	0.174561	0.070821	0.546377	0.652472
american	0.520433	0.0870456	-0.0870456	0.427002	0.299229	0.114046	0.045528	0.265331
international	0.425208	0.0	-0.0	0.071574	0.032079	0.08582	0.464168	0.192667
party	0.330717	-0.2116	0.2116	0.180629	0.234898	0.343727	0.089991	0.228229
way	0.481631	0.451812	-0.451812	0.193602	0.073493	0.236488	0.090411	0.436671
york	0.340869	0.0	-0.0	0.165624	0.204762	0.086151	0.236015	0.251356
market	0.481631	0.451812	-0.451812	0.193602	0.073493	0.236488	0.090411	0.436671
life	0.575438	0.0716386	-0.0716386	0.143573	0.516346	0.041354	0.27779	0.168532
good	0.48748	0.591195	-0.591195	0.025247	0.032358	0.024068	0.535595	0.212722
number	0.497083	-0.243878	0.243878	0.109575	0.17582	0.264099	0.038777	0.688871
iraq	0.469743	-0.0673445	0.0673445	0.156116	0.577418	0.277076	0.099484	0.187902
place	0.495804	0.0596231	-0.0596231	0.159788	0.562914	0.096533	0.573941	0.591031
right	0.512498	-0.270669	0.270669	0.202389	0.28354	0.508412	0.043442	0.105289
business	0.510267	0.0	-0.0	0.176831	0.105444	0.069676	0.366655	0.175114
support	0.486905	0.466465	-0.466465	0.068743	0.154475	0.126451	0.280141	0.271326
washington	0.318167	0.440471	-0.440471	0.17593	0.221419	0.207335	0.116506	0.329634
money	0.492957	-0.15298	0.15298	0.135485	0.236945	0.565434	0.198364	0.264145
center	0.425208	0.0	-0.0	0.071574	0.032079	0.08582	0.464168	0.192667
central	0.483443	0.643938	-0.643938	0.168087	0.537182	0.158571	0.05529	0.204052
federal	0.36013	0.0	-0.0	0.182512	0.769544	0.056581	0.023217	0.091056
small	0.510267	0.0	-0.0	0.176831	0.105444	0.069676	0.366655	0.175114
health	0.83575	0.548095	-0.548095	0.160599	0.116116	0.087154	0.509579	0.576339
plan	0.515649	0.204076	-0.204076	0.227294	0.154337	0.223983	0.113421	0.322615
russia	0.31275	-0.322688	0.322688	0.171373	0.097809	0.252854	0.051014	0.488518
free	0.481631	0.451812	-0.451812	0.193602	0.073493	0.236488	0.090411	0.436671
better	0.49024	0.589115	-0.589115	0.044053	0.009405	0.04583	0.630833	0.126734
america	0.845162	-0.618543	0.618543	0.219786	0.522909	0.100349	0.072539	0.321209
nations	0.317285	-0.313769	0.313769	0.119447	0.2992	0.043187	0.047446	0.570128
human	0.575438	0.0716386	-0.0716386	0.143573	0.516346	0.041354	0.27779	0.168532
issue	0.482288	0.196419	-0.196419	0.553682	0.147332	0.039642	0.051527	0.645335
nation	0.506589	0.0639762	-0.0639762	0.18575	0.122388	0.118086	0.532045	0.251877
europe	0.314247	0.0	-0.0	0.096803	0.101757	0.070818	0.20205	0.438593
policy	0.488632	0.129174	-0.129174	0.252238	0.175633	0.075273	0.056358	0.744153
role	0.486905	0.466465	-0.466465	0.068743	0.154475	0.126451	0.280141	0.271326
special	0.588884	-0.218191	0.218191	0.053194	0.111515	0.052663	0.561105	0.101919
pakistan	0.306475	0.0	-0.0	0.171451	0.131145	0.172319	0.174607	0.320397
u.n.	0.325536	0.0	-0.0	0.289877	0.139045	0.226598	0.105648	0.289136
republican	0.330717	-0.2116	0.2116	0.180629	0.234898	0.343727	0.089991	0.228229
senate	0.428954	-0.387378	0.387378	0.0	0.0	0.0	0.0	0.0
care	0.83575	0.548095	-0.548095	0.160599	0.116116	0.087154	0.509579	0.576339
obama	0.315177	-0.429416	0.429416	0.220003	0.28467	0.149707	0.07188	0.359973
legal	0.571932	0.159122	-0.159122	0.088805	0.099049	0.014019	0.513934	0.151234
afghanistan	0.326228	0.0	-0.0	0.122637	0.120552	0.179514	0.107126	0.47184
thing	0.512498	-0.270669	0.270669	0.202389	0.28354	0.508412	0.043442	0.105289
kind	0.489815	0.263198	-0.263198	0.441947	0.527271	0.121312	0.216278	0.474114
islamic	0.507786	-0.411843	0.411843	0.269672	0.538999	0.164564	0.002006	0.241419
question	0.523481	-0.0188825	0.0188825	0.209891	0.130871	0.125484	0.204246	0.304187
governor	0.533124	-0.464125	0.464125	0.21379	0.431216	0.153541	0.102431	0.543159
democrats	0.487293	-0.218263	0.218263	0.139174	0.096904	0.10751	0.378247	0.161568
view	0.514892	0.253625	-0.253625	0.184827	0.133419	0.075955	0.364138	0.151151
cities	0.543056	-0.103574	0.103574	0.121445	0.126501	0.073259	0.328003	0.250199
mayor	0.39144	-0.306948	0.306948	0.178955	0.131396	0.176432	0.165839	0.322384
studies	0.425208	0.0	-0.0	0.071574	0.032079	0.08582	0.464168	0.192667
insurance	0.538952	0.168566	-0.168566	0.05259	0.178105	0.03321	0.306429	0.311864
saddam	0.387507	-0.458848	0.458848	0.136447	0.17827	0.18184	0.452846	0.544124
mccain	0.424331	0.0	-0.0	0.170634	0.135146	0.16701	0.182064	0.309168
chris	0.329916	0.0	-0.0	0.165624	0.204762	0.086151	0.236015	0.251356
taxes	0.492866	0.00978684	-0.00978684	0.15105	0.575908	0.158974	0.059445	0.546137
massachusetts	0.479212	-0.230277	0.230277	0.220282	0.111299	0.108317	0.531512	0.251589
senator	0.424331	0.0	-0.0	0.170634	0.135146	0.16701	0.182064	0.309168
immigration	0.571932	0.159122	-0.159122	0.088805	0.099049	0.014019	0.513934	0.151234
poverty	0.517175	-0.482551	0.482551	0.335529	0.304923	0.15476	0.006014	0.394314
kennedy	0.34839	-0.290552	0.290552	0.119749	0.151418	0.109645	0.020196	0.684974
hussein	0.387507	-0.458848	0.458848	0.136447	0.17827	0.18184	0.452846	0.544124
strategic	0.425208	0.0	-0.0	0.071574	0.032079	0.08582	0.464168	0.192667
qaida	0.304901	0.235334	-0.235334	0.158069	0.128694	0.121027	0.267092	0.242935
everybody	0.523625	0.131413	-0.131413	0.44138	0.131759	0.121821	0.153672	0.562991
sudan	0.312564	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
