Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
one	0.42055	0.0	-0.0	0	0	0	0	0
new	0.450919	-0.260676	0.260676	0.118648	0.087102	0.096246	0.400949	0.17689
people	0.925501	-0.102775	0.102775	0.217291	0.477216	0.102731	0.08979	0.56464
government	0.699701	-0.339463	0.339463	0.456043	0.384719	0.156644	0.018018	0.190752
time	0.868418	-0.212881	0.212881	0.074257	0.112114	0.146602	0.178829	0.418164
world	0.750773	0.00176442	-0.00176442	0.104334	0.051137	0.11721	0.601144	0.631368
president	0.649738	-0.616109	0.616109	0.158158	0.308172	0.024176	0.230431	0.239609
state	0.773346	0.0	-0.0	0.205171	0.173705	0.220559	0.060552	0.42445
united	0.747119	0.29756	-0.29756	0.18724	0.282941	0.036017	0.26404	0.183532
states	0.747119	0.29756	-0.29756	0.18724	0.282941	0.036017	0.26404	0.183532
national	0.766113	-0.243862	0.243862	0.242824	0.147162	0.190729	0.001344	0.575958
day	0.42055	0.0	-0.0	0	0	0	0	0
country	0.788363	0.092364	-0.092364	0.151957	0.30136	0.0646	0.081615	0.675154
war	0.706687	-0.349064	0.349064	0.594783	0.185681	0.301537	0.006646	0.115869
long	0.868418	-0.212881	0.212881	0.074257	0.112114	0.146602	0.178829	0.418164
security	0.781418	-0.328661	0.328661	0.454372	0.556873	0.028728	0.001576	0.176814
york	0.450919	-0.260676	0.260676	0.118648	0.087102	0.096246	0.400949	0.17689
foreign	0.806379	-0.476127	0.476127	0.200383	0.600887	0.123662	0.00277	0.264069
good	0.777907	-0.0227208	0.0227208	0.195633	0.429895	0.06627	0.093837	0.289375
number	0.777907	-0.0227208	0.0227208	0.195633	0.429895	0.06627	0.093837	0.289375
iraq	0.503096	-0.692517	0.692517	0.06616	0.191986	0.409595	0.005842	0.460974
right	0.697557	0.386711	-0.386711	0.071741	0.008184	0.051811	0.476366	0.223327
local	0.715038	0.0	-0.0	0.273484	0.149818	0.089856	0.05058	0.525396
