Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.762707	-0.059936	0.059936	0.218329	0.538658	0.12669	0.105519	0.526751
government	0.8356	-0.195845	0.195845	0.529178	0.591904	0.139902	0.01436	0.238789
time	0.552259	0.311154	-0.311154	0.202155	0.575968	0.093647	0.480118	0.556621
world	0.549605	0.242309	-0.242309	0.472397	0.107514	0.517918	0.598444	0.235007
president	0.797236	-0.293502	0.293502	0.211776	0.263687	0.650813	0.084739	0.561289
state	0.545887	0.0298446	-0.0298446	0.097724	0.055071	0.082502	0.408236	0.218349
united	0.93496	-0.289139	0.289139	0.202519	0.279239	0.190781	0.082057	0.542886
states	0.93496	-0.289139	0.289139	0.202519	0.279239	0.190781	0.082057	0.542886
national	0.604452	-0.423721	0.423721	0.285728	0.302268	0.033785	0.000451	0.555995
country	0.675321	-0.0784871	0.0784871	0.151165	0.625273	0.077505	0.05854	0.609473
china	0.356615	-0.376869	0.376869	0.206611	0.199603	0.103876	0.123204	0.384179
american	0.297197	-0.410615	0.410615	0.227523	0.168252	0.128332	0.227457	0.212391
party	0.33852	0.0	-0.0	0.100437	0.614916	0.033526	0.083014	0.223461
house	0.303099	-0.488746	0.488746	0.187721	0.215836	0.341262	0.03065	0.356283
way	0.638173	0.152608	-0.152608	0.481638	0.515889	0.443945	0.269442	0.173139
security	0.604452	-0.423721	0.423721	0.285728	0.302268	0.033785	0.000451	0.555995
public	0.571361	-0.7226	0.7226	0.411979	0.296724	0.063852	0.000606	0.427884
general	0.308795	0.0	-0.0	0.105323	0.629669	0.079304	0.033787	0.268383
good	0.551768	0.383492	-0.383492	0.176009	0.029108	0.102609	0.47619	0.091559
number	0.547425	0.0853252	-0.0853252	0.131669	0.199281	0.261637	0.04147	0.618216
iraq	0.56833	-0.466472	0.466472	0.219911	0.577099	0.337532	0.042034	0.173145
right	0.551816	0.462203	-0.462203	0.126297	0.166246	0.034494	0.426596	0.138376
bush	0.281816	-0.649801	0.649801	0.186347	0.610216	0.091236	0.041087	0.204891
john	0.311626	0.0	-0.0	0.175355	0.141607	0.142167	0.174239	0.334331
white	0.303099	-0.488746	0.488746	0.187721	0.215836	0.341262	0.03065	0.356283
case	0.539712	0.0	-0.0	0.208463	0.271388	0.150356	0.073661	0.381917
israel	0.28823	-0.461375	0.461375	0.10105	0.078841	0.316599	0.027077	0.553746
little	0.54106	0.0838315	-0.0838315	0.434174	0.253271	0.150295	0.047185	0.263444
death	0.547263	-0.587759	0.587759	0.189299	0.258171	0.117199	0.001484	0.596036
federal	0.8356	-0.195845	0.195845	0.529178	0.591904	0.139902	0.01436	0.238789
union	0.297197	-0.410615	0.410615	0.227523	0.168252	0.128332	0.227457	0.212391
health	0.648502	0.623271	-0.623271	0.154146	0.142715	0.085297	0.469819	0.509972
district	0.299101	0.0	-0.0	0.259447	0.465452	0.026887	0.09295	0.237453
plan	0.541535	-0.809431	0.809431	0.36165	0.402791	0.080463	0.043916	0.267366
clinton	0.325135	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
america	0.695046	0.0611823	-0.0611823	0.470649	0.657374	0.124396	0.068583	0.233302
nations	0.30298	0.655114	-0.655114	0.291077	0.254281	0.135814	0.044923	0.399151
important	0.544451	0.692817	-0.692817	0.055433	0.027909	0.055827	0.55916	0.150272
different	0.543039	0.0	-0.0	0.287222	0.164518	0.261963	0.171731	0.134698
issue	0.626058	0.0706093	-0.0706093	0.553045	0.180956	0.068037	0.037359	0.654831
level	0.568085	-0.432131	0.432131	0.227141	0.47238	0.131892	0.011398	0.34194
policy	0.571361	-0.7226	0.7226	0.411979	0.296724	0.063852	0.000606	0.427884
role	0.561635	-0.264901	0.264901	0.38736	0.447357	0.138715	0.011268	0.228194
iran	0.313036	0.370841	-0.370841	0.103539	0.068563	0.086356	0.439827	0.166281
western	0.569345	0.431769	-0.431769	0.117381	0.219128	0.130948	0.247641	0.2253
single	0.599889	0.0447554	-0.0447554	0.134205	0.679526	0.128624	0.005631	0.216911
congress	0.518266	-0.161269	0.161269	0.099999	0.360256	0.16059	0.017059	0.704315
issues	0.571361	-0.7226	0.7226	0.411979	0.296724	0.063852	0.000606	0.427884
george	0.281816	-0.649801	0.649801	0.186347	0.610216	0.091236	0.041087	0.204891
things	0.667309	0.0870639	-0.0870639	0.127068	0.169221	0.15897	0.206457	0.548535
social	0.56001	0.308299	-0.308299	0.056329	0.067594	0.142846	0.452779	0.143183
global	0.572336	-0.508158	0.508158	0.298094	0.131549	0.121851	0.001382	0.60214
iraqi	0.406305	-0.363867	0.363867	0.342424	0.676163	0.183217	0.000982	0.023461
republican	0.33852	0.0	-0.0	0.100437	0.614916	0.033526	0.083014	0.223461
course	0.616067	-0.0221602	0.0221602	0.263486	0.099302	0.115593	0.299807	0.176169
problem	0.539835	-0.182464	0.182464	0.261035	0.137385	0.129419	0.024783	0.73625
care	0.648502	0.623271	-0.623271	0.154146	0.142715	0.085297	0.469819	0.509972
canada	0.292224	0.0	-0.0	0.183057	0.177281	0.297224	0.00251	0.499919
fact	0.602873	0.173069	-0.173069	0.182524	0.220107	0.161003	0.120157	0.546965
mexico	0.37269	-0.698344	0.698344	0.161393	0.23946	0.22349	0.095998	0.339405
rates	0.57768	-0.557051	0.557051	0.062082	0.736602	0.097466	0.000216	0.245295
thing	0.702657	-0.0151998	0.0151998	0.163824	0.537342	0.574736	0.495039	0.212881
person	0.599889	0.0447554	-0.0447554	0.134205	0.679526	0.128624	0.005631	0.216911
kind	0.549825	0.0697396	-0.0697396	0.60332	0.575607	0.548762	0.073191	0.194641
baghdad	0.31451	0.0	-0.0	0.163028	0.127972	0.189097	0.175876	0.31147
highest	0.562112	0.32091	-0.32091	0.240569	0.325617	0.181059	0.013461	0.410307
illegal	0.623074	-0.528051	0.528051	0.311089	0.72625	0.047292	0.003449	0.291383
conservative	0.297197	-0.410615	0.410615	0.227523	0.168252	0.128332	0.227457	0.212391
bit	0.54106	0.0838315	-0.0838315	0.434174	0.253271	0.150295	0.047185	0.263444
tom	0.345094	-0.289883	0.289883	0.151708	0.25911	0.102502	0.064083	0.49833
saudi	0.307006	0.0	-0.0	0.222939	0.20719	0.309716	0.059666	0.30839
virginia	0.274767	-0.537037	0.537037	0.226221	0.260783	0.227387	0.014501	0.434206
responsibility	0.557799	0.0574444	-0.0574444	0.206723	0.479774	0.139858	0.148799	0.500264
penalty	0.547263	-0.587759	0.587759	0.189299	0.258171	0.117199	0.001484	0.596036
mccain	0.44209	0.232628	-0.232628	0.111837	0.272194	0.194379	0.017411	0.534748
jack	0.341298	0.0	-0.0	0.227771	0.086411	0.147939	0.379931	0.066755
accounts	0.600443	0.684022	-0.684022	0.551762	0.035972	0.017314	0.098859	0.315057
senator	0.44209	0.232628	-0.232628	0.111837	0.272194	0.194379	0.017411	0.534748
immigration	0.623074	-0.528051	0.528051	0.311089	0.72625	0.047292	0.003449	0.291383
columbia	0.299101	0.0	-0.0	0.259447	0.465452	0.026887	0.09295	0.237453
everybody	0.546706	0.233365	-0.233365	0.201767	0.146374	0.104236	0.254479	0.515147
sudan	0.291177	-0.695254	0.695254	0.478188	0.177804	0.094595	0.041857	0.336661
arabia	0.307006	0.0	-0.0	0.222939	0.20719	0.309716	0.059666	0.30839
welfare	0.545887	0.0298446	-0.0298446	0.097724	0.055071	0.082502	0.408236	0.218349
islam	0.57862	-0.00233012	0.00233012	0.620904	0.402726	0.153324	0.000413	0.058272
photo	0.547194	0.163347	-0.163347	0.286677	0.055148	0.018987	0.025444	0.689353
rating	0.562112	0.32091	-0.32091	0.240569	0.325617	0.181059	0.013461	0.410307
radical	0.57862	-0.00233012	0.00233012	0.620904	0.402726	0.153324	0.000413	0.058272
maryland	0.275047	-0.587812	0.587812	0.075284	0.058763	0.142042	0.081706	0.626229
savings	0.600443	0.684022	-0.684022	0.551762	0.035972	0.017314	0.098859	0.315057
louisiana	0.284014	0.0	-0.0	0.069889	0.078307	0.323435	0.088385	0.440779
benjamin	0.286921	-0.445115	0.445115	0.23554	0.32489	0.12323	0.12965	0.241265
wage	0.57768	-0.557051	0.557051	0.062082	0.736602	0.097466	0.000216	0.245295
totally	0.543039	0.0	-0.0	0.287222	0.164518	0.261963	0.171731	0.134698
ron	0.360637	-0.270016	0.270016	0.145527	0.113173	0.173798	0.180381	0.342849
reagan	0.302693	0.0	-0.0	0.170634	0.135146	0.16701	0.182064	0.309168
scientist	0.299622	-0.44207	0.44207	0.079862	0.329156	0.131888	0.019039	0.559459
warming	0.572336	-0.508158	0.508158	0.298094	0.131549	0.121851	0.001382	0.60214
franklin	0.286921	-0.445115	0.445115	0.23554	0.32489	0.12323	0.12965	0.241265
karl	0.304188	-0.589216	0.589216	0.301985	0.456494	0.078071	0.011389	0.34314
des	0.299815	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
ronald	0.302693	0.0	-0.0	0.170634	0.135146	0.16701	0.182064	0.309168
hunter	0.289619	0.363308	-0.363308	0.100011	0.609345	0.055203	0.063485	0.249135
danny	0.293778	0.547649	-0.547649	0.10254	0.62401	0.030771	0.121527	0.143417
damascus	0.312922	0.0	-0.0	0.082446	0.017307	0.264845	0.344613	0.156847
