Word	Primary_Democrats-OMALLEY	Primary_Democrats-SANDERS	Primary_Republicans-WALKER	Primary_Republicans-FIORINA	Primary_Republicans-RUBIO	Primary_Republicans-CARSON	General_Election-KAINE	Primary_Democrats-WEBB	General_Election-TRUMP	Primary_Democrats-CHAFEE	Primary_Republicans-HUCKABEE	General_Election-CLINTON	Primary_Republicans-CRUZ	Primary_Democrats-CLINTON	Primary_Republicans-CHRISTIE	General_Election-PENCE	Primary_Republicans-BUSH	Primary_Republicans-TRUMP	Primary_Republicans-PAUL	Primary_Republicans-KASICH	Shared
and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241383	0	0	0	0	1
for	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214963	0	0	0	0	1
new	0.552061	0.46284	0	0	0.404582	0	0.335118	0	0.244516	0.676617	0	0.697428	0	0.405738	0.67168	0	0	0.569037	0	0.251181	11
first	0	0	0	0	0	0	0.375578	0	0	0	0	0	0	0	0	0	0	0	0	0	1
people	0.739749	0.792815	0.825602	0.769676	0.930693	0.989596	0.359961	0.663012	0.641021	0	0.969745	0.947876	0.679008	0.911737	0.732163	0.574312	0.656236	0.958164	0.928974	0.952721	19
percent	0.421525	0.50031	0	0	0	0	0	0	0	0.350286	0	0.568543	0.593238	0	0	0	0.304069	0	0	0.396854	7
government	0.342611	0	0.6485	0.626126	0.254281	0.501958	0	0.397268	0	0.476624	0.788845	0	0.600885	0.602359	0.37853	0	0.37893	0.328465	0.430744	0	14
time	0	0	0	0.61518	0	0.529104	0	0.514598	0.533424	0.663599	0.524534	0.592128	0	0.619459	0.373116	0.462605	0.200401	0.483103	0.657579	0.471869	14
years	0	0	0	0	0	0	0	0	0	0.350286	0	0	0	0	0	0	0	0	0	0	1
world	0.422057	0	0	0	0.45902	0	0.33643	0.480358	0.487157	0.701963	0	0	0	0.590823	0.32487	0.474312	0.388198	0.55529	0	0.508295	12
president	0.798102	0.60457	0.87983	0.672426	0.744081	0.401312	0.319643	0.678251	0.486761	0.925006	0.706079	0.482581	0.903315	0.913346	0.822845	0.387447	0.888771	0.495991	0.565446	0.63059	20
state	0.384936	0	0.574632	0	0	0.470747	0	0	0	0	0	0	0.274619	0.370911	0	0	0	0	0	0	5
u.s.	0	0	0	0	0	0	0	0	0	0	0	0	0.650248	0	0.403212	0	0	0	0	0	2
