Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.697428	-0.183501	0.183501	0.171737	0.025371	0.481989	0.50209	0.129217
people	0.947876	-0.0418369	0.0418369	0.168356	0.540256	0.103231	0.112128	0.555379
percent	0.568543	0.344142	-0.344142	0.237923	0.107249	0.099763	0.353262	0.118879
time	0.592128	0.0884001	-0.0884001	0.146038	0.609346	0.093877	0.192055	0.553141
president	0.482581	0.0	-0.0	0.301544	0.102251	0.07023	0.104477	0.443533
united	0.451902	0.0	-0.0	0.213142	0.19839	0.24263	0.135027	0.243126
states	0.451902	0.0	-0.0	0.213142	0.19839	0.24263	0.135027	0.243126
national	0.236782	-0.545711	0.545711	0.139078	0.491246	0.129106	0.052693	0.305522
country	0.790349	0.113827	-0.113827	0.106324	0.532482	0.102162	0.134943	0.586674
china	0.281858	0.0	-0.0	0.075017	0.058849	0.154137	0.41443	0.157141
american	0.617813	0.0	-0.0	0.124909	0.488853	0.046716	0.008762	0.485052
house	0.252717	-0.414888	0.414888	0.189286	0.518154	0.319835	0.013382	0.156256
way	0.577804	-0.0615657	0.0615657	0.158692	0.599523	0.117475	0.581199	0.256229
security	0.567102	0.257344	-0.257344	0.151205	0.519976	0.025478	0.094948	0.265405
life	0.576065	-0.294325	0.294325	0.084142	0.013396	0.022795	0.552138	0.173567
good	0.578812	0.74417	-0.74417	0.045624	0.052005	0.046043	0.538285	0.164765
iraq	0.328273	-0.430663	0.430663	0.424497	0.135862	0.144429	0.002778	0.468016
economic	0.571563	0.0	-0.0	0.078972	0.051876	0.143929	0.367186	0.220184
business	0.612221	0.0596823	-0.0596823	0.176594	0.435309	0.144024	0.504049	0.214826
women	0.576607	-0.129923	0.129923	0.101112	0.720617	0.062934	0.10462	0.226242
bush	0.220955	-0.23503	0.23503	0.438391	0.297545	0.34829	0.034312	0.071243
washington	0.223324	0.0	-0.0	0.105789	0.573741	0.031999	0.029601	0.378913
white	0.252717	-0.414888	0.414888	0.189286	0.518154	0.319835	0.013382	0.156256
man	0.566774	0.318647	-0.318647	0.114184	0.579654	0.07156	0.102459	0.186754
men	0.569115	-0.556541	0.556541	0.113248	0.43636	0.154472	0.001356	0.468504
trade	0.623903	0.0977964	-0.0977964	0.254342	0.035253	0.226483	0.168993	0.286005
east	0.231235	0.0	-0.0	0.082916	0.063564	0.08978	0.470976	0.151451
army	0.220747	-0.651493	0.651493	0.048698	0.162619	0.296326	0.003445	0.605296
companies	0.584715	-0.466998	0.466998	0.30359	0.205338	0.141353	0.006428	0.513766
federal	0.625155	-0.414888	0.414888	0.189286	0.518154	0.319835	0.013382	0.156256
great	0.586101	0.343348	-0.343348	0.05911	0.212139	0.069598	0.389094	0.154573
small	0.569114	0.403093	-0.403093	0.137646	0.01595	0.11423	0.520831	0.081093
health	0.64555	0.523541	-0.523541	0.120695	0.159636	0.102914	0.324735	0.204123
russia	0.271434	0.0	-0.0	0.022672	0.243273	0.028855	0.419275	0.163471
economy	0.589606	-0.171057	0.171057	0.118698	0.047839	0.543517	0.129117	0.316841
committee	0.236782	-0.545711	0.545711	0.139078	0.491246	0.129106	0.052693	0.305522
america	0.473574	-0.445562	0.445562	0.272316	0.320262	0.118269	0.060152	0.347036
young	0.566774	0.318647	-0.318647	0.114184	0.579654	0.07156	0.102459	0.186754
important	0.574628	0.569521	-0.569521	0.370709	0.316213	0.050562	0.05485	0.337181
nuclear	0.594315	-0.428519	0.428519	0.251641	0.221655	0.175929	0.039962	0.434935
street	0.570737	-0.347835	0.347835	0.224283	0.270418	0.444358	0.005682	0.250753
different	0.571067	0.0	-0.0	0.113292	0.08194	0.180872	0.107407	0.502675
europe	0.268549	-0.518482	0.518482	0.173626	0.527179	0.126024	0.141762	0.533929
iran	0.29104	-0.619542	0.619542	0.131557	0.277665	0.131849	0.058212	0.480273
democratic	0.236782	-0.545711	0.545711	0.139078	0.491246	0.129106	0.052693	0.305522
issues	0.574628	0.569521	-0.569521	0.370709	0.316213	0.050562	0.05485	0.337181
energy	0.598504	0.547696	-0.547696	0.099061	0.14321	0.116494	0.491976	0.042149
george	0.223324	0.0	-0.0	0.105789	0.573741	0.031999	0.029601	0.378913
things	0.581888	0.17704	-0.17704	0.149213	0.598778	0.196889	0.149294	0.273226
job	0.578812	0.74417	-0.74417	0.045624	0.052005	0.046043	0.538285	0.164765
problems	0.567901	-0.706498	0.706498	0.185327	0.06529	0.394796	0.001515	0.492383
tax	0.630373	-0.440399	0.440399	0.378336	0.278335	0.071807	0.021433	0.40781
middle	0.231235	0.0	-0.0	0.082916	0.063564	0.08978	0.470976	0.151451
weapons	0.594315	-0.428519	0.428519	0.251641	0.221655	0.175929	0.039962	0.434935
act	0.730536	0.573971	-0.573971	0.240706	0.262483	0.061565	0.00806	0.583768
senate	0.268632	0.0	-0.0	0.150874	0.192893	0.14107	0.031905	0.578866
