Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.335118	-0.317663	0.317663	0.185924	0.16731	0.128909	0.036711	0.575998
first	0.375578	0.608241	-0.608241	0.083741	0.675291	0.163255	0.062853	0.104461
people	0.359961	0.129845	-0.129845	0.467593	0.617128	0.15272	0.051569	0.323115
world	0.33643	-0.120511	0.120511	0.124202	0.630256	0.427849	0.18524	0.252491
president	0.319643	-0.0251715	0.0251715	0.175014	0.717858	0.084353	0.072763	0.20263
united	0.318571	-0.407492	0.407492	0.450351	0.627764	0.433899	0.054174	0.509204
states	0.318571	-0.407492	0.407492	0.450351	0.627764	0.433899	0.054174	0.509204
american	0.342096	-0.707877	0.707877	0.140897	0.777367	0.017669	0.007328	0.187103
high	0.333455	-0.217609	0.217609	0.199706	0.183964	0.243355	0.12899	0.272114
school	0.333455	-0.217609	0.217609	0.199706	0.183964	0.243355	0.12899	0.272114
north	0.196043	-0.107835	0.107835	0.176431	0.109418	0.513607	0.14435	0.340531
security	0.15841	-0.564854	0.564854	0.220904	0.632473	0.020445	0.018283	0.258118
york	0.335118	-0.317663	0.317663	0.185924	0.16731	0.128909	0.036711	0.575998
public	0.342096	-0.707877	0.707877	0.140897	0.777367	0.017669	0.007328	0.187103
university	0.22543	0.0	-0.0	0.123352	0.675536	0.062237	0.043675	0.204162
iraq	0.182188	-0.487379	0.487379	0.1635	0.646704	0.147698	0.000696	0.229673
times	0.335118	-0.317663	0.317663	0.185924	0.16731	0.128909	0.036711	0.575998
business	0.375769	-0.352324	0.352324	0.175939	0.604569	0.118475	0.527303	0.112102
women	0.339149	0.0081557	-0.0081557	0.119228	0.699805	0.06529	0.09764	0.26417
bush	0.191274	-0.506386	0.506386	0.15623	0.715297	0.065688	0.000898	0.227755
john	0.227828	-0.154467	0.154467	0.09609	0.754683	0.031769	0.082896	0.070565
leader	0.343145	0.478105	-0.478105	0.023205	0.382611	0.009776	0.468015	0.017177
great	0.343145	0.478105	-0.478105	0.023205	0.382611	0.009776	0.468015	0.017177
program	0.428701	-0.465345	0.465345	0.30808	0.191485	0.482262	0.037256	0.338449
council	0.15841	-0.564854	0.564854	0.220904	0.632473	0.020445	0.018283	0.258118
record	0.359204	0.31724	-0.31724	0.074935	0.129753	0.161428	0.393969	0.12284
plan	0.392537	0.288022	-0.288022	0.170758	0.723484	0.240227	0.002277	0.053042
campaign	0.37548	-0.267141	0.267141	0.154321	0.753948	0.106068	0.00299	0.143278
troops	0.332619	-0.442547	0.442547	0.217088	0.562397	0.448975	0.058554	0.517398
russia	0.275577	-0.19811	0.19811	0.246625	0.595358	0.183256	0.464743	0.197586
better	0.335144	0.306057	-0.306057	0.178768	0.306592	0.018592	0.32043	0.119105
clinton	0.461776	-0.274607	0.274607	0.186599	0.770016	0.084995	0.041649	0.198376
nuclear	0.449558	0.013413	-0.013413	0.245414	0.60001	0.430738	0.077263	0.264481
secretary	0.461776	-0.274607	0.274607	0.186599	0.770016	0.084995	0.041649	0.198376
board	0.158907	-0.32585	0.32585	0.128951	0.060317	0.086392	0.511921	0.091078
iran	0.170387	-0.432155	0.432155	0.394627	0.211759	0.200464	0.034332	0.318311
korea	0.196043	-0.107835	0.107835	0.176431	0.109418	0.513607	0.14435	0.340531
congress	0.190137	-0.276558	0.276558	0.113484	0.677662	0.085688	0.036723	0.193445
education	0.158907	-0.32585	0.32585	0.128951	0.060317	0.086392	0.511921	0.091078
social	0.355605	-0.456817	0.456817	0.122844	0.187394	0.238048	0.218738	0.201615
tax	0.409989	0.00957721	-0.00957721	0.109439	0.738234	0.12231	0.039768	0.246737
organization	0.385476	0.298185	-0.298185	0.028192	0.869806	0.017159	0.040475	0.072347
weapons	0.449558	0.013413	-0.013413	0.245414	0.60001	0.430738	0.077263	0.264481
obama	0.232915	-0.399697	0.399697	0.550791	0.526191	0.008613	0.002182	0.13089
management	0.37548	-0.267141	0.267141	0.154321	0.753948	0.106068	0.00299	0.143278
thing	0.336736	-0.00479907	0.00479907	0.113021	0.481461	0.141172	0.497496	0.551568
kind	0.332713	-0.220503	0.220503	0.139726	0.712854	0.050863	0.030404	0.182255
nato	0.165278	-0.689972	0.689972	0.229649	0.662925	0.209377	0.000707	0.107701
governor	0.200935	-0.371759	0.371759	0.360674	0.186145	0.112219	0.113247	0.284855
brown	0.157401	0.0	-0.0	0.161678	0.187021	0.208155	0.056255	0.467307
chicago	0.168668	0.387787	-0.387787	0.06965	0.218144	0.089487	0.213161	0.338766
richard	0.168184	-0.0815554	0.0815554	0.169383	0.403811	0.174773	0.072116	0.270162
foundation	0.208505	0.677324	-0.677324	0.031117	0.86602	0.023413	0.052201	0.042957
mike	0.39607	-0.0640027	0.0640027	0.103775	0.666893	0.130679	0.123596	0.192036
saudi	0.15665	0.0	-0.0	0.17265	0.173782	0.170912	0.136711	0.355962
virginia	0.285001	-0.384675	0.384675	0.195536	0.23441	0.163848	0.099816	0.361817
trust	0.398399	-0.572335	0.572335	0.068407	0.141589	0.065857	0.458346	0.137222
iranian	0.384933	-0.535182	0.535182	0.534784	0.27046	0.161933	0.000327	0.251245
syria	0.161908	0.210542	-0.210542	0.154058	0.454061	0.103674	0.196615	0.099346
mccain	0.227828	-0.154467	0.154467	0.09609	0.754683	0.031769	0.082896	0.070565
background	0.359204	0.31724	-0.31724	0.074935	0.129753	0.161428	0.393969	0.12284
taxes	0.334782	-0.215966	0.215966	0.214279	0.639711	0.422653	0.018109	0.54958
senator	0.218119	-0.292272	0.292272	0.268383	0.342317	0.130116	0.040426	0.360703
marine	0.156665	0.0	-0.0	0.17969	0.075967	0.127529	0.249247	0.282536
bin	0.216275	-0.55055	0.55055	0.09384	0.753165	0.153262	0.048957	0.197264
tech	0.174574	-0.469636	0.469636	0.246254	0.41484	0.183589	0.003381	0.356687
putin	0.320862	0.0270745	-0.0270745	0.132497	0.628212	0.156179	0.523907	0.248513
pentagon	0.15593	0.129929	-0.129929	0.018537	0.029551	0.170813	0.442292	0.176222
arabia	0.15665	0.0	-0.0	0.17265	0.173782	0.170912	0.136711	0.355962
returns	0.409989	0.00957721	-0.00957721	0.109439	0.738234	0.12231	0.039768	0.246737
