Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
and	0.241383	0.0	-0.0	0.075345	0.687998	0.184301	0.051185	0.097483
for	0.214963	0.0	-0.0	0.080523	0.346303	0.036216	0.31796	0.140354
people	0.574312	0.481168	-0.481168	0.177105	0.671519	0.06696	0.04178	0.352271
time	0.462605	0.237763	-0.237763	0.134566	0.571131	0.109295	0.19457	0.499713
world	0.474312	-0.143078	0.143078	0.120108	0.541028	0.10287	0.183867	0.296286
president	0.387447	-0.235545	0.235545	0.150924	0.727371	0.069767	0.060051	0.216601
united	0.460393	-0.249117	0.249117	0.187525	0.686792	0.120302	0.066112	0.230018
states	0.460393	-0.249117	0.249117	0.187525	0.686792	0.120302	0.066112	0.230018
national	0.436472	-0.576363	0.576363	0.339792	0.395406	0.258049	0.003464	0.229209
country	0.458822	-0.0741208	0.0741208	0.135404	0.623022	0.08493	0.056735	0.622472
american	0.574312	0.481168	-0.481168	0.177105	0.671519	0.06696	0.04178	0.352271
police	0.44189	-0.777699	0.777699	0.386278	0.701945	0.089103	8.5e-05	0.0398
way	0.448222	0.261927	-0.261927	0.156471	0.573985	0.124409	0.15074	0.564104
security	0.451762	-0.246902	0.246902	0.079248	0.255317	0.339822	0.111647	0.248417
foreign	0.497235	-0.646755	0.646755	0.192426	0.675475	0.130203	0.008826	0.341452
life	0.447984	-0.0684838	0.0684838	0.094925	0.433866	0.088608	0.564325	0.621221
university	0.168798	0.788564	-0.788564	0.04203	0.118118	0.005367	0.756989	0.006213
iraq	0.209855	-0.582189	0.582189	0.220427	0.683444	0.276603	0.019338	0.200314
law	0.509065	-0.189244	0.189244	0.448813	0.667176	0.125021	0.04193	0.256135
office	0.169271	-0.584012	0.584012	0.121855	0.081625	0.336221	0.104857	0.360446
washington	0.261995	0.24462	-0.24462	0.130228	0.473203	0.127118	0.571312	0.19967
east	0.191947	0.0	-0.0	0.324801	0.097464	0.192924	0.122242	0.29776
union	0.214963	0.0	-0.0	0.080523	0.346303	0.036216	0.31796	0.140354
program	0.479352	-0.522981	0.522981	0.306001	0.684734	0.044452	0.001786	0.160471
campaign	0.447416	-0.0984179	0.0984179	0.364875	0.513588	0.111312	0.000638	0.235736
russia	0.262989	-0.45248	0.45248	0.152233	0.606482	0.541988	0.100328	0.172141
economy	0.444834	-0.421264	0.421264	0.149114	0.446014	0.48342	0.019889	0.61951
clinton	0.882419	-0.511048	0.511048	0.192879	0.790483	0.071712	0.030377	0.22254
america	0.476751	-0.0128506	0.0128506	0.191125	0.655294	0.12059	0.162633	0.235086
administration	0.19437	-0.749886	0.749886	0.173728	0.7396	0.086195	0.003683	0.161096
bill	0.21234	-0.741514	0.741514	0.318058	0.507575	0.06045	0.012128	0.295465
nuclear	0.469704	-0.617541	0.617541	0.342554	0.215964	0.254427	0.046181	0.284283
nation	0.445057	0.141843	-0.141843	0.148426	0.582271	0.085967	0.190509	0.534022
policy	0.497235	-0.646755	0.646755	0.192426	0.675475	0.130203	0.008826	0.341452
iran	0.264759	-0.617324	0.617324	0.253661	0.36281	0.048547	0.055181	0.399238
congress	0.290409	-0.294383	0.294383	0.103549	0.523124	0.185772	0.018433	0.733674
action	0.173175	-0.562312	0.562312	0.238639	0.079568	0.118027	0.003378	0.684051
private	0.472121	-0.501517	0.501517	0.260765	0.551671	0.193473	0.03732	0.242024
tax	0.460238	-0.484221	0.484221	0.091848	0.194848	0.135034	0.015467	0.658217
middle	0.191947	0.0	-0.0	0.324801	0.097464	0.192924	0.122242	0.29776
iraqi	0.489465	-0.361925	0.361925	0.273638	0.270699	0.156764	0.055252	0.366554
border	0.451762	-0.246902	0.246902	0.079248	0.255317	0.339822	0.111647	0.248417
weapons	0.469704	-0.617541	0.617541	0.342554	0.215964	0.254427	0.046181	0.284283
senate	0.193211	0.0	-0.0	0.173117	0.105166	0.1118	0.226998	0.321132
obama	0.337994	-0.575742	0.575742	0.201493	0.693998	0.098256	0.016232	0.589588
vice	0.202427	0.0	-0.0	0.15768	0.572377	0.04883	0.149869	0.092515
