Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.244516	0.047625	-0.047625	0.225545	0.156421	0.169918	0.161082	0.290322
people	0.641021	0.0404893	-0.0404893	0.199373	0.565509	0.09302	0.06687	0.582158
time	0.533424	-0.373523	0.373523	0.088773	0.147574	0.134181	0.194979	0.373737
world	0.487157	-0.137652	0.137652	0.117032	0.464049	0.092168	0.612887	0.600994
president	0.486761	-0.431742	0.431742	0.245767	0.584945	0.122855	0.054885	0.491796
united	0.317015	-0.426395	0.426395	0.319998	0.37564	0.108414	0.031342	0.327692
states	0.317015	-0.426395	0.426395	0.319998	0.37564	0.108414	0.031342	0.327692
city	0.244516	0.047625	-0.047625	0.225545	0.156421	0.169918	0.161082	0.290322
country	0.810105	-0.0762521	0.0762521	0.112492	0.513703	0.110201	0.075066	0.694208
china	0.453768	0.321193	-0.321193	0.103283	0.543553	0.060743	0.452289	0.514689
police	0.250502	0.422695	-0.422695	0.032833	0.240203	0.020476	0.529494	0.063113
house	0.252709	0.287177	-0.287177	0.162674	0.118394	0.123694	0.346281	0.152183
long	0.533424	-0.373523	0.373523	0.088773	0.147574	0.134181	0.194979	0.373737
way	0.504741	0.141077	-0.141077	0.149812	0.480121	0.102469	0.30477	0.231909
north	0.278404	-0.277895	0.277895	0.1837	0.388774	0.15348	0.099192	0.255662
york	0.244516	0.047625	-0.047625	0.225545	0.156421	0.169918	0.161082	0.290322
good	0.445064	-0.0985934	0.0985934	0.049283	0.037863	0.085241	0.433363	0.230036
iraq	0.286676	-0.643436	0.643436	0.259432	0.637089	0.201209	0.011849	0.093485
times	0.463889	0.36228	-0.36228	0.125395	0.106864	0.094698	0.401714	0.157154
countries	0.471085	-0.400186	0.400186	0.440535	0.546636	0.083324	0.034979	0.687422
business	0.445357	-0.135044	0.135044	0.179133	0.135659	0.113024	0.479315	0.492777
white	0.252709	0.287177	-0.287177	0.162674	0.118394	0.123694	0.346281	0.152183
money	0.499104	-0.0693968	0.0693968	0.164773	0.51496	0.160774	0.05612	0.569691
trade	0.530594	-0.144888	0.144888	0.375313	0.054941	0.139381	0.094617	0.514839
east	0.412935	-0.369017	0.369017	0.261005	0.104796	0.21485	0.146176	0.290491
little	0.467484	-0.550545	0.550545	0.185808	0.366213	0.210533	0.005018	0.418615
companies	0.50678	-0.0393462	0.0393462	0.442461	0.174389	0.123456	0.505827	0.274775
great	0.456263	0.765328	-0.765328	0.379461	0.03958	0.148516	0.17065	0.236787
campaign	0.452747	0.0	-0.0	0.025149	0.383519	0.044899	0.069317	0.516824
russia	0.335674	0.0	-0.0	0.215743	0.191349	0.182598	0.116675	0.335629
deal	0.490365	-0.008762	0.008762	0.163469	0.065093	0.076297	0.422614	0.161441
clinton	0.776225	-0.341676	0.341676	0.228264	0.503721	0.090615	0.060796	0.557184
america	0.268642	0.0	-0.0	0.180376	0.142767	0.171361	0.169272	0.312061
order	0.250502	0.422695	-0.422695	0.032833	0.240203	0.020476	0.529494	0.063113
administration	0.245232	-0.335323	0.335323	0.237011	0.311787	0.129121	0.060001	0.375912
secretary	0.776225	-0.341676	0.341676	0.228264	0.503721	0.090615	0.060796	0.557184
