Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.676617	0.40687	-0.40687	0.155509	0.012856	0.458484	0.116962	0.24634
percent	0.350286	0.0	-0.0	0	0	0	0	0
government	0.476624	-0.278525	0.278525	0.309395	0.571404	0.121513	0.007498	0.199818
time	0.663599	-0.0553098	0.0553098	0.166121	0.137517	0.123405	0.161098	0.602511
years	0.350286	0.0	-0.0	0	0	0	0	0
world	0.701963	0.236263	-0.236263	0.102598	0.327584	0.093166	0.220719	0.216129
president	0.925006	0.390259	-0.390259	0.170701	0.539683	0.097398	0.173999	0.290344
united	0.463168	0.0	-0.0	0.177993	0.185654	0.144187	0.129296	0.375195
states	0.463168	0.0	-0.0	0.177993	0.185654	0.144187	0.129296	0.375195
four	0.350286	0.0	-0.0	0	0	0	0	0
war	0.708024	0.0	-0.0	0.170887	0.641877	0.150119	0.00282	0.222238
american	0.476624	-0.278525	0.278525	0.309395	0.571404	0.121513	0.007498	0.199818
high	0.861417	0.309737	-0.309737	0.262885	0.184342	0.135397	0.160141	0.26643
billion	0.350286	0.0	-0.0	0	0	0	0	0
public	0.708489	0.500824	-0.500824	0.06148	0.254058	0.013829	0.53608	0.034387
foreign	0.468985	0.0	-0.0	0.277132	0.380452	0.255442	0.013961	0.269039
good	0.610756	0.401821	-0.401821	0.06055	0.06506	0.05542	0.55859	0.12184
dollars	0.350286	0.0	-0.0	0	0	0	0	0
iraq	0.856923	-0.504493	0.504493	0.30755	0.365618	0.253204	0.000322	0.296579
service	0.708489	0.500824	-0.500824	0.06148	0.254058	0.013829	0.53608	0.034387
bush	0.383384	-0.453263	0.453263	0.103104	0.643619	0.166278	0.014429	0.222842
history	0.6745	-0.505054	0.505054	0.097153	0.599034	0.142701	0.000704	0.333073
east	0.627153	0.350736	-0.350736	0.255889	0.038302	0.510084	0.009289	0.322743
leader	0.701963	0.236263	-0.236263	0.102598	0.327584	0.093166	0.220719	0.216129
peace	0.611478	-0.31597	0.31597	0.038379	0.139359	0.081548	0.527247	0.08764
russia	0.472071	-0.203774	0.203774	0.30624	0.223214	0.171665	0.144112	0.204338
deal	0.763148	-0.0315198	0.0315198	0.38887	0.216732	0.071476	0.192005	0.149663
committee	0.468985	0.0	-0.0	0.277132	0.380452	0.255442	0.013961	0.269039
decision	0.668766	-0.505054	0.505054	0.097153	0.599034	0.142701	0.000704	0.333073
america	0.365611	-0.60982	0.60982	0.10718	0.323215	0.614884	0.009895	0.114065
change	0.751712	-0.51335	0.51335	0.150284	0.061393	0.250331	0.013742	0.621616
policy	0.682272	0.492067	-0.492067	0.237678	0.450788	0.097723	0.025587	0.348304
vote	0.696046	0.0	-0.0	0.182199	0.683432	0.154013	0.010939	0.14572
iran	0.52847	-0.203774	0.203774	0.262772	0.193971	0.162528	0.161837	0.242963
island	0.815367	-0.400695	0.400695	0.177085	0.407714	0.13311	0.002512	0.461259
congress	0.389786	0.0	-0.0	0.084178	0.268748	0.136757	0.020227	0.598398
tax	0.66789	-0.453263	0.453263	0.103104	0.643619	0.166278	0.014429	0.222842
middle	0.627153	0.350736	-0.350736	0.255889	0.038302	0.510084	0.009289	0.322743
republican	0.68225	-0.363587	0.363587	0.211404	0.674285	0.040705	0.074769	0.087474
act	0.764019	0.0	-0.0	0.317319	0.234084	0.077153	0.019164	0.504848
senate	0.576395	0.0	-0.0	0.398084	0.073724	0.086459	0.116322	0.345905
obama	0.393207	0.487276	-0.487276	0.301309	0.257712	0.060132	0.176163	0.223327
civil	0.610446	0.355547	-0.355547	0.103841	0.084738	0.102934	0.400321	0.183445
relations	0.468985	0.0	-0.0	0.277132	0.380452	0.255442	0.013961	0.269039
ground	0.688913	-0.442116	0.442116	0.11814	0.273416	0.329661	0.033966	0.366604
americans	0.619599	0.410389	-0.410389	0.110683	0.474505	0.114786	0.100143	0.652868
common	0.688913	-0.442116	0.442116	0.11814	0.273416	0.329661	0.033966	0.366604
income	0.80578	-0.284498	0.284498	0.152474	0.359523	0.473803	0.005969	0.200441
labor	0.611478	-0.31597	0.31597	0.038379	0.139359	0.081548	0.527247	0.08764
safety	0.830582	-0.295325	0.295325	0.282133	0.307049	0.256417	0.009392	0.340203
measures	0.682133	0.0	-0.0	0.225154	0.264449	0.254121	0.011381	0.417863
mass	0.798831	-0.540306	0.540306	0.285674	0.429897	0.249942	0.002488	0.254975
votes	0.609881	0.0	-0.0	0.126913	0.703196	0.108976	0.01548	0.186762
vietnam	0.412537	0.0	-0.0	0.092537	0.090743	0.103959	0.227184	0.384347
worst	0.668766	-0.505054	0.505054	0.097153	0.599034	0.142701	0.000704	0.333073
critical	0.611068	0.0	-0.0	0.084828	0.115297	0.193639	0.134271	0.440857
saddam	0.583068	-0.540306	0.540306	0.303511	0.3666	0.203083	0.042378	0.24576
environmental	0.609472	0.0	-0.0	0.395539	0.193329	0.057096	0.076952	0.353935
cuts	0.66789	-0.453263	0.453263	0.103104	0.643619	0.166278	0.014429	0.222842
legislation	0.679604	-0.295325	0.295325	0.157287	0.383704	0.238558	0.032409	0.335427
standards	0.861417	0.309737	-0.309737	0.262885	0.184342	0.135397	0.160141	0.26643
climate	0.751712	-0.51335	0.51335	0.150284	0.061393	0.250331	0.013742	0.621616
gun	0.830582	-0.295325	0.295325	0.282133	0.307049	0.256417	0.009392	0.340203
syria	0.517358	-0.452384	0.452384	0.162425	0.128846	0.491431	0.008401	0.352569
liberal	0.68225	-0.363587	0.363587	0.211404	0.674285	0.040705	0.074769	0.087474
senator	0.66471	0.0	-0.0	0.144805	0.279041	0.134832	0.024445	0.53876
hussein	0.583068	-0.540306	0.540306	0.303511	0.3666	0.203083	0.042378	0.24576
colorado	0.434975	0.0	-0.0	0.157332	0.160905	0.070519	0.258596	0.275347
moves	0.61322	-0.308299	0.308299	0.258006	0.401805	0.253781	0.009552	0.281107
democrat	0.616088	0.647771	-0.647771	0.122918	0.129321	0.016497	0.529471	0.088659
invasion	0.608374	-0.344764	0.344764	0.202021	0.42128	0.370719	0.030373	0.148155
destruction	0.798831	-0.540306	0.540306	0.285674	0.429897	0.249942	0.002488	0.254975
coal	0.734375	-0.470712	0.470712	0.148132	0.038799	0.20644	0.140757	0.424319
moderate	0.68225	-0.363587	0.363587	0.211404	0.674285	0.040705	0.074769	0.087474
anderson	0.641973	0.407872	-0.407872	0.032421	0.004118	0.002286	0.914031	0.012277
proud	0.616088	0.647771	-0.647771	0.122918	0.129321	0.016497	0.529471	0.088659
wayne	0.442883	0.0	-0.0	0.179343	0.141191	0.173935	0.166449	0.315174
cnn	0.559232	0.262387	-0.262387	0.074668	0.366213	0.525061	0.027654	0.152949
judgment	0.610756	0.401821	-0.401821	0.06055	0.06506	0.05542	0.55859	0.12184
nevada	0.484417	-0.399856	0.399856	0.101831	0.117198	0.154342	0.041562	0.64392
credibility	0.679854	-0.352691	0.352691	0.365415	0.36451	0.04159	0.028914	0.36362
lobby	0.734375	-0.470712	0.470712	0.148132	0.038799	0.20644	0.140757	0.424319
assad	0.365586	-0.579801	0.579801	0.15012	0.13913	0.386464	0.074671	0.314658
sanders	0.582498	-0.41252	0.41252	0.077455	0.651359	0.138045	0.001692	0.29224
rhode	0.815367	-0.400695	0.400695	0.177085	0.407714	0.13311	0.002512	0.461259
0.6	0.350286	0.0	-0.0	0	0	0	0	0
liberties	0.610446	0.355547	-0.355547	0.103841	0.084738	0.102934	0.400321	0.183445
webb	0.562589	0.0	-0.0	0.208991	0.13809	0.109821	0.270489	0.212969
facebook	0.559811	0.639253	-0.639253	0.120219	0.118834	0.024332	0.588563	0.045822
ethical	0.861417	0.309737	-0.309737	0.262885	0.184342	0.135397	0.160141	0.26643
subcommittee	0.486159	0.0	-0.0	0.277132	0.380452	0.255442	0.013961	0.269039
patriot	0.764019	0.0	-0.0	0.317319	0.234084	0.077153	0.019164	0.504848
courageous	0.609881	0.0	-0.0	0.126913	0.703196	0.108976	0.01548	0.186762
inequality	0.80578	-0.284498	0.284498	0.152474	0.359523	0.473803	0.005969	0.200441
arming	0.66864	-0.233093	0.233093	0.186405	0.288859	0.026976	0.008424	0.631141
nra	0.416929	0.0	-0.0	0.179343	0.141191	0.173935	0.166449	0.315174
paradigm	0.676617	0.40687	-0.40687	0.155509	0.012856	0.458484	0.116962	0.24634
stewardship	0.609472	0.0	-0.0	0.395539	0.193329	0.057096	0.076952	0.353935
chops	0.682272	0.492067	-0.492067	0.237678	0.450788	0.097723	0.025587	0.348304
chafee	0.395938	-0.575418	0.575418	0.231868	0.018423	0.26172	0.164135	0.287938
snowden	0.373096	-0.258844	0.258844	0.296013	0.536447	0.104087	0.014081	0.245028
lapierre	0.442883	0.0	-0.0	0.179343	0.141191	0.173935	0.166449	0.315174
commonsense	0.830582	-0.295325	0.295325	0.282133	0.307049	0.256417	0.009392	0.340203
bush-cheney	0.614107	0.0	-0.0	0.126913	0.703196	0.108976	0.01548	0.186762
