Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.405738	-0.0674612	0.0674612	0.191807	0.217391	0.209113	0.543571	0.125993
people	0.911737	0.128283	-0.128283	0.178226	0.521637	0.118093	0.103081	0.526332
government	0.602359	0.0568481	-0.0568481	0.123449	0.700277	0.156825	0.002817	0.184497
time	0.619459	0.0323117	-0.0323117	0.178966	0.172528	0.108328	0.191496	0.529564
world	0.590823	-0.00203624	0.00203624	0.131335	0.164522	0.107894	0.193635	0.572433
president	0.913346	-0.0394162	0.0394162	0.206805	0.578175	0.086469	0.113213	0.481401
state	0.370911	-0.243144	0.243144	0.206645	0.167521	0.186635	0.013581	0.561655
united	0.580987	-0.372663	0.372663	0.496487	0.253784	0.153835	0.060752	0.37045
states	0.580987	-0.372663	0.372663	0.496487	0.253784	0.153835	0.060752	0.37045
city	0.405738	-0.0674612	0.0674612	0.191807	0.217391	0.209113	0.543571	0.125993
national	0.319827	0.251765	-0.251765	0.338492	0.436286	0.056096	0.0252	0.316118
country	0.662716	0.0332358	-0.0332358	0.12053	0.552037	0.115672	0.462195	0.589883
company	0.62178	0.0	-0.0	0.109568	0.161297	0.202908	0.213081	0.261038
china	0.313044	-0.179665	0.179665	0.078353	0.255044	0.040778	0.320743	0.206502
american	0.697247	0.14863	-0.14863	0.195527	0.291009	0.069673	0.491357	0.544438
school	0.569568	0.213746	-0.213746	0.185262	0.097246	0.300196	0.053454	0.439342
house	0.34368	0.0	-0.0	0.321984	0.197732	0.142966	0.061976	0.379082
security	0.630217	0.293161	-0.293161	0.079131	0.209676	0.207054	0.020894	0.587146
york	0.405738	-0.0674612	0.0674612	0.191807	0.217391	0.209113	0.543571	0.125993
good	0.573644	0.360067	-0.360067	0.055924	0.044632	0.058771	0.606861	0.100688
bank	0.597067	0.292758	-0.292758	0.163759	0.029721	0.245634	0.070298	0.511657
iraq	0.43656	-0.487857	0.487857	0.182768	0.591247	0.566686	0.011642	0.488363
economic	0.570848	-0.372734	0.372734	0.272294	0.073824	0.148384	0.081191	0.466411
law	0.569568	0.213746	-0.213746	0.185262	0.097246	0.300196	0.053454	0.439342
bush	0.59825	-0.496379	0.496379	0.185545	0.472721	0.174513	0.01577	0.327674
john	0.384884	0.488196	-0.488196	0.183023	0.273608	0.075485	0.323826	0.080458
washington	0.398628	-0.191512	0.191512	0.261321	0.295937	0.097347	0.065932	0.384076
white	0.34368	0.0	-0.0	0.321984	0.197732	0.142966	0.061976	0.379082
east	0.302919	-0.530855	0.530855	0.174718	0.307191	0.141309	0.007504	0.531829
small	0.569547	0.646735	-0.646735	0.094467	0.104996	0.007664	0.290821	0.372175
department	0.370911	-0.243144	0.243144	0.206645	0.167521	0.186635	0.013581	0.561655
health	0.737366	0.37006	-0.37006	0.155691	0.12949	0.087882	0.480198	0.290175
big	0.666747	-0.473534	0.473534	0.118982	0.136968	0.297783	0.06025	0.646817
program	0.628617	0.612991	-0.612991	0.054659	0.039539	0.05333	0.63492	0.093748
point	0.570848	-0.372734	0.372734	0.272294	0.073824	0.148384	0.081191	0.466411
plan	0.60806	-0.0591675	0.0591675	0.262929	0.157256	0.455189	0.105066	0.51945
russia	0.332872	-0.363099	0.363099	0.529594	0.317232	0.147327	0.003788	0.222478
deal	0.576928	0.299824	-0.299824	0.189556	0.011069	0.287178	0.136636	0.34711
clinton	0.358629	-0.564153	0.564153	0.155475	0.628585	0.034593	0.014017	0.313793
committee	0.319827	0.251765	-0.251765	0.338492	0.436286	0.056096	0.0252	0.316118
america	0.546085	0.034724	-0.034724	0.178676	0.491268	0.125976	0.483116	0.582988
defense	0.301695	0.0	-0.0	0.184706	0.684688	0.071347	0.067073	0.087555
street	0.752341	0.142104	-0.142104	0.268432	0.190198	0.556592	0.053407	0.241367
change	0.654799	-0.387821	0.387821	0.263592	0.047574	0.096844	0.310037	0.187638
europe	0.357377	-0.569106	0.569106	0.176198	0.069568	0.441539	0.001673	0.449785
iran	0.316593	-0.496291	0.496291	0.23253	0.248209	0.215673	0.015853	0.451098
single	0.57229	-0.595042	0.595042	0.074457	0.378851	0.110677	0.001934	0.583198
congress	0.328965	-0.434671	0.434671	0.238358	0.488639	0.09535	0.002256	0.372747
issues	0.574602	-0.0102769	0.0102769	0.338356	0.195832	0.071171	0.052188	0.668982
george	0.59825	-0.496379	0.496379	0.185545	0.472721	0.174513	0.01577	0.327674
