Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.552061	0.357517	-0.357517	0.023685	0.025655	0.615344	0.627837	0.090545
people	0.739749	0.0110869	-0.0110869	0.197431	0.548786	0.098469	0.107926	0.554903
percent	0.421525	0.0396383	-0.0396383	0.111893	0.150054	0.144099	0.516926	0.549508
government	0.342611	0.285107	-0.285107	0.0	0.0	0.0	0.0	0.0
world	0.422057	-0.175234	0.175234	0.450687	0.617637	0.128137	0.50081	0.466086
president	0.798102	-0.109883	0.109883	0.212633	0.524293	0.121573	0.155304	0.205686
state	0.384936	-0.611199	0.611199	0.139933	0.158244	0.263704	0.003999	0.573845
united	0.552278	0.0	-0.0	0.245573	0.479816	0.287973	0.031963	0.138999
states	0.552278	0.0	-0.0	0.245573	0.479816	0.287973	0.031963	0.138999
country	0.623088	0.116455	-0.116455	0.109543	0.567545	0.102743	0.107676	0.628813
war	0.40247	-0.48043	0.48043	0.228804	0.17469	0.272634	0.000157	0.496598
american	0.446415	-0.474463	0.474463	0.075527	0.681079	0.05156	0.007763	0.317274
party	0.312146	0.0	-0.0	0.125147	0.535747	0.036653	0.127976	0.206554
way	0.432681	0.0711229	-0.0711229	0.157581	0.502503	0.148027	0.208171	0.503526
iraq	0.51769	-0.550873	0.550873	0.169462	0.68138	0.552247	0.017334	0.177702
john	0.625053	-0.23992	0.23992	0.180103	0.174861	0.108451	0.347348	0.108918
federal	0.342611	0.285107	-0.285107	0.0	0.0	0.0	0.0	0.0
big	0.480959	-0.437357	0.437357	0.141729	0.508973	0.537821	0.041226	0.61587
program	0.402063	0.249885	-0.249885	0.215491	0.082463	0.195607	0.33687	0.08601
development	0.385318	-0.106182	0.106182	0.260422	0.183423	0.138072	1.7e-05	0.584351
russia	0.301339	0.0	-0.0	0.194469	0.082424	0.286631	0.030544	0.507274
economy	0.46346	-0.0406906	0.0406906	0.25029	0.52138	0.235768	0.027458	0.149163
better	0.396374	-0.326242	0.326242	0.206809	0.172809	0.437069	0.031225	0.287965
clinton	0.85194	-0.18745	0.18745	0.174616	0.579497	0.080717	0.063142	0.37975
main	0.46346	-0.0406906	0.0406906	0.25029	0.52138	0.235768	0.027458	0.149163
america	0.842907	0.236167	-0.236167	0.17275	0.605318	0.116103	0.156441	0.22688
human	0.514241	0.268557	-0.268557	0.156293	0.611751	0.073878	0.080135	0.358733
street	0.747355	-0.0531801	0.0531801	0.230516	0.527927	0.554778	0.022166	0.279369
secretary	0.85194	-0.18745	0.18745	0.174616	0.579497	0.080717	0.063142	0.37975
college	0.412721	0.216555	-0.216555	0.119578	0.291602	0.232888	0.092502	0.315877
nation	0.521167	0.0513746	-0.0513746	0.430063	0.506944	0.158646	0.128036	0.542441
iran	0.346453	-0.436015	0.436015	0.153717	0.182145	0.497218	0.044269	0.236716
democratic	0.312146	0.0	-0.0	0.125147	0.535747	0.036653	0.127976	0.206554
congress	0.332339	-0.698063	0.698063	0.360153	0.280015	0.104123	0.004704	0.442315
executive	0.319187	-0.37931	0.37931	0.075627	0.103283	0.178296	0.101029	0.524441
energy	0.402721	0.700992	-0.700992	0.021015	0.026338	0.025277	0.729899	0.084649
things	0.460435	-0.0619149	0.0619149	0.151667	0.507886	0.160045	0.508151	0.260501
job	0.396374	-0.326242	0.326242	0.206809	0.172809	0.437069	0.031225	0.287965
david	0.391031	0.0	-0.0	0.060529	0.272996	0.148841	0.249834	0.199248
middle	0.431636	0.0899007	-0.0899007	0.102542	0.066772	0.017953	0.489873	0.180872
living	0.393762	0.0	-0.0	0.04656	0.745723	0.044527	0.074538	0.11945
obama	0.47895	0.0476891	-0.0476891	0.241437	0.555108	0.041194	0.070492	0.203061
afghanistan	0.333192	-0.252752	0.252752	0.253088	0.184231	0.558927	0.001534	0.192648
class	0.431636	0.0899007	-0.0899007	0.102542	0.066772	0.017953	0.489873	0.180872
stage	0.393758	0.0767899	-0.0767899	0.169334	0.190898	0.098434	0.206156	0.51685
families	0.393041	0.478807	-0.478807	0.035116	0.822238	0.039892	0.070366	0.050836
paul	0.310769	-0.754108	0.754108	0.151916	0.143713	0.130612	0.079622	0.525124
lives	0.400293	0.137377	-0.137377	0.08222	0.09698	0.112274	0.550055	0.618724
banks	0.480959	-0.437357	0.437357	0.141729	0.508973	0.537821	0.041226	0.61587
wall	0.747355	-0.0531801	0.0531801	0.230516	0.527927	0.554778	0.022166	0.279369
income	0.44373	0.0	-0.0	0.083977	0.799497	0.121951	0.019695	0.086588
safety	0.74067	0.126749	-0.126749	0.201871	0.672246	0.199917	0.048117	0.208818
muslim	0.404702	-0.659336	0.659336	0.268159	0.4352	0.107791	0.000405	0.393712
intelligence	0.514241	0.268557	-0.268557	0.156293	0.611751	0.073878	0.080135	0.358733
highest	0.44373	0.0	-0.0	0.083977	0.799497	0.121951	0.019695	0.086588
reform	0.451809	-0.36868	0.36868	0.160717	0.543042	0.050842	0.057131	0.291343
—	0.344891	0.252851	-0.252851	0.085651	0.099323	0.09164	0.354594	0.236843
leadership	0.552061	0.357517	-0.357517	0.023685	0.025655	0.615344	0.627837	0.090545
martin	0.335792	0.0	-0.0	0.125693	0.231577	0.084471	0.214694	0.293811
actually	0.396034	0.741232	-0.741232	0.185844	0.144035	0.056472	0.354211	0.160433
legislation	0.691244	0.0811732	-0.0811732	0.211086	0.684109	0.179729	0.053188	0.206143
cold	0.40247	-0.48043	0.48043	0.228804	0.17469	0.272634	0.000157	0.496598
safe	0.384269	-0.0478179	0.0478179	0.216399	0.271254	0.140339	0.248445	0.097949
block	0.402063	0.249885	-0.249885	0.215491	0.082463	0.195607	0.33687	0.08601
crash	0.431501	-0.486068	0.486068	0.105302	0.204522	0.307903	0.001401	0.530062
gun	0.74067	0.126749	-0.126749	0.201871	0.672246	0.199917	0.048117	0.208818
syria	0.47512	-0.55524	0.55524	0.159545	0.148085	0.643597	0.065195	0.255951
combat	0.386651	-0.419046	0.419046	0.305429	0.674881	0.179385	0.003161	0.051302
senator	0.451171	-0.287831	0.287831	0.176003	0.137799	0.164701	0.156182	0.559661
immigration	0.451809	-0.36868	0.36868	0.160717	0.543042	0.050842	0.057131	0.291343
grant	0.402063	0.249885	-0.249885	0.215491	0.082463	0.195607	0.33687	0.08601
electric	0.451509	0.558416	-0.558416	0.079913	0.11546	0.023324	0.43348	0.214548
clean	0.451509	0.558416	-0.558416	0.079913	0.11546	0.023324	0.43348	0.214548
immigrants	0.446415	-0.474463	0.474463	0.075527	0.681079	0.05156	0.007763	0.317274
assault	0.349514	-0.233909	0.233909	0.0	0.0	0.0	0.0	0.0
principal	0.341132	0.0	-0.0	0.134981	0.128565	0.170663	0.149438	0.388123
median	0.44373	0.0	-0.0	0.083977	0.799497	0.121951	0.019695	0.086588
carlos	0.345376	0.0	-0.0	0.165241	0.148542	0.153437	0.224107	0.254368
juan	0.345376	0.0	-0.0	0.165241	0.148542	0.153437	0.224107	0.254368
anderson	0.612929	0.275499	-0.275499	0.170852	0.132864	0.169519	0.17763	0.315218
iowa	0.391534	0.0	-0.0	0.079009	0.180573	0.240553	0.080977	0.454169
minimum	0.434127	0.0	-0.0	0.089235	0.655619	0.121845	0.077699	0.118751
las	0.299645	0.463402	-0.463402	0.079519	0.163814	0.117738	0.262009	0.28341
neighbors	0.404702	-0.659336	0.659336	0.268159	0.4352	0.107791	0.000405	0.393712
maryland	0.461404	-0.276663	0.276663	0.166062	0.166996	0.542067	0.125328	0.534209
baltimore	0.416764	-0.46612	0.46612	0.12923	0.139055	0.136217	0.078727	0.79347
comprehensive	0.74067	0.126749	-0.126749	0.201871	0.672246	0.199917	0.048117	0.208818
gray	0.300804	-0.905586	0.905586	0.0	0.0	0.0	0.0	0.0
donald	0.421595	-0.0939603	0.0939603	0.058333	0.81585	0.045382	0.040076	0.098328
weapon	0.383941	0.0	-0.0	0.218041	0.62231	0.169642	0.036365	0.104208
adams	0.625053	-0.23992	0.23992	0.180103	0.174861	0.108451	0.347348	0.108918
wage	0.434127	0.0	-0.0	0.089235	0.655619	0.121845	0.077699	0.118751
vegas	0.299645	0.463402	-0.463402	0.079519	0.163814	0.117738	0.262009	0.28341
libya	0.336991	-0.577431	0.577431	0.21062	0.587691	0.042554	0.001845	0.342371
reagan	0.298111	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
liberty	0.353502	0.0	-0.0	0.090839	0.693573	0.047406	0.068387	0.161553
ronald	0.298111	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
sustainable	0.385318	-0.106182	0.106182	0.260422	0.183423	0.138072	1.7e-05	0.584351
