Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.46284	0.363302	-0.363302	0.06254	0.039819	0.097402	0.642549	0.043191
people	0.792815	-0.0700855	0.0700855	0.212108	0.55603	0.119399	0.096586	0.535717
percent	0.50031	-0.289262	0.289262	0.169534	0.483647	0.158814	0.166672	0.290215
president	0.60457	-0.514137	0.514137	0.204558	0.551853	0.233506	0.060159	0.316464
united	0.645858	-0.309094	0.309094	0.164676	0.508793	0.161376	0.045097	0.562906
states	0.645858	-0.309094	0.309094	0.164676	0.508793	0.161376	0.045097	0.562906
country	0.72702	-0.119166	0.119166	0.165206	0.545017	0.096042	0.091283	0.653501
american	0.594901	-0.191851	0.191851	0.194815	0.551718	0.088426	0.060087	0.602361
high	0.460863	-0.341956	0.341956	0.030017	0.274657	0.099389	0.219736	0.308979
school	0.460863	-0.341956	0.341956	0.030017	0.274657	0.099389	0.219736	0.308979
house	0.321387	-0.368878	0.368878	0.304285	0.350032	0.07468	0.101212	0.249434
way	0.471534	-0.0943701	0.0943701	0.176603	0.430172	0.146624	0.214318	0.245645
security	0.479123	-0.0144889	0.0144889	0.324056	0.538754	0.051723	0.003005	0.289846
public	0.470227	0.0	-0.0	0.145903	0.291582	0.080318	0.200509	0.265271
court	0.32565	-0.469003	0.469003	0.413631	0.211961	0.298203	0.004688	0.277094
foreign	0.462394	-0.75219	0.75219	0.16008	0.562864	0.089626	0.000104	0.371049
political	0.531373	0.323359	-0.323359	0.205963	0.187844	0.095604	0.025783	0.762815
major	0.59667	-0.157748	0.157748	0.197383	0.172307	0.106919	0.047882	0.753636
iraq	0.486919	-0.506298	0.506298	0.50537	0.586669	0.07536	0.000508	0.065246
right	0.456065	0.396161	-0.396161	0.098404	0.127036	0.083062	0.286483	0.300848
law	0.313068	-0.444547	0.444547	0.285113	0.286175	0.285447	0.006714	0.336288
bush	0.366785	-0.460762	0.460762	0.097515	0.679258	0.313199	0.004067	0.082426
john	0.480259	0.0	-0.0	0.178766	0.129171	0.178369	0.161964	0.328545
washington	0.389715	0.496878	-0.496878	0.174106	0.477254	0.039674	0.174167	0.148234
white	0.321387	-0.368878	0.368878	0.304285	0.350032	0.07468	0.101212	0.249434
history	0.453308	-0.065435	0.065435	0.058634	0.52874	0.025813	0.112543	0.296427
money	0.470714	-0.0488183	0.0488183	0.166688	0.606383	0.147511	0.095466	0.284361
center	0.313068	-0.444547	0.444547	0.285113	0.286175	0.285447	0.006714	0.336288
companies	0.460272	-0.436238	0.436238	0.134466	0.360415	0.077858	0.002679	0.581931
union	0.315905	0.281126	-0.281126	0.213027	0.123369	0.18983	0.156127	0.309011
health	0.632566	-0.153319	0.153319	0.117982	0.440169	0.057119	0.543871	0.608176
recent	0.453308	-0.065435	0.065435	0.058634	0.52874	0.025813	0.112543	0.296427
campaign	0.55157	-0.565788	0.565788	0.140416	0.698947	0.105216	0.006634	0.519786
economy	0.461392	-0.382732	0.382732	0.162773	0.120827	0.576192	0.020835	0.629787
clinton	0.790649	-0.526475	0.526475	0.199026	0.616519	0.085897	0.048098	0.393394
america	0.764804	-0.250363	0.250363	0.235862	0.478216	0.126901	0.064352	0.56892
industry	0.456487	0.823627	-0.823627	0.193269	0.429375	0.142134	0.013241	0.39541
young	0.511032	-0.126849	0.126849	0.187919	0.574823	0.153963	0.111434	0.259382
southern	0.313068	-0.444547	0.444547	0.285113	0.286175	0.285447	0.006714	0.336288
street	0.948563	-0.0951365	0.0951365	0.274182	0.512724	0.291038	0.022315	0.2838
issue	0.490753	0.222104	-0.222104	0.638902	0.085881	0.055129	0.046704	0.661067
secretary	0.82208	-0.117078	0.117078	0.187801	0.169746	0.162748	0.140112	0.562631
working	0.462618	-0.249558	0.249558	0.134817	0.637597	0.149468	0.138861	0.211527
