Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.663012	-0.0172963	0.0172963	0.203764	0.577653	0.122794	0.070144	0.585825
government	0.397268	0.729602	-0.729602	0.091721	0.056633	0.126632	0.460933	0.128324
time	0.514598	0.165554	-0.165554	0.144218	0.432115	0.45435	0.203568	0.484279
world	0.480358	0.0	-0.0	0.193376	0.186491	0.017895	0.166698	0.402315
president	0.678251	-0.558897	0.558897	0.223687	0.164626	0.200782	0.157921	0.262287
united	0.401286	-0.619517	0.619517	0.100407	0.12286	0.605337	0.073794	0.149188
states	0.401286	-0.619517	0.619517	0.100407	0.12286	0.605337	0.073794	0.149188
national	0.517794	0.0	-0.0	0.14715	0.136998	0.151344	0.004358	0.683231
country	0.562204	-0.00418645	0.00418645	0.121956	0.529813	0.144849	0.091193	0.622785
china	0.71464	-0.328846	0.328846	0.408518	0.07459	0.18433	0.101743	0.277955
war	0.518168	-0.587245	0.587245	0.150029	0.705306	0.143333	0.004225	0.168999
south	0.447673	0.0	-0.0	0.129677	0.598884	0.057952	0.225674	0.231992
american	0.411739	0.0	-0.0	0.156285	0.252172	0.072529	0.408461	0.03168
school	0.555294	0.0	-0.0	0.143995	0.135265	0.168386	0.270792	0.207146
party	0.556652	0.388005	-0.388005	0.20801	0.162631	0.240308	0.04764	0.439292
way	0.561396	-0.459432	0.459432	0.188791	0.60502	0.14303	0.174876	0.288643
political	0.529339	-0.584873	0.584873	0.224682	0.632184	0.029207	0.001018	0.295548
family	0.504076	0.0	-0.0	0.119211	0.123589	0.047871	0.283678	0.315379
good	0.524051	-0.0273286	0.0273286	0.096182	0.051962	0.277267	0.066398	0.523418
bank	0.502628	-0.399392	0.399392	0.217928	0.133406	0.081314	0.003947	0.693414
iraq	0.690902	-0.358739	0.358739	0.23174	0.24588	0.445688	0.017377	0.235591
law	0.555294	0.0	-0.0	0.143995	0.135265	0.168386	0.270792	0.207146
power	0.500495	0.729602	-0.729602	0.091721	0.056633	0.126632	0.460933	0.128324
money	0.513612	0.0	-0.0	0.187495	0.408306	0.213076	0.005967	0.375185
israel	0.391574	0.557205	-0.557205	0.143359	0.217154	0.060164	0.274778	0.232601
east	0.446796	0.366145	-0.366145	0.031133	0.016707	0.111619	0.42798	0.240998
chinese	0.397268	0.729602	-0.729602	0.091721	0.056633	0.126632	0.460933	0.128324
financial	0.569683	0.479584	-0.479584	0.074237	0.111604	0.059475	0.352941	0.269411
russia	0.418935	0.266284	-0.266284	0.1696	0.131175	0.172762	0.179264	0.312073
information	0.502935	-0.388827	0.388827	0.233331	0.186153	0.042844	0.001187	0.679392
