Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.656236	-0.00257707	0.00257707	0.172357	0.490869	0.132947	0.111569	0.582067
percent	0.304069	-0.416933	0.416933	0.115077	0.231056	0.063271	0.058626	0.580801
government	0.37893	-0.195524	0.195524	0.349179	0.277796	0.106366	0.0597	0.339809
time	0.200401	0.109437	-0.109437	0.159674	0.599889	0.577122	0.539086	0.482635
world	0.388198	0.0847942	-0.0847942	0.11959	0.141888	0.139888	0.239255	0.524235
president	0.888771	-0.379949	0.379949	0.104746	0.603728	0.217578	0.026573	0.196594
united	0.520444	-0.480328	0.480328	0.178301	0.730201	0.067901	0.049085	0.205309
states	0.520444	-0.480328	0.480328	0.178301	0.730201	0.067901	0.049085	0.205309
country	0.534496	0.0735385	-0.0735385	0.126698	0.502539	0.090134	0.117804	0.652677
china	0.282681	0.338175	-0.338175	0.113744	0.207799	0.147522	0.304037	0.150392
american	0.253857	0.301359	-0.301359	0.052113	0.414325	0.151153	0.187671	0.179477
house	0.233354	-0.245487	0.245487	0.193292	0.161813	0.270523	0.045265	0.430424
way	0.370564	0.00161129	-0.00161129	0.197138	0.159226	0.128791	0.555109	0.494952
security	0.203344	0.258872	-0.258872	0.110972	0.399209	0.212522	0.034921	0.376228
court	0.241204	0.734646	-0.734646	0.105757	0.387745	0.078304	0.056056	0.455088
iraq	0.425881	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
right	0.2472	0.528422	-0.528422	0.149653	0.060682	0.136371	0.193221	0.386761
economic	0.306562	-0.166251	0.166251	0.101144	0.08636	0.112443	0.528322	0.481168
bush	0.294718	0.093777	-0.093777	0.154303	0.611128	0.131138	0.133348	0.510632
john	0.292985	-0.501284	0.501284	0.18287	0.105994	0.740557	0.055959	0.21244
washington	0.527271	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
white	0.233354	-0.245487	0.245487	0.193292	0.161813	0.270523	0.045265	0.430424
