Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.989596	-0.0174544	0.0174544	0.2254	0.567625	0.105302	0.082962	0.542089
government	0.501958	-0.171468	0.171468	0.34447	0.636847	0.104995	0.020342	0.241189
time	0.529104	0.150386	-0.150386	0.214368	0.473044	0.128906	0.159824	0.523953
president	0.401312	-0.0921241	0.0921241	0.337696	0.156231	0.197826	0.021053	0.436805
state	0.470747	0.0	-0.0	0.290437	0.193244	0.286004	0.06013	0.289586
united	0.477393	0.0	-0.0	0.361283	0.176846	0.120301	0.049074	0.409725
states	0.477393	0.0	-0.0	0.361283	0.176846	0.120301	0.049074	0.409725
country	0.576349	0.0256804	-0.0256804	0.14079	0.508009	0.068857	0.113737	0.672998
china	0.282332	0.0	-0.0	0.092429	0.092613	0.241055	0.161286	0.366559
war	0.486484	-0.0282552	0.0282552	0.22084	0.502666	0.235594	0.029914	0.578227
american	0.616524	-0.201672	0.201672	0.162931	0.350214	0.136711	0.00016	0.526295
house	0.278739	-0.211503	0.211503	0.238929	0.56237	0.10632	0.038688	0.201548
military	0.484779	-0.238879	0.238879	0.138378	0.078862	0.56268	0.02743	0.286963
way	0.499385	-0.00638324	0.00638324	0.223929	0.436958	0.122821	0.156089	0.555858
north	0.282842	0.388889	-0.388889	0.087326	0.261818	0.0355	0.297368	0.225807
political	0.530663	-0.0262936	0.0262936	0.19008	0.490636	0.095112	0.023044	0.354739
market	0.470988	0.65106	-0.65106	0.345415	0.148094	0.107698	0.096718	0.355865
iraq	0.354464	-0.404991	0.404991	0.261482	0.199548	0.053141	0.020165	0.586841
place	0.479643	0.168783	-0.168783	0.143532	0.124894	0.113789	0.592447	0.589775
right	0.484779	-0.238879	0.238879	0.138378	0.078862	0.56268	0.02743	0.286963
economic	0.494181	0.392685	-0.392685	0.090913	0.140393	0.358062	0.124276	0.289673
power	0.494181	0.392685	-0.392685	0.090913	0.140393	0.358062	0.124276	0.289673
bush	0.327747	-0.367939	0.367939	0.189581	0.540605	0.347053	0.006633	0.125799
washington	0.316477	-0.338177	0.338177	0.148754	0.09153	0.145002	0.209311	0.341873
white	0.278739	-0.211503	0.211503	0.238929	0.56237	0.10632	0.038688	0.201548
money	0.502641	-0.0547068	0.0547068	0.26258	0.252652	0.170536	0.075381	0.335766
israel	0.35693	0.0	-0.0	0.290437	0.193244	0.286004	0.06013	0.289586
east	0.428935	0.874843	-0.874843	0.21276	0.202043	0.09031	0.141679	0.357968
air	0.513926	-0.416178	0.416178	0.10666	0.235028	0.534787	0.070929	0.133118
force	0.513926	-0.416178	0.416178	0.10666	0.235028	0.534787	0.070929	0.133118
great	0.512048	0.533423	-0.533423	0.390066	0.293451	0.055944	0.048002	0.347604
big	0.470257	-0.417741	0.417741	0.244975	0.546409	0.161348	0.003254	0.25296
county	0.300913	-0.57077	0.57077	0.190954	0.136844	0.190447	0.098572	0.418392
clinton	0.46928	-0.35405	0.35405	0.184029	0.741643	0.049184	0.002313	0.18569
building	0.482603	0.341803	-0.341803	0.080015	0.099039	0.114833	0.381229	0.192717
america	0.828571	0.23604	-0.23604	0.462352	0.534118	0.106448	0.458615	0.506263
young	0.505073	0.445954	-0.445954	0.096655	0.274284	0.226881	0.2178	0.152692
different	0.50175	0.424826	-0.424826	0.214681	0.224512	0.093756	0.131982	0.35923
secretary	0.274819	-0.535927	0.535927	0.41012	0.291728	0.087454	0.017622	0.372632
nation	0.512048	0.533423	-0.533423	0.390066	0.293451	0.055944	0.048002	0.347604
europe	0.281714	-0.524623	0.524623	0.142372	0.145148	0.136009	0.028658	0.633285
special	0.526781	0.0	-0.0	0.110907	0.188803	0.022234	0.44179	0.124791
korea	0.282842	0.388889	-0.388889	0.087326	0.261818	0.0355	0.297368	0.225807
single	0.513028	-0.817311	0.817311	0.239631	0.329853	0.127289	0.008042	0.471661
congress	0.283582	0.55826	-0.55826	0.0	0.0	0.0	0.0	0.0
san	0.290195	0.629075	-0.629075	0.114162	0.142398	0.037746	0.336621	0.250891
george	0.327747	-0.367939	0.367939	0.189581	0.540605	0.347053	0.006633	0.125799
things	0.71832	0.116683	-0.116683	0.478393	0.185016	0.175128	0.226385	0.251618
job	0.470988	0.65106	-0.65106	0.345415	0.148094	0.107698	0.096718	0.355865
problems	0.47912	0.102111	-0.102111	0.184248	0.090217	0.149082	0.03668	0.753171
middle	0.428935	0.874843	-0.874843	0.21276	0.202043	0.09031	0.141679	0.357968
