Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.67168	-0.138942	0.138942	0.157385	0.139538	0.14965	0.282455	0.21636
people	0.732163	-0.099674	0.099674	0.181373	0.669704	0.056385	0.034047	0.541615
government	0.37853	-0.495297	0.495297	0.635785	0.532996	0.127048	0.037562	0.207056
time	0.373116	0.0627559	-0.0627559	0.174382	0.565417	0.159544	0.105398	0.292136
world	0.32487	-0.204361	0.204361	0.161325	0.515298	0.104318	0.056556	0.272696
president	0.822845	-0.106895	0.106895	0.445779	0.610309	0.10756	0.088355	0.251314
u.s.	0.403212	-0.237592	0.237592	0.333741	0.192331	0.159962	0.128281	0.22698
united	0.407578	-0.0490794	0.0490794	0.133757	0.04787	0.380562	0.069792	0.395003
states	0.407578	-0.0490794	0.0490794	0.133757	0.04787	0.380562	0.069792	0.395003
country	0.427591	-0.160429	0.160429	0.140968	0.552492	0.129814	0.035044	0.678398
american	0.732163	-0.099674	0.099674	0.181373	0.669704	0.056385	0.034047	0.541615
house	0.398044	0.0	-0.0	0.170073	0.700526	0.064175	0.069338	0.277524
way	0.41859	0.0461604	-0.0461604	0.183705	0.146015	0.134709	0.268678	0.512388
security	0.545412	0.0750314	-0.0750314	0.158334	0.224076	0.249048	0.152685	0.231926
court	0.25742	-0.333239	0.333239	0.233829	0.581504	0.131969	0.014854	0.220484
foreign	0.25742	-0.333239	0.333239	0.233829	0.581504	0.131969	0.014854	0.220484
political	0.361989	0.473108	-0.473108	0.455529	0.228186	0.014284	0.020472	0.434524
life	0.356239	0.0212213	-0.0212213	0.08018	0.146826	0.07858	0.545163	0.52801
law	0.391136	0.239144	-0.239144	0.290622	0.403307	0.32687	0.00422	0.198912
service	0.25742	-0.333239	0.333239	0.233829	0.581504	0.131969	0.014854	0.220484
bush	0.410269	-0.491654	0.491654	0.044469	0.323257	0.032903	0.35315	0.144524
john	0.266481	0.0	-0.0	0.178766	0.129171	0.178369	0.161964	0.328545
washington	0.3637	-0.17722	0.17722	0.261378	0.200902	0.232228	0.074567	0.326162
white	0.398044	0.0	-0.0	0.170073	0.700526	0.064175	0.069338	0.277524
money	0.359149	0.0193465	-0.0193465	0.256614	0.59372	0.132221	0.107115	0.248228
trade	0.32487	-0.204361	0.204361	0.161325	0.515298	0.104318	0.056556	0.272696
center	0.32487	-0.204361	0.204361	0.161325	0.515298	0.104318	0.056556	0.272696
israel	0.275545	0.0	-0.0	0.060617	0.135975	0.047297	0.337199	0.285741
east	0.303345	-0.589868	0.589868	0.294909	0.587675	0.095054	0.003022	0.228249
federal	0.410841	-0.349976	0.349976	0.172448	0.521665	0.130353	0.178057	0.286134
department	0.287716	0.284295	-0.284295	0.171565	0.132666	0.172667	0.177928	0.31163
director	0.322205	0.0	-0.0	0.066009	0.087759	0.114898	0.293968	0.307267
campaign	0.359413	-0.504685	0.504685	0.102228	0.655648	0.078233	0.006557	0.307599
clinton	0.71313	-0.333488	0.333488	0.237985	0.459721	0.125366	0.030674	0.304669
america	0.55017	0.0283116	-0.0283116	0.226823	0.526932	0.432898	0.120622	0.246041
secretary	0.260055	0.0	-0.0	0.103313	0.105722	0.154566	0.198053	0.363507
europe	0.258577	0.0	-0.0	0.193615	0.077845	0.240461	0.226757	0.200036
policy	0.356875	-0.628283	0.628283	0.221186	0.60661	0.042926	0.024654	0.260035
football	0.364388	0.596814	-0.596814	0.173442	0.321683	0.067312	0.286988	0.105072
iran	0.270684	-0.589868	0.589868	0.294909	0.587675	0.095054	0.003022	0.228249
congress	0.412266	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
san	0.257922	0.463483	-0.463483	0.154356	0.114812	0.14458	0.617478	0.269195
george	0.410269	-0.491654	0.491654	0.044469	0.323257	0.032903	0.35315	0.144524
things	0.376063	-0.0454283	0.0454283	0.136227	0.525089	0.143397	0.164797	0.314289
