Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.679008	0.0654173	-0.0654173	0.243695	0.570103	0.096592	0.057919	0.576028
percent	0.593238	0.0354052	-0.0354052	0.25179	0.521555	0.189587	0.0992	0.275011
government	0.600885	-0.106996	0.106996	0.16412	0.43104	0.277103	0.016861	0.286041
president	0.903315	-0.478837	0.478837	0.247373	0.685474	0.163732	0.023551	0.233608
state	0.274619	0.0	-0.0	0.213856	0.136244	0.376536	0.088106	0.249498
u.s.	0.650248	0.317385	-0.317385	0.147553	0.318313	0.096084	0.320502	0.062352
united	0.472057	-0.359567	0.359567	0.537641	0.251162	0.199914	0.107956	0.233089
states	0.472057	-0.359567	0.359567	0.537641	0.251162	0.199914	0.107956	0.233089
national	0.687179	-0.378893	0.378893	0.135	0.37146	0.220586	0.031781	0.541012
china	0.273276	0.140066	-0.140066	0.184161	0.59396	0.078448	0.013864	0.290846
american	0.617684	0.262141	-0.262141	0.322533	0.564138	0.014781	0.015713	0.264354
minister	0.628328	-0.298954	0.298954	0.275654	0.100188	0.227025	0.016226	0.518101
security	0.687179	-0.378893	0.378893	0.135	0.37146	0.220586	0.031781	0.541012
court	0.325627	0.103633	-0.103633	0.203375	0.30918	0.135582	0.123372	0.482716
foreign	0.671748	-0.482428	0.482428	0.219795	0.526001	0.152928	0.019398	0.366604
political	0.5972	-0.579764	0.579764	0.514816	0.225439	0.048643	6e-06	0.403694
iraq	0.276049	-0.372481	0.372481	0.279968	0.587634	0.280671	0.000496	0.084357
economic	0.657214	0.530439	-0.530439	0.144113	0.177548	0.077469	0.520225	0.19184
business	0.656415	-0.460516	0.460516	0.526059	0.35048	0.070214	0.014784	0.231474
power	0.596246	-0.671761	0.671761	0.460272	0.256086	0.167886	0.005371	0.316198
bush	0.289667	-0.622927	0.622927	0.137879	0.622528	0.113039	0.045941	0.197697
john	0.339828	0.0	-0.0	0.169491	0.496675	0.149279	0.214538	0.176518
washington	0.523842	-0.298914	0.298914	0.250393	0.284022	0.162133	0.100103	0.282005
israel	0.385263	-0.716085	0.716085	0.261084	0.09425	0.537381	0.005402	0.264261
east	0.280326	-0.663431	0.663431	0.573822	0.242516	0.144906	0.000821	0.247963
air	0.596246	-0.671761	0.671761	0.460272	0.256086	0.167886	0.005371	0.316198
prime	0.628328	-0.298954	0.298954	0.275654	0.100188	0.227025	0.016226	0.518101
