Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.769676	-0.17673	0.17673	0.234738	0.590719	0.082441	0.052629	0.557757
government	0.626126	-0.434593	0.434593	0.51827	0.63906	0.138714	0.03023	0.25858
time	0.61518	0.264535	-0.264535	0.469514	0.129291	0.662704	0.152883	0.564679
president	0.672426	-0.523152	0.523152	0.216252	0.657674	0.097245	0.025536	0.498755
united	0.625987	0.287317	-0.287317	0.153143	0.327134	0.147815	0.175535	0.223883
states	0.625987	0.287317	-0.287317	0.153143	0.327134	0.147815	0.175535	0.223883
china	0.350627	-0.443099	0.443099	0.144989	0.171351	0.17607	0.05529	0.522699
south	0.314331	-0.399616	0.399616	0.305848	0.692272	0.011849	0.010123	0.156611
american	0.609202	-0.171121	0.171121	0.28536	0.791688	0.037627	0.005181	0.312395
high	0.514828	-0.286417	0.286417	0.090075	0.148818	0.252627	0.042627	0.536725
house	0.342942	-0.575056	0.575056	0.195338	0.255502	0.274919	0.001408	0.455008
long	0.543345	-0.402184	0.402184	0.018958	0.145469	0.522162	0.016578	0.392158
military	0.536584	-0.263039	0.263039	0.091034	0.313832	0.456169	0.016893	0.274872
way	0.518689	-0.157034	0.157034	0.453643	0.155914	0.088913	0.257481	0.248195
political	0.514353	-0.487398	0.487398	0.420181	0.254873	0.021444	0.000723	0.488148
market	0.495509	0.433496	-0.433496	0.119892	0.097424	0.213626	0.196757	0.320668
iraq	0.30892	-0.224281	0.224281	0.183126	0.127026	0.327955	0.212052	0.126657
times	0.506846	-0.21993	0.21993	0.387724	0.070054	0.029635	0.003205	0.640697
business	0.337516	0.121281	-0.121281	0.106944	0.260473	0.033251	0.259111	0.269436
bush	0.350981	-0.447799	0.447799	0.237016	0.571971	0.024051	0.012199	0.326837
washington	0.492249	-0.160356	0.160356	0.137421	0.470361	0.154957	0.156957	0.555897
white	0.342942	-0.575056	0.575056	0.195338	0.255502	0.274919	0.001408	0.455008
money	0.522639	-0.0679923	0.0679923	0.208267	0.573206	0.152989	0.059254	0.286284
east	0.342647	-0.419059	0.419059	0.216617	0.11988	0.361163	0.038127	0.378303
leader	0.503332	0.483804	-0.483804	0.210774	0.460947	0.146787	0.079901	0.542256
companies	0.532975	0.640519	-0.640519	0.081006	0.086019	0.083893	0.492618	0.124542
federal	0.626126	-0.434593	0.434593	0.51827	0.63906	0.138714	0.03023	0.25858
great	0.518009	0.635602	-0.635602	0.019666	0.041413	0.138146	0.546113	0.105951
small	0.503114	-0.638381	0.638381	0.105848	0.087538	0.051621	0.273255	0.361489
health	0.557559	0.578684	-0.578684	0.146498	0.111412	0.138998	0.311055	0.195817
big	0.581153	-0.398067	0.398067	0.211417	0.659451	0.13	0.030021	0.123749
program	0.684096	0.0	-0.0	0.046941	0.194554	0.673848	0.056886	0.091259
record	0.552303	0.0412287	-0.0412287	0.236197	0.562182	0.165284	0.179851	0.127137
russia	0.350107	-0.366878	0.366878	0.177165	0.202664	0.5774	0.098052	0.227262
free	0.495509	0.433496	-0.433496	0.119892	0.097424	0.213626	0.196757	0.320668
clinton	0.855483	-0.374937	0.374937	0.21019	0.662299	0.082926	0.069803	0.268711
america	0.673462	0.0959049	-0.0959049	0.190835	0.481056	0.144985	0.133601	0.255268
defense	0.684096	0.0	-0.0	0.046941	0.194554	0.673848	0.056886	0.091259
secretary	0.389428	0.0	-0.0	0.155059	0.092303	0.260142	0.120678	0.369801
germany	0.364262	-0.348162	0.348162	0.167836	0.420536	0.376024	0.052177	0.122853
nation	0.714664	0.0118526	-0.0118526	0.187794	0.191574	0.13033	0.465349	0.32837
iran	0.450466	-0.364843	0.364843	0.28929	0.48405	0.273412	0.014868	0.152612
congress	0.34868	-0.397574	0.397574	0.175889	0.559495	0.079814	0.001884	0.365494
field	0.510652	-0.761257	0.761257	0.454741	0.333804	0.079438	0.029926	0.272346
san	0.312831	0.0	-0.0	0.110847	0.094799	0.069189	0.269665	0.35061
george	0.335113	-0.526033	0.526033	0.133466	0.076117	0.131739	0.377982	0.161913
problems	0.499891	-0.482925	0.482925	0.211911	0.128815	0.582319	0.027858	0.680383
private	0.511021	-0.28678	0.28678	0.302567	0.527805	0.065577	0.000724	0.312805
tax	0.750484	0.414086	-0.414086	0.275403	0.535754	0.070892	0.079692	0.338941
playing	0.510652	-0.761257	0.761257	0.454741	0.333804	0.079438	0.029926	0.272346
middle	0.342647	-0.419059	0.419059	0.216617	0.11988	0.361163	0.038127	0.378303
problem	0.564832	-0.486794	0.486794	0.511737	0.477498	0.150143	0.01155	0.654268
care	0.519299	0.887097	-0.887097	0.068577	0.013039	0.076648	0.139395	0.610127
obama	0.672426	-0.523152	0.523152	0.216252	0.657674	0.097245	0.025536	0.498755
class	0.514353	-0.487398	0.487398	0.420181	0.254873	0.021444	0.000723	0.488148
paul	0.362985	0.365164	-0.365164	0.098806	0.090273	0.098132	0.373955	0.212423
sea	0.314331	-0.399616	0.399616	0.305848	0.692272	0.011849	0.010123	0.156611
calls	0.599536	-0.21993	0.21993	0.392783	0.038746	0.036946	0.004214	0.649949
governor	0.350981	-0.447799	0.447799	0.237016	0.571971	0.024051	0.012199	0.326837
track	0.552303	0.0412287	-0.0412287	0.236197	0.562182	0.165284	0.179851	0.127137
jobs	0.321781	-0.228678	0.228678	0.365232	0.106663	0.118638	0.101923	0.353756
risk	0.514828	-0.286417	0.286417	0.090075	0.148818	0.252627	0.042627	0.536725
sector	0.511021	-0.28678	0.28678	0.302567	0.527805	0.065577	0.000724	0.312805
reform	0.523111	0.313224	-0.313224	0.137298	0.379679	0.132501	0.002923	0.515419
leadership	0.517235	0.258954	-0.258954	0.079682	0.514023	0.592559	0.238404	0.115405
status	0.653378	-0.40989	0.40989	0.091053	0.483313	0.198978	0.131518	0.51961
insurance	0.557559	0.578684	-0.578684	0.146498	0.111412	0.138998	0.311055	0.195817
francisco	0.312831	0.0	-0.0	0.110847	0.094799	0.069189	0.269665	0.35061
