Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.251181	0.0	-0.0	0.244043	0.061996	0.105463	0.248039	0.270324
people	0.952721	-0.00719795	0.00719795	0.20491	0.53905	0.118673	0.086364	0.552047
percent	0.396854	-0.351422	0.351422	0.075469	0.211326	0.053768	0.12062	0.521434
time	0.471869	-0.0528316	0.0528316	0.467714	0.18633	0.132767	0.175372	0.535687
world	0.508295	0.13002	-0.13002	0.103972	0.124471	0.107949	0.264173	0.546098
president	0.63059	0.0	-0.0	0.1696	0.131175	0.172762	0.179264	0.312073
united	0.42984	0.184695	-0.184695	0.20171	0.489012	0.087351	0.133447	0.32585
states	0.42984	0.184695	-0.184695	0.20171	0.489012	0.087351	0.133447	0.32585
national	0.405548	0.284319	-0.284319	0.033688	0.634018	0.030318	0.169701	0.101211
country	0.705796	-0.0926065	0.0926065	0.123471	0.552739	0.091314	0.094475	0.680549
war	0.407263	-0.455319	0.455319	0.306747	0.566575	0.136508	0.013646	0.179354
american	0.399735	0.0	-0.0	0.164447	0.61381	0.071006	0.005563	0.317573
house	0.242292	-0.362019	0.362019	0.315695	0.541199	0.088575	0.00749	0.249476
way	0.43715	-0.0128244	0.0128244	0.165164	0.490466	0.145345	0.214415	0.287752
public	0.423657	0.0	-0.0	0.378063	0.669664	0.092319	0.008195	0.06066
life	0.410062	0.180855	-0.180855	0.076197	0.112819	0.504828	0.275687	0.291512
economic	0.572921	0.323166	-0.323166	0.106625	0.061732	0.094327	0.610277	0.227278
service	0.423657	0.0	-0.0	0.378063	0.669664	0.092319	0.008195	0.06066
bush	0.258324	-0.567886	0.567886	0.172373	0.147348	0.140152	0.046949	0.563173
chief	0.401216	0.0	-0.0	0.1696	0.131175	0.172762	0.179264	0.312073
john	0.260818	0.0	-0.0	0.195988	0.103515	0.220844	0.118526	0.368556
washington	0.502339	0.0451305	-0.0451305	0.171488	0.662678	0.153387	0.082124	0.233096
israel	0.279588	-0.301585	0.301585	0.268597	0.070394	0.120602	0.010204	0.645123
east	0.264602	0.0	-0.0	0.078204	0.082131	0.161558	0.368781	0.183406
federal	0.350256	-0.538534	0.538534	0.211303	0.141057	0.145712	0.105386	0.42435
force	0.25849	0.0	-0.0	0.116583	0.263834	0.058739	0.252326	0.244712
great	0.4007	0.0	-0.0	0.035506	0.031912	0.058201	0.679242	0.075328
lead	0.235868	-0.248003	0.248003	0.498185	0.301441	0.121467	0.007654	0.278382
economy	0.400952	0.188202	-0.188202	0.141226	0.046891	0.528536	0.116868	0.357526
clinton	0.472976	0.0	-0.0	0.132565	0.081798	0.067922	0.373516	0.214116
committee	0.334363	-0.249888	0.249888	0.279869	0.211485	0.163128	0.073249	0.516446
america	0.677843	-0.269793	0.269793	0.191951	0.216295	0.206409	0.013731	0.520944
defense	0.288705	0.20754	-0.20754	0.172805	0.12493	0.193896	0.161191	0.324448
nuclear	0.402248	0.0	-0.0	0.184605	0.054603	0.173481	0.205942	0.322351
