Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.404582	0.634082	-0.634082	0.057553	0.112178	0.094187	0.429788	0.172106
people	0.930693	-0.0138228	0.0138228	0.20987	0.548098	0.093781	0.115732	0.506915
government	0.254281	-0.519034	0.519034	0.146343	0.471365	0.184209	0.003759	0.379738
world	0.45902	0.0160391	-0.0160391	0.146056	0.173856	0.095566	0.540646	0.250635
president	0.744081	-0.210052	0.210052	0.248438	0.540337	0.118707	0.145474	0.253996
united	0.502422	0.0531117	-0.0531117	0.474036	0.280823	0.430372	0.113547	0.274862
states	0.502422	0.0531117	-0.0531117	0.474036	0.280823	0.430372	0.113547	0.274862
country	0.636412	0.0868838	-0.0868838	0.100131	0.482113	0.068134	0.483892	0.633716
china	0.285179	-0.60989	0.60989	0.342985	0.247322	0.189785	0.024023	0.360505
south	0.285179	-0.60989	0.60989	0.342985	0.247322	0.189785	0.024023	0.360505
american	0.404582	0.634082	-0.634082	0.057553	0.112178	0.094187	0.429788	0.172106
party	0.277303	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
military	0.310992	0.490886	-0.490886	0.035572	0.252301	0.140605	0.356203	0.112727
way	0.396983	-0.0704301	0.0704301	0.189753	0.484273	0.10207	0.501809	0.261304
family	0.338164	0.239106	-0.239106	0.184039	0.429845	0.061829	0.036803	0.413408
life	0.332707	0.6257	-0.6257	0.025217	0.017524	0.022614	0.465423	0.282938
good	0.292867	0.679348	-0.679348	0.020894	0.028809	0.004753	0.888206	0.013886
iraq	0.294388	0.501403	-0.501403	0.292005	0.392643	0.033111	0.108786	0.24475
place	0.311646	-0.0535544	0.0535544	0.153925	0.250509	0.066583	0.547462	0.556684
best	0.335511	0.581777	-0.581777	0.074196	0.268508	0.032048	0.404666	0.114544
power	0.310992	0.490886	-0.490886	0.035572	0.252301	0.140605	0.356203	0.112727
bush	0.287538	-0.562448	0.562448	0.159381	0.436126	0.015408	0.004929	0.53643
john	0.27555	-0.371941	0.371941	0.127268	0.247885	0.280983	0.006668	0.492852
washington	0.369413	0.0	-0.0	0.150836	0.198632	0.149463	0.187741	0.284264
money	0.32946	-0.20877	0.20877	0.224454	0.517418	0.147518	0.134081	0.270119
israel	0.361207	-0.309542	0.309542	0.658056	0.105846	0.580665	0.031768	0.185248
east	0.359627	-0.54666	0.54666	0.551555	0.097152	0.073131	0.002783	0.434198
federal	0.254281	-0.519034	0.519034	0.146343	0.471365	0.184209	0.003759	0.379738
great	0.304155	0.652771	-0.652771	0.033201	0.016639	0.061246	0.721374	0.05786
small	0.349715	-0.623783	0.623783	0.271875	0.279247	0.072982	0.013815	0.517483
department	0.274039	-0.346802	0.346802	0.122758	0.162038	0.368812	0.064364	0.34371
plan	0.383499	-0.0358802	0.0358802	0.206876	0.353168	0.053484	0.025509	0.494805
