Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
new	0.569037	-0.0256189	0.0256189	0.226322	0.163158	0.123811	0.045569	0.535401
people	0.958164	-0.0521646	0.0521646	0.20732	0.516058	0.102451	0.092893	0.544169
government	0.328465	0.394953	-0.394953	0.399311	0.282701	0.136633	0.058838	0.255508
time	0.483103	0.0472261	-0.0472261	0.174021	0.153235	0.101976	0.13575	0.640429
world	0.55529	-0.0277315	0.0277315	0.131327	0.156785	0.123724	0.469965	0.585945
president	0.495991	0.163772	-0.163772	0.152668	0.182989	0.060439	0.640743	0.133589
united	0.684971	-0.275002	0.275002	0.443182	0.238874	0.126918	0.102694	0.568971
states	0.684971	-0.275002	0.275002	0.443182	0.238874	0.126918	0.102694	0.568971
city	0.655046	-0.274487	0.274487	0.157448	0.178226	0.172525	0.540246	0.277056
country	0.87356	-0.0500865	0.0500865	0.135548	0.276532	0.115169	0.071234	0.692643
company	0.464549	-0.114675	0.114675	0.190724	0.466011	0.153614	0.204841	0.23906
china	0.73769	0.0534578	-0.0534578	0.135164	0.267022	0.075341	0.20699	0.559475
way	0.593056	0.162503	-0.162503	0.178314	0.105151	0.088122	0.346129	0.204628
north	0.419098	-0.263435	0.263435	0.166741	0.234345	0.307932	0.106204	0.247613
york	0.569037	-0.0256189	0.0256189	0.226322	0.163158	0.123811	0.045569	0.535401
general	0.471079	-0.204398	0.204398	0.217348	0.145618	0.330461	0.124344	0.216003
good	0.463125	-0.793912	0.793912	0.253505	0.172113	0.118931	0.066703	0.468779
major	0.478193	-0.301744	0.301744	0.219065	0.159814	0.368501	0.006874	0.409596
iraq	0.490137	-0.518598	0.518598	0.198757	0.678319	0.574032	0.016521	0.149608
business	0.478193	-0.301744	0.301744	0.219065	0.159814	0.368501	0.006874	0.409596
money	0.526298	-0.202541	0.202541	0.17964	0.473941	0.128961	0.123899	0.516425
trade	0.468494	0.119298	-0.119298	0.222898	0.123879	0.165726	0.149291	0.593245
east	0.425964	-0.502847	0.502847	0.36638	0.094325	0.284319	0.087608	0.245208
leader	0.478193	-0.301744	0.301744	0.219065	0.159814	0.368501	0.006874	0.409596
little	0.471176	0.0	-0.0	0.164931	0.26726	0.026582	0.378129	0.086928
