Word	Relevance	                   Sentiment	-Sentiment	                   Anger	Disgust	Fear	Joy	Sadness
people	0.825602	-0.00741637	0.00741637	0.174363	0.558853	0.097382	0.122648	0.512974
government	0.6485	0.0	-0.0	0.283383	0.397678	0.287444	0.011386	0.228779
president	0.87983	-0.210309	0.210309	0.434612	0.640307	0.103404	0.15618	0.542784
state	0.574632	-0.128616	0.128616	0.18268	0.526472	0.200232	0.07678	0.317829
united	0.35124	0.0	-0.0	0.213868	0.234425	0.156675	0.13358	0.292474
states	0.349204	-0.481797	0.481797	0.206828	0.472677	0.476208	0.001081	0.068362
national	0.681665	-0.650049	0.650049	0.221472	0.375824	0.339586	0.002821	0.269108
china	0.301923	0.0	-0.0	0.084693	0.406359	0.040559	0.212082	0.214573
american	0.304347	0.0	-0.0	0.063759	0.307026	0.353775	0.099937	0.22697
international	0.547466	-0.28769	0.28769	0.084117	0.339527	0.214431	0.126223	0.262119
house	0.426483	0.0	-0.0	0.371611	0.331194	0.221264	0.097396	0.097223
old	0.531165	0.0	-0.0	0.119409	0.112413	0.073391	0.289923	0.297227
military	0.514136	-0.476495	0.476495	0.139711	0.441115	0.341404	0.001392	0.276679
way	0.524246	0.285168	-0.285168	0.119309	0.108737	0.115145	0.594967	0.455977
security	0.681665	-0.650049	0.650049	0.221472	0.375824	0.339586	0.002821	0.269108
foreign	0.53673	-0.325181	0.325181	0.42014	0.408884	0.058007	0.001431	0.327931
political	0.56375	-0.476495	0.476495	0.179651	0.288858	0.176455	0.001167	0.527542
official	0.52817	-0.408975	0.408975	0.183959	0.56647	0.325252	0.002956	0.132891
place	0.514514	-0.038063	0.038063	0.149052	0.47897	0.092637	0.180258	0.319745
based	0.542761	-0.28769	0.28769	0.084117	0.339527	0.214431	0.126223	0.262119
business	0.525181	0.281242	-0.281242	0.174632	0.093572	0.087663	0.428223	0.106168
law	0.532478	0.0	-0.0	0.308577	0.131204	0.073022	0.294863	0.128669
bush	0.516323	-0.575381	0.575381	0.098204	0.601052	0.187927	0.05427	0.165105
washington	0.606933	-0.693274	0.693274	0.229116	0.567863	0.104344	0.123634	0.484497
white	0.426483	0.0	-0.0	0.371611	0.331194	0.221264	0.097396	0.097223
israel	0.348211	-0.270377	0.270377	0.027632	0.02282	0.385854	0.277206	0.157123
union	0.6485	0.0	-0.0	0.283383	0.397678	0.287444	0.011386	0.228779
small	0.525181	0.281242	-0.281242	0.174632	0.093572	0.087663	0.428223	0.106168
big	0.646588	0.0	-0.0	0.283383	0.397678	0.287444	0.011386	0.228779
county	0.310101	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
russia	0.298402	-0.294649	0.294649	0.225003	0.13575	0.556363	0.027772	0.188593
deal	0.549839	-0.654241	0.654241	0.410991	0.206971	0.146301	0.005482	0.419068
attack	0.53061	-0.351812	0.351812	0.221513	0.460724	0.419623	0.003193	0.117348
clinton	0.699242	-0.419187	0.419187	0.171721	1.0	0.05339	0.020397	0.217618
america	0.914255	0.0375047	-0.0375047	0.195446	0.512799	0.132362	0.074851	0.531145
administration	0.289556	-0.354684	0.354684	0.183833	0.329741	0.322308	0.055667	0.237228
southern	0.542761	-0.28769	0.28769	0.084117	0.339527	0.214431	0.126223	0.262119
working	0.552002	0.228706	-0.228706	0.065908	0.493768	0.057456	0.087596	0.340353
policy	0.538486	0.407043	-0.407043	0.245323	0.245064	0.060286	0.122611	0.352355
visit	0.52817	-0.408975	0.408975	0.183959	0.56647	0.325252	0.002956	0.132891
iran	0.626472	-0.472552	0.472552	0.179289	0.157833	0.1559	0.216386	0.494635
special	0.524212	-0.236519	0.236519	0.186192	0.56136	0.128997	0.037898	0.225683
real	0.53939	-0.655589	0.655589	0.535988	0.050116	0.089691	0.006543	0.458507
congress	0.451573	-0.334826	0.334826	0.123952	0.602634	0.134861	0.017627	0.692765
issues	0.53939	-0.655589	0.655589	0.535988	0.050116	0.089691	0.006543	0.458507
energy	0.538486	0.407043	-0.407043	0.245323	0.245064	0.060286	0.122611	0.352355
red	0.304347	0.0	-0.0	0.063759	0.307026	0.353775	0.099937	0.22697
george	0.516323	-0.575381	0.575381	0.098204	0.601052	0.187927	0.05427	0.165105
things	0.51786	0.0230386	-0.0230386	0.130959	0.203761	0.122728	0.536945	0.480617
david	0.297731	0.0	-0.0	0.445578	0.250572	0.142703	0.086527	0.174608
tax	0.538988	-0.427277	0.427277	0.267185	0.347639	0.060481	0.018702	0.465663
texas	0.30409	0.0	-0.0	0.132561	0.273874	0.080332	0.141043	0.369829
senate	0.277378	-0.700454	0.700454	0.119788	0.212133	0.131157	0.154501	0.366565
obama	0.588047	-0.426632	0.426632	0.217156	0.497088	0.109884	0.120534	0.332867
families	0.552002	0.228706	-0.228706	0.065908	0.493768	0.057456	0.087596	0.340353
nato	0.297964	0.0	-0.0	0.280947	0.371663	0.205302	0.007677	0.338091
islamic	0.51272	-0.55469	0.55469	0.090928	0.219058	0.666015	0.002459	0.173734
bad	0.549839	-0.654241	0.654241	0.410991	0.206971	0.146301	0.005482	0.419068
governor	0.330571	0.0	-0.0	0.132561	0.273874	0.080332	0.141043	0.369829
cross	0.304347	0.0	-0.0	0.063759	0.307026	0.353775	0.099937	0.22697
jobs	0.576336	-0.0393099	0.0393099	0.178528	0.573522	0.194276	0.192834	0.230126
